rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov2_b__knn;DINOv2-B-KNN;0.46062403767774657;0.6135313830268997;0.0;0;0;0;0.0
2;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.3871931890227335;0.5407118920387646;0.0;0;0;0;0.0
3;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.4571596775654379;0.6431482655556562;0.0;0;0;0;0.0
4;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.4328865139027262;0.6130672040576035;0.0;0;0;0;0.0
5;dinov2_l__knn;DINOv2-L-KNN;0.5268204872747034;0.6766031156598135;0.0;0;0;0;0.0
6;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.4240105062947197;0.571200525314736;0.0;0;0;0;0.0
7;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.5199936599945657;0.7000498143284123;0.0;0;0;0;0.0
8;dinov2_s__knn;DINOv2-S-KNN;0.3538402318630559;0.5297527397880627;0.0;0;0;0;0.0
9;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.3007313649125985;0.46757540077891496;0.0;0;0;0;0.0
10;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.3637464903541346;0.5471537904175346;0.0;0;0;0;0.0
