rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_l__knn;CLIP-L-KNN;0.3758717507472149;0.510347794583824;0.0;0;0;0;0.0
2;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.5369305316547415;0.6500203785888959;0.0;0;0;0;0.0
3;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.5430327868852459;0.7211076895208768;0.0;0;0;0;0.0
4;dinov2_l__knn;DINOv2-L-KNN;0.5268204872747034;0.6766031156598135;0.0;0;0;0;0.0
5;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.4240105062947197;0.571200525314736;0.0;0;0;0;0.0
6;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.5199936599945657;0.7000498143284123;0.0;0;0;0;0.0
7;dinov3_l__knn;DINOv3-L-KNN;0.5657322706276605;0.6997667783715243;0.0;0;0;0;0.0
8;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.4630807897835341;0.5780839597862513;0.0;0;0;0;0.0
9;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.4826555565619056;0.664998641427407;0.0;0;0;0;0.0
10;swin_l__knn;Swin-L-KNN;0.4450117742958065;0.5706231319626845;0.0;0;0;0;0.0
11;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.4450117742958065;0.5706231319626845;0.0;0;0;0;0.0
12;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.4631940041662893;0.6558395978625124;0.0;0;0;0;0.0
13;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.30863372882891044;0.4223462548682185;0.0;0;0;0;0.0
14;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.3408318992844851;0.5114233312199982;0.0;0;0;0;0.0
