rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov1_s__knn;DINOv1-S-KNN;0.19913277782809527;0.3283556743048637;0.0;0;0;0;0.0
2;dinov2_s__knn;DINOv2-S-KNN;0.3538402318630559;0.5297527397880627;0.0;0;0;0;0.0
3;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.3007313649125985;0.46757540077891496;0.0;0;0;0;0.0
4;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.3637464903541346;0.5471537904175346;0.0;0;0;0;0.0
5;dinov3_s__knn;DINOv3-S-KNN;0.2566456842677294;0.4204782175527579;0.0;0;0;0;0.0
6;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.3794153609274522;0.505219183045014;0.0;0;0;0;0.0
7;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.39152929988225704;0.5804388189475591;0.0;0;0;0;0.0
8;swin_s__knn;Swin-S-KNN;0.35902545059324337;0.4779571596775654;0.0;0;0;0;0.0
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.3809777194094738;0.519846481296984;0.0;0;0;0;0.0
10;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.40857938592518794;0.6022325876279323;0.0;0;0;0;0.0
