value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
Pitch:0_Yaw:0_Roll:0;76020;0.42951854775059195;0.6100236779794791;0;
Pitch:0_Yaw:135_Roll:0;724;0.5262430939226519;0.7182320441988951;0;
Pitch:0_Yaw:180_Roll:0;724;0.4516574585635359;0.6519337016574586;0;
Pitch:0_Yaw:225_Roll:0;724;0.5593922651933702;0.7569060773480663;0;
Pitch:0_Yaw:270_Roll:0;724;0.4930939226519337;0.680939226519337;0;
Pitch:0_Yaw:45_Roll:0;724;0.6312154696132597;0.7997237569060773;0;
Pitch:240_Yaw:0_Roll:0;724;0.17265193370165746;0.281767955801105;0;
Pitch:260_Yaw:0_Roll:0;724;0.2596685082872928;0.38812154696132595;0;
Pitch:280_Yaw:0_Roll:0;724;0.31215469613259667;0.4654696132596685;0;
Pitch:300_Yaw:0_Roll:0;724;0.4447513812154696;0.6325966850828729;0;
Pitch:320_Yaw:0_Roll:0;724;0.6560773480662984;0.8370165745856354;0;
Pitch:320_Yaw:0_Roll:135;724;0.39779005524861877;0.580110497237569;0;
Pitch:320_Yaw:0_Roll:180;724;0.4198895027624309;0.6104972375690608;0;
Pitch:320_Yaw:0_Roll:225;724;0.3729281767955801;0.5566298342541437;0;
Pitch:320_Yaw:0_Roll:270;724;0.4129834254143646;0.6104972375690608;0;
Pitch:320_Yaw:0_Roll:45;724;0.5483425414364641;0.7417127071823204;0;
Pitch:320_Yaw:0_Roll:90;724;0.4005524861878453;0.5925414364640884;0;
Pitch:340_Yaw:0_Roll:0;724;0.6533149171270718;0.8370165745856354;0;
