class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
429;Baseball;610;;0.921311475409836;1.0;0.921311475409836;0.9590443686006825;562;0;48
427;Barrel;610;;0.9901639344262295;0.9235474006116208;0.9901639344262295;0.9556962025316456;604;50;6
786;Sewing_Machine;610;;0.8918032786885246;0.9945155393053017;0.8918032786885246;0.9403630077787382;544;3;66
936;Cabbage;488;;0.8524590163934426;1.0;0.8524590163934426;0.9203539823008848;416;0;72
852;Tennis_Ball;610;;0.9459016393442623;0.8548148148148148;0.9459016393442623;0.8980544747081712;577;98;33
765;Rocking_Chair;610;;0.8442622950819673;0.9590316573556797;0.8442622950819673;0.897994768962511;515;22;95
643;Mask;610;;0.7901639344262295;0.9897330595482546;0.7901639344262295;0.878760255241568;482;5;128
492;Chest;610;;0.9524590163934427;0.8013793103448276;0.9524590163934427;0.8704119850187266;581;144;29
448;BirdHouse;610;;0.7655737704918033;0.9978632478632479;0.7655737704918033;0.8664192949907236;467;1;143
607;Jack_O_Lantern;610;;0.7704918032786885;0.9791666666666666;0.7704918032786885;0.8623853211009173;470;10;140
670;Motor_Scooter;610;;0.7491803278688525;0.9956427015250545;0.7491803278688525;0.8550046772684752;457;2;153
957;Pomegranate;610;;0.7426229508196721;1.0;0.7426229508196721;0.8523047977422389;453;0;157
545;Electric_Fan;610;;0.7262295081967213;0.9910514541387024;0.7262295081967213;0.8382213812677388;443;4;167
897;Washer;610;;0.7770491803278688;0.8943396226415095;0.7770491803278688;0.831578947368421;474;56;136
953;Pineapple;610;;0.6885245901639344;1.0;0.6885245901639344;0.8155339805825244;420;0;190
465;Bulletproof_vest;610;;0.7114754098360656;0.9538461538461539;0.7114754098360656;0.8150234741784038;434;21;176
487;Cellular_telephone;488;;0.7581967213114754;0.8505747126436781;0.7581967213114754;0.8017334777898159;370;65;118
945;Bell_Pepper;366;;0.6666666666666666;0.9959183673469387;0.6666666666666666;0.7986906710310965;244;1;122
541;Drum;610;;0.780327868852459;0.8178694158075601;0.780327868852459;0.7986577181208054;476;106;134
771;Safe;610;;0.6786885245901639;0.9605568445475638;0.6786885245901639;0.7953890489913545;414;17;196
866;Tractor;488;;0.6680327868852459;0.9731343283582089;0.6680327868852459;0.7922235722964763;326;9;162
937;Brocolli;488;;0.6475409836065574;1.0;0.6475409836065574;0.7860696517412936;316;0;172
805;Soccer_Ball;610;;0.9918032786885246;0.6491416309012875;0.9918032786885246;0.7846952010376135;605;327;5
589;HairDryer;610;;0.6491803278688525;0.99;0.6491803278688525;0.7841584158415842;396;4;214
447;Binocular;488;;0.7848360655737705;0.7706237424547284;0.7848360655737705;0.7776649746192894;383;114;105
787;Shield;610;;0.7131147540983607;0.8546168958742633;0.7131147540983607;0.7774798927613941;435;74;175
851;Television;610;;0.6836065573770492;0.8723849372384938;0.6836065573770492;0.7665441176470589;417;61;193
883;Vase;610;;0.7655737704918033;0.7495987158908507;0.7655737704918033;0.7575020275750204;467;156;143
570;Gasmask;610;;0.6639344262295082;0.869098712446352;0.6639344262295082;0.7527881040892191;405;61;205
878;Typewriter_Keyboard;488;;0.6024590163934426;1.0;0.6024590163934426;0.7519181585677749;294;0;194
145;Penguin;610;;0.5983606557377049;0.9918478260869565;0.5983606557377049;0.7464212678936606;365;3;245
879;Umbrella;610;;0.6163934426229508;0.912621359223301;0.6163934426229508;0.7358121330724071;376;36;234
327;Starfish;610;;0.5836065573770491;0.994413407821229;0.5836065573770491;0.7355371900826446;356;2;254
519;Crate;610;;0.6311475409836066;0.859375;0.6311475409836066;0.7277882797731569;385;63;225
736;Pool_Table;610;;0.6426229508196721;0.8340425531914893;0.6426229508196721;0.7259259259259261;392;78;218
898;WaterBottle;610;;0.6409836065573771;0.8301486199575372;0.6409836065573771;0.723404255319149;391;80;219
933;Cheeseburger;610;;0.5655737704918032;0.9942363112391931;0.5655737704918032;0.7210031347962382;345;2;265
944;Artichoke;488;;0.5635245901639344;1.0;0.5635245901639344;0.7208387942332897;275;0;213
107;JellyFish;610;;0.6229508196721312;0.8539325842696629;0.6229508196721312;0.7203791469194313;380;65;230
806;Sock;610;;0.559016393442623;0.9827089337175793;0.559016393442623;0.7126436781609196;341;6;269
707;Pay_Phone;610;;0.6081967213114754;0.8568129330254042;0.6081967213114754;0.7114093959731543;371;62;239
859;Toaster;610;;0.5557377049180328;0.9741379310344828;0.5557377049180328;0.7077244258872651;339;9;271
954;Banana;610;;0.5409836065573771;0.9734513274336283;0.5409836065573771;0.6954689146469969;330;9;280
528;Dial_telephone;488;;0.5491803278688525;0.9403508771929825;0.5491803278688525;0.6934023285899095;268;17;220
753;Radiator;610;;0.5836065573770491;0.8456057007125891;0.5836065573770491;0.6905916585838991;356;65;254
752;Racket;610;;0.5262295081967213;1.0;0.5262295081967213;0.6895810955961331;321;0;289
8;Chicken_hen;610;;0.5245901639344263;1.0;0.5245901639344263;0.6881720430107526;320;0;290
613;Joystick;610;;0.5475409836065573;0.9027027027027027;0.5475409836065573;0.6816326530612244;334;36;276
792;Shovel;488;;0.5409836065573771;0.9198606271777003;0.5409836065573771;0.6812903225806453;264;23;224
907;WineBottle;610;;0.5295081967213114;0.9528023598820059;0.5295081967213114;0.6807165437302425;323;16;287
770;Running_Shoe;610;;0.519672131147541;0.9491017964071856;0.519672131147541;0.6716101694915255;317;17;293
931;Bagel;610;;0.5295081967213114;0.9150141643059491;0.5295081967213114;0.6708203530633436;323;30;287
732;Polaroid_Camera;488;;0.5020491803278688;0.9760956175298805;0.5020491803278688;0.6630581867388363;245;6;243
812;SpaceShuttle;610;;0.6409836065573771;0.6859649122807018;0.6409836065573771;0.6627118644067795;391;179;219
476;Carousel;488;;0.6127049180327869;0.6571428571428571;0.6127049180327869;0.6341463414634148;299;156;189
479;Car_Wheel;610;;0.47540983606557374;0.9385113268608414;0.47540983606557374;0.6311207834602828;290;19;320
882;Vacuum;610;;0.4885245901639344;0.8790560471976401;0.4885245901639344;0.6280295047418335;298;41;312
453;Bookcase;610;;0.46229508196721314;0.9724137931034482;0.46229508196721314;0.6266666666666667;282;8;328
928;Ice_Cream;610;;0.45081967213114754;0.985663082437276;0.45081967213114754;0.6186726659167603;275;4;335
846;Table_Lamb;610;;0.49836065573770494;0.7958115183246073;0.49836065573770494;0.6129032258064516;304;78;306
703;Park_Bench;610;;0.5131147540983606;0.7524038461538461;0.5131147540983606;0.6101364522417154;313;103;297
414;Backpack;610;;0.4704918032786885;0.8618618618618619;0.4704918032786885;0.6086956521739131;287;46;323
939;Zucchini;366;;0.43169398907103823;1.0;0.43169398907103823;0.6030534351145038;158;0;208
886;Vending_machine;610;;0.5016393442622951;0.7536945812807881;0.5016393442622951;0.6023622047244094;306;100;304
579;Piano;610;;0.48032786885245904;0.7834224598930482;0.48032786885245904;0.5955284552845529;293;81;317
784;Screwdriver;610;;0.5032786885245901;0.6688453159041394;0.5032786885245901;0.5743685687558465;307;152;303
478;Carton;610;;0.4081967213114754;0.9467680608365019;0.4081967213114754;0.570446735395189;249;14;361
404;Airliner;610;;0.3983606557377049;1.0;0.3983606557377049;0.5697538100820633;243;0;367
740;Power-drill;610;;0.40491803278688526;0.9148148148148149;0.40491803278688526;0.5613636363636364;247;23;363
531;Digital_Watch;610;;0.3950819672131147;0.964;0.3950819672131147;0.5604651162790698;241;9;369
650;Microphone;610;;0.5688524590163935;0.5421875;0.5688524590163935;0.5552;347;293;263
504;Cofee_Mug;610;;0.3885245901639344;0.9186046511627907;0.3885245901639344;0.5460829493087558;237;21;373
774;Sandal;610;;0.3737704918032787;1.0;0.3737704918032787;0.5441527446300716;228;0;382
754;Radio;610;;0.3901639344262295;0.8814814814814815;0.3901639344262295;0.5409090909090909;238;32;372
621;Lawn_Mower;610;;0.3704918032786885;0.9912280701754386;0.3704918032786885;0.5393794749403341;226;2;384
652;Military_uniform;610;;0.3622950819672131;0.9954954954954955;0.3622950819672131;0.53125;221;1;389
942;Butternut_Squash;488;;0.36065573770491804;0.9617486338797814;0.36065573770491804;0.5245901639344263;176;7;312
662;Modem;610;;0.4311475409836066;0.654228855721393;0.4311475409836066;0.5197628458498024;263;139;347
747;Punching_Bag;610;;0.4934426229508197;0.5472727272727272;0.4934426229508197;0.5189655172413794;301;249;309
147;Whale;610;;0.46885245901639344;0.6175115207373272;0.43934426229508194;0.5134099616858238;268;166;342
1;Goldfish;610;;0.3475409836065574;0.9724770642201835;0.3475409836065574;0.5120772946859904;212;6;398
609;Jeep;488;;0.48360655737704916;0.5412844036697247;0.48360655737704916;0.5108225108225108;236;200;252
910;Wooden_Spoon;610;;0.3475409836065574;0.9177489177489178;0.3475409836065574;0.5041617122473245;212;19;398
620;Laptop;610;;0.3540983606557377;0.8470588235294118;0.3540983606557377;0.49942196531791905;216;39;394
930;French_Loaf;610;;0.34262295081967215;0.9126637554585153;0.34262295081967215;0.49821215733015495;209;20;401
760;Refrigerator;610;;0.34590163934426227;0.844;0.34590163934426227;0.4906976744186046;211;39;399
104;Kangarou;488;;0.32991803278688525;0.9252873563218391;0.32991803278688525;0.48640483383685795;161;13;327
608;Jean;610;;0.32459016393442625;0.9565217391304348;0.32459016393442625;0.4847001223990208;198;9;412
799;Sliding_Door;610;;0.5622950819672131;0.41982864137086906;0.5622950819672131;0.48072880168185006;343;474;267
682;Obelisk;610;;0.42950819672131146;0.5177865612648221;0.42950819672131146;0.46953405017921146;262;244;348
515;Cowboy_Hat;366;;0.3114754098360656;0.8571428571428571;0.3114754098360656;0.4569138276553107;114;19;252
893;Wallet;610;;0.30655737704918035;0.8461538461538461;0.30655737704918035;0.4500601684717208;187;34;423
473;Can_Opener;610;;0.29180327868852457;0.9175257731958762;0.29180327868852457;0.4427860696517412;178;16;432
857;Throne;610;;0.5032786885245901;0.3940949935815148;0.5032786885245901;0.44204463642908565;307;472;303
761;Remote_controler;610;;0.28524590163934427;0.883248730964467;0.28524590163934427;0.4312267657992565;174;23;436
435;Bathtub;610;;0.28032786885245903;0.9243243243243243;0.28032786885245903;0.4301886792452831;171;14;439
596;Hatchet;610;;0.2901639344262295;0.7344398340248963;0.2901639344262295;0.4159811985898943;177;64;433
534;Dishwasher;610;;0.29508196721311475;0.6976744186046512;0.29508196721311475;0.4147465437788018;180;78;430
958;Hay;610;;0.24754098360655738;0.9556962025316456;0.24754098360655738;0.3932291666666667;151;7;459
920;Traffic_Light;610;;0.39344262295081966;0.3870967741935484;0.39344262295081966;0.3902439024390244;240;380;370
626;Lighter;610;;0.25081967213114753;0.8742857142857143;0.25081967213114753;0.3898089171974522;153;22;457
963;Pizza;610;;0.24098360655737705;1.0;0.24098360655737705;0.38837516512549536;147;0;463
895;WarPlane;244;;0.430327868852459;0.3442622950819672;0.430327868852459;0.38251366120218583;105;200;139
403;Aircraft_Carrier;488;;0.32172131147540983;0.47005988023952094;0.32172131147540983;0.3819951338199513;157;177;331
491;Chain-saw;366;;0.22950819672131148;0.9333333333333333;0.22950819672131148;0.3684210526315789;84;6;282
637;Mailbox;610;;0.24754098360655738;0.5412186379928315;0.24754098360655738;0.33970753655793023;151;128;459
48;Komodo_dragon;610;;0.1885245901639344;0.9913793103448276;0.1885245901639344;0.31680440771349855;115;1;495
825;Stonewall;610;;0.18688524590163935;0.9047619047619048;0.18688524590163935;0.30978260869565216;114;12;496
444;Bycicle;610;;0.3590163934426229;1.0;0.18032786885245902;0.3055555555555556;110;0;500
640;Manhole_Cover;610;;0.18032786885245902;0.9821428571428571;0.18032786885245902;0.3047091412742382;110;2;500
49;African_crocodile;610;;0.18032786885245902;0.8870967741935484;0.18032786885245902;0.2997275204359673;110;14;500
2;Great_white_shark;610;;0.1819672131147541;0.8345864661654135;0.1819672131147541;0.2987886944818304;111;22;499
526;Desk;610;;0.1819672131147541;0.7115384615384616;0.1819672131147541;0.2898172323759791;111;45;499
965;Burrito;610;;0.16721311475409836;0.9714285714285714;0.16721311475409836;0.2853146853146853;102;3;508
593;Harmonica;610;;0.16065573770491803;1.0;0.16065573770491803;0.2768361581920904;98;0;512
633;Loupe;488;;0.2459016393442623;0.316622691292876;0.2459016393442623;0.27681660899653976;120;259;368
651;Microwave;610;;0.25081967213114753;0.30177514792899407;0.25081967213114753;0.2739480752014324;153;354;457
470;Candle;610;;0.16229508196721312;0.7021276595744681;0.16229508196721312;0.2636484687083888;99;42;511
407;Ambulance;610;;0.14754098360655737;1.0;0.14754098360655737;0.2571428571428572;90;0;520
673;Mouse;610;;0.16065573770491803;0.632258064516129;0.16065573770491803;0.25620915032679736;98;57;512
430;BasketBall;610;;0.1360655737704918;0.9325842696629213;0.1360655737704918;0.23748211731044347;83;6;527
711;Perfume;610;;0.13278688524590163;0.8804347826086957;0.13278688524590163;0.23076923076923075;81;11;529
550;Espresso_maker;610;;0.12786885245901639;1.0;0.12786885245901639;0.22674418604651161;78;0;532
532;Dining_Table;610;;0.12131147540983607;0.5174825174825175;0.12131147540983607;0.19654714475431603;74;69;536
890;Volley_Ball;610;;0.10163934426229508;0.8985507246376812;0.10163934426229508;0.18262150220913106;62;7;548
862;Torch;610;;0.1;0.391025641025641;0.1;0.15926892950391644;61;95;549
833;Submarine;488;;0.08811475409836066;0.6323529411764706;0.08811475409836066;0.15467625899280577;43;25;445
330;Rabbit;610;;0.30491803278688523;1.0;0.07868852459016394;0.14589665653495443;48;0;562
511;Convertible;610;;0.08524590163934426;0.4444444444444444;0.08524590163934426;0.14305364511691882;52;65;558
698;Palace;610;;0.07704918032786885;0.7966101694915254;0.07704918032786885;0.14050822122571;47;12;563
277;Fox;610;;0.19672131147540983;1.0;0.07540983606557378;0.1402439024390244;46;0;564
656;Minivan;610;;0.07540983606557378;0.8846153846153846;0.07540983606557378;0.13897280966767372;46;6;564
282;Cat;610;;0.15081967213114755;1.0;0.06393442622950819;0.12018489984591678;39;0;571
508;Computer_Keyboard;610;;0.06393442622950819;0.9512195121951219;0.06393442622950819;0.11981566820276497;39;2;571
547;Locomotive;610;;0.24918032786885247;1.0;0.060655737704918035;0.11437403400309121;37;0;573
841;Sweatshirt;1098;;0.058287795992714025;1.0;0.058287795992714025;0.11015490533562823;64;0;1034
748;Purse;610;;0.05737704918032787;0.9210526315789473;0.05737704918032787;0.1080246913580247;35;3;575
294;Bear;610;;0.4819672131147541;1.0;0.05081967213114754;0.09672386895475818;31;0;579
858;Tile_Roof;488;;0.05327868852459016;0.52;0.05327868852459016;0.0966542750929368;26;24;462
472;Canoe;610;;0.05081967213114754;0.9117647058823529;0.05081967213114754;0.09627329192546583;31;3;579
30;Frog;488;;0.4385245901639344;1.0;0.0471311475409836;0.09001956947162425;23;0;465
821;Bridge;610;;0.04262295081967213;0.8928571428571429;0.040983606557377046;0.07836990595611285;25;3;585
782;Screen;610;;0.047540983606557376;0.11983471074380166;0.047540983606557376;0.06807511737089202;29;213;581
269;Wolf;610;;0.2081967213114754;0.9545454545454546;0.03442622950819672;0.06645569620253165;21;1;589
385;Elephant;610;;0.3770491803278688;0.9523809523809523;0.03278688524590164;0.06339144215530904;20;1;590
601;Skirt;610;;0.14262295081967213;0.75;0.02459016393442623;0.047619047619047616;15;5;595
837;Sunglasses;610;;0.009836065573770493;0.35294117647058826;0.009836065573770493;0.019138755980861247;6;11;604
919;Street_Sign;610;;0.009836065573770493;0.21428571428571427;0.009836065573770493;0.018808777429467086;6;22;604
809;Soup_Bowl;610;;0.004918032786885246;0.75;0.004918032786885246;0.009771986970684038;3;1;607
947;Mushroom;610;;0.003278688524590164;1.0;0.003278688524590164;0.006535947712418301;2;0;608
