class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
429;Baseball;610;;0.9360655737704918;0.9982517482517482;0.9360655737704918;0.9661590524534687;571;1;39
953;Pineapple;610;;0.8655737704918033;0.998109640831758;0.8655737704918033;0.9271290605794555;528;1;82
936;Cabbage;488;;0.8565573770491803;0.9952380952380953;0.8565573770491803;0.920704845814978;418;2;70
427;Barrel;610;;0.9622950819672131;0.8482658959537572;0.9622950819672131;0.9016897081413211;587;105;23
327;Starfish;610;;0.7950819672131147;0.9958932238193019;0.7950819672131147;0.8842297174111213;485;2;125
541;Drum;610;;0.7885245901639344;0.993801652892562;0.7885245901639344;0.8793418647166362;481;3;129
786;Sewing_Machine;610;;0.7852459016393443;0.9835728952772074;0.7852459016393443;0.8732907930720145;479;8;131
852;Tennis_Ball;610;;0.8770491803278688;0.8505564387917329;0.8770491803278688;0.8635996771589991;535;94;75
607;Jack_O_Lantern;610;;0.7573770491803279;0.9935483870967742;0.7573770491803279;0.8595348837209302;462;3;148
770;Running_Shoe;610;;0.7885245901639344;0.9339805825242719;0.7885245901639344;0.855111111111111;481;34;129
765;Rocking_Chair;610;;0.8180327868852459;0.8910714285714286;0.8180327868852459;0.852991452991453;499;61;111
945;Bell_Pepper;366;;0.7295081967213115;0.996268656716418;0.7295081967213115;0.8422712933753943;267;1;99
448;BirdHouse;610;;0.7950819672131147;0.8676207513416816;0.7950819672131147;0.8297690333618477;485;74;125
670;Motor_Scooter;610;;0.7032786885245902;1.0;0.7032786885245902;0.8257940327237728;429;0;181
937;Brocolli;488;;0.7008196721311475;0.9941860465116279;0.7008196721311475;0.8221153846153846;342;2;146
897;Washer;610;;0.6967213114754098;0.9906759906759907;0.6967213114754098;0.8180943214629451;425;4;185
883;Vase;610;;0.7475409836065574;0.8718929254302104;0.7475409836065574;0.8049426301853486;456;67;154
939;Zucchini;366;;0.6557377049180327;0.995850622406639;0.6557377049180327;0.7907742998352554;240;1;126
866;Tractor;488;;0.6721311475409836;0.9590643274853801;0.6721311475409836;0.7903614457831326;328;14;160
643;Mask;610;;0.6770491803278689;0.9579439252336449;0.6721311475409836;0.7899807321772641;410;18;200
879;Umbrella;610;;0.6770491803278689;0.9429223744292238;0.6770491803278689;0.7881679389312977;413;25;197
933;Cheeseburger;610;;0.6655737704918033;0.9575471698113207;0.6655737704918033;0.7852998065764023;406;18;204
487;Cellular_telephone;488;;0.680327868852459;0.9273743016759777;0.680327868852459;0.7848699763593381;332;26;156
954;Banana;610;;0.6508196721311476;0.9851116625310173;0.6508196721311476;0.7838104639684106;397;6;213
8;Chicken_hen;610;;0.6311475409836066;1.0;0.6311475409836066;0.7738693467336684;385;0;225
957;Pomegranate;610;;0.6295081967213115;1.0;0.6295081967213115;0.772635814889336;384;0;226
907;WineBottle;610;;0.6147540983606558;1.0;0.6147540983606558;0.7614213197969544;375;0;235
430;BasketBall;610;;0.6147540983606558;1.0;0.6147540983606558;0.7614213197969544;375;0;235
492;Chest;610;;0.7655737704918033;0.7508038585209004;0.7655737704918033;0.7581168831168833;467;155;143
736;Pool_Table;610;;0.6491803278688525;0.9103448275862069;0.6491803278688525;0.7578947368421054;396;39;214
447;Binocular;488;;0.6864754098360656;0.8395989974937343;0.6864754098360656;0.7553551296505073;335;64;153
570;Gasmask;610;;0.6180327868852459;0.9496221662468514;0.6180327868852459;0.7487586891757695;377;20;233
145;Penguin;610;;0.6049180327868853;0.9787798408488063;0.6049180327868853;0.7477203647416413;369;8;241
589;HairDryer;610;;0.6327868852459017;0.9061032863849765;0.6327868852459017;0.7451737451737451;386;40;224
846;Table_Lamb;610;;0.6475409836065574;0.8738938053097345;0.6475409836065574;0.743879472693032;395;57;215
479;Car_Wheel;610;;0.5737704918032787;0.9971509971509972;0.5737704918032787;0.72840790842872;350;1;260
752;Racket;610;;0.5901639344262295;0.9498680738786279;0.5901639344262295;0.7280080889787666;360;19;250
613;Joystick;610;;0.6573770491803279;0.802;0.6573770491803279;0.7225225225225226;401;99;209
476;Carousel;488;;0.5676229508196722;0.992831541218638;0.5676229508196722;0.7222946544980444;277;2;211
806;Sock;610;;0.580327868852459;0.9516129032258065;0.580327868852459;0.7209775967413442;354;18;256
771;Safe;610;;0.6655737704918033;0.7631578947368421;0.6655737704918033;0.7110332749562173;406;126;204
