class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
953;Pineapple;610;;0.9098360655737705;0.9982014388489209;0.9098360655737705;0.9519725557461407;555;1;55
429;Baseball;610;;0.9065573770491804;0.9735915492957746;0.9065573770491804;0.9388794567062818;553;15;57
805;Soccer_Ball;610;;0.978688524590164;0.8792341678939617;0.978688524590164;0.926299456943367;597;82;13
936;Cabbage;488;;0.860655737704918;0.9929078014184397;0.860655737704918;0.9220636663007683;420;3;68
427;Barrel;610;;0.9245901639344263;0.8571428571428571;0.9245901639344263;0.8895899053627759;564;94;46
327;Starfish;610;;0.7852459016393443;0.9815573770491803;0.7852459016393443;0.8724954462659381;479;9;131
430;BasketBall;610;;0.7918032786885246;0.9698795180722891;0.7918032786885246;0.871841155234657;483;15;127
957;Pomegranate;610;;0.7426229508196721;0.9762931034482759;0.7426229508196721;0.8435754189944135;453;11;157
852;Tennis_Ball;610;;0.7983606557377049;0.891941391941392;0.7983606557377049;0.8425605536332179;487;59;123
879;Umbrella;610;;0.8180327868852459;0.855917667238422;0.8180327868852459;0.8365465213746857;499;84;111
765;Rocking_Chair;610;;0.760655737704918;0.9115913555992141;0.760655737704918;0.8293118856121537;464;45;146
937;Brocolli;488;;0.694672131147541;0.9854651162790697;0.694672131147541;0.8149038461538463;339;5;149
607;Jack_O_Lantern;610;;0.7786885245901639;0.8512544802867383;0.7786885245901639;0.8133561643835616;475;83;135
786;Sewing_Machine;610;;0.6836065573770492;0.9765807962529274;0.6836065573770492;0.8042430086788814;417;10;193
541;Drum;610;;0.6950819672131148;0.952808988764045;0.6950819672131148;0.8037914691943128;424;21;186
907;WineBottle;610;;0.7459016393442623;0.8666666666666667;0.7459016393442623;0.801762114537445;455;70;155
945;Bell_Pepper;366;;0.6666666666666666;0.9878542510121457;0.6666666666666666;0.7960848287112562;244;3;122
883;Vase;610;;0.7819672131147541;0.8043844856661045;0.7819672131147541;0.7930174563591023;477;116;133
890;Volley_Ball;610;;0.6819672131147541;0.9411764705882353;0.6819672131147541;0.7908745247148289;416;26;194
954;Banana;610;;0.6426229508196721;0.98;0.6426229508196721;0.7762376237623763;392;8;218
492;Chest;610;;0.759016393442623;0.7887563884156729;0.759016393442623;0.7736006683375104;463;124;147
487;Cellular_telephone;488;;0.6741803278688525;0.90633608815427;0.6741803278688525;0.773207990599295;329;34;159
897;Washer;610;;0.6459016393442623;0.9403341288782816;0.6459016393442623;0.7657920310981535;394;25;216
613;Joystick;610;;0.6704918032786885;0.8556485355648535;0.6704918032786885;0.7518382352941178;409;69;201
448;BirdHouse;610;;0.839344262295082;0.6666666666666666;0.839344262295082;0.7431059506531205;512;256;98
515;Cowboy_Hat;366;;0.6584699453551912;0.8515901060070671;0.6584699453551912;0.7426810477657935;241;42;125
939;Zucchini;366;;0.5901639344262295;0.9818181818181818;0.5901639344262295;0.7372013651877133;216;4;150
752;Racket;610;;0.5918032786885246;0.9756756756756757;0.5918032786885246;0.7367346938775511;361;9;249
866;Tractor;488;;0.6577868852459017;0.8025;0.6577868852459017;0.7229729729729729;321;79;167
504;Cofee_Mug;610;;0.6639344262295082;0.7894736842105263;0.6639344262295082;0.7212822796081924;405;108;205
771;Safe;610;;0.5885245901639344;0.9300518134715026;0.5885245901639344;0.7208835341365462;359;27;251
846;Table_Lamb;610;;0.7180327868852459;0.6822429906542056;0.7180327868852459;0.6996805111821086;438;204;172
670;Motor_Scooter;610;;0.5311475409836065;0.9585798816568047;0.5311475409836065;0.6835443037974683;324;14;286
736;Pool_Table;610;;0.580327868852459;0.8290398126463701;0.580327868852459;0.6827386692381872;354;73;256
643;Mask;610;;0.6491803278688525;0.9113573407202216;0.5393442622950819;0.6776519052523171;329;32;281
851;Television;610;;0.5557377049180328;0.8288508557457213;0.5557377049180328;0.6653581943081452;339;70;271
145;Penguin;610;;0.5065573770491804;0.9537037037037037;0.5065573770491804;0.6616702355460385;309;15;301
806;Sock;610;;0.5344262295081967;0.8316326530612245;0.5344262295081967;0.650698602794411;326;66;284
933;Cheeseburger;610;;0.5032786885245901;0.9056047197640118;0.5032786885245901;0.6469968387776607;307;32;303
753;Radiator;610;;0.4704918032786885;0.9896551724137931;0.4704918032786885;0.6377777777777777;287;3;323
944;Artichoke;488;;0.4651639344262295;1.0;0.4651639344262295;0.634965034965035;227;0;261
476;Carousel;488;;0.4713114754098361;0.9663865546218487;0.4713114754098361;0.6336088154269972;230;8;258
479;Car_Wheel;610;;0.4704918032786885;0.9534883720930233;0.4704918032786885;0.6300768386388584;287;14;323
570;Gasmask;610;;0.4721311475409836;0.935064935064935;0.4721311475409836;0.6274509803921569;288;20;322
770;Running_Shoe;610;;0.46885245901639344;0.9079365079365079;0.46885245901639344;0.6183783783783784;286;29;324
447;Binocular;488;;0.5491803278688525;0.6666666666666666;0.5491803278688525;0.6022471910112359;268;134;220
8;Chicken_hen;610;;0.4278688524590164;0.9961832061068703;0.4278688524590164;0.5986238532110092;261;1;349
747;Punching_Bag;610;;0.5360655737704918;0.6770186335403726;0.5360655737704918;0.5983531564501373;327;156;283
608;Jean;610;;0.4245901639344262;0.9847908745247148;0.4245901639344262;0.5933562428407789;259;4;351
453;Bookcase;610;;0.42950819672131146;0.9562043795620438;0.42950819672131146;0.5927601809954751;262;12;348
621;Lawn_Mower;610;;0.4819672131147541;0.7577319587628866;0.4819672131147541;0.5891783567134269;294;94;316
707;Pay_Phone;610;;0.44098360655737706;0.8621794871794872;0.44098360655737706;0.5835140997830803;269;43;341
519;Crate;610;;0.4524590163934426;0.8189910979228486;0.4524590163934426;0.5828933474128828;276;61;334
732;Polaroid_Camera;488;;0.42827868852459017;0.908695652173913;0.42827868852459017;0.5821727019498607;209;21;279
784;Screwdriver;610;;0.47540983606557374;0.6872037914691943;0.47540983606557374;0.562015503875969;290;132;320
662;Modem;610;;0.4639344262295082;0.7022332506203474;0.4639344262295082;0.5587364264560711;283;120;327
703;Park_Bench;610;;0.6770491803278689;0.4747126436781609;0.6770491803278689;0.5581081081081082;413;457;197
958;Hay;610;;0.4311475409836066;0.7827380952380952;0.4311475409836066;0.5560253699788583;263;73;347
465;Bulletproof_vest;610;;0.39344262295081966;0.9411764705882353;0.39344262295081966;0.5549132947976878;240;15;370
1;Goldfish;610;;0.3836065573770492;0.970954356846473;0.3836065573770492;0.5499412455934195;234;7;376
478;Carton;610;;0.46229508196721314;0.6746411483253588;0.46229508196721314;0.5486381322957198;282;136;328
682;Obelisk;610;;0.4426229508196721;0.7161803713527851;0.4426229508196721;0.5471124620060791;270;107;340
963;Pizza;610;;0.3901639344262295;0.9118773946360154;0.3901639344262295;0.5464982778415615;238;23;372
534;Dishwasher;610;;0.38524590163934425;0.8867924528301887;0.38524590163934425;0.537142857142857;235;30;375
407;Ambulance;610;;0.36721311475409835;0.9696969696969697;0.36721311475409835;0.5326991676575505;224;7;386
942;Butternut_Squash;488;;0.38114754098360654;0.8340807174887892;0.38114754098360654;0.5232067510548524;186;37;302
650;Microphone;610;;0.4098360655737705;0.684931506849315;0.4098360655737705;0.5128205128205129;250;115;360
107;JellyFish;610;;0.34590163934426227;0.9461883408071748;0.34590163934426227;0.5066026410564225;211;12;399
787;Shield;610;;0.34918032786885245;0.8949579831932774;0.34918032786885245;0.5023584905660378;213;25;397
404;Airliner;610;;0.33934426229508197;0.9495412844036697;0.33934426229508197;0.5;207;11;403
545;Electric_Fan;610;;0.3590163934426229;0.8051470588235294;0.3590163934426229;0.4965986394557823;219;53;391
931;Bagel;610;;0.3442622950819672;0.8823529411764706;0.3442622950819672;0.49528301886792453;210;28;400
812;SpaceShuttle;610;;0.4704918032786885;0.5043936731107206;0.4704918032786885;0.48685326547921975;287;282;323
859;Toaster;610;;0.32459016393442625;0.9252336448598131;0.32459016393442625;0.4805825242718447;198;16;412
626;Lighter;610;;0.3590163934426229;0.7064516129032258;0.3590163934426229;0.476086956521739;219;91;391
589;HairDryer;610;;0.31311475409836065;0.9794871794871794;0.31311475409836065;0.4745341614906832;191;4;419
620;Laptop;610;;0.35081967213114756;0.6881028938906752;0.35081967213114756;0.46471226927252984;214;97;396
809;Soup_Bowl;610;;0.2983606557377049;0.9732620320855615;0.2983606557377049;0.45671267252195735;182;5;428
928;Ice_Cream;610;;0.3;0.9432989690721649;0.3;0.4552238805970149;183;11;427
414;Backpack;610;;0.2901639344262295;0.9030612244897959;0.2901639344262295;0.43920595533498763;177;19;433
