class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
805;Soccer_Ball;610;;0.9737704918032787;0.9041095890410958;0.9737704918032787;0.9376479873717443;594;63;16
429;Baseball;610;;0.8262295081967214;0.9824561403508771;0.8262295081967214;0.8975957257346394;504;9;106
953;Pineapple;610;;0.8049180327868852;0.9722772277227723;0.8049180327868852;0.8807174887892376;491;14;119
427;Barrel;610;;0.8131147540983606;0.9168207024029574;0.8131147540983606;0.8618592528236316;496;45;114
430;BasketBall;610;;0.6901639344262295;0.9976303317535545;0.6901639344262295;0.8158914728682171;421;1;189
936;Cabbage;488;;0.6516393442622951;0.9578313253012049;0.6516393442622951;0.775609756097561;318;14;170
852;Tennis_Ball;610;;0.6491803278688525;0.9361702127659575;0.6491803278688525;0.7666989351403679;396;27;214
487;Cellular_telephone;488;;0.6065573770491803;0.9456869009584664;0.6065573770491803;0.7390761548064919;296;17;192
937;Brocolli;488;;0.555327868852459;1.0;0.555327868852459;0.7140974967061924;271;0;217
607;Jack_O_Lantern;610;;0.5606557377049181;0.9771428571428571;0.5606557377049181;0.7125;342;8;268
786;Sewing_Machine;610;;0.5524590163934426;0.9796511627906976;0.5524590163934426;0.7064989517819706;337;7;273
765;Rocking_Chair;610;;0.5819672131147541;0.8919597989949749;0.5819672131147541;0.7043650793650794;355;43;255
448;BirdHouse;610;;0.8032786885245902;0.6226175349428208;0.8032786885245902;0.7015032211882605;490;297;120
897;Washer;610;;0.4901639344262295;0.980327868852459;0.4901639344262295;0.6535519125683061;299;6;311
907;WineBottle;610;;0.6278688524590164;0.6742957746478874;0.6278688524590164;0.6502546689303905;383;185;227
752;Racket;610;;0.4885245901639344;0.9706840390879479;0.4885245901639344;0.6499454743729552;298;9;312
504;Cofee_Mug;610;;0.4885245901639344;0.8662790697674418;0.4885245901639344;0.6247379454926625;298;46;312
479;Car_Wheel;610;;0.4540983606557377;0.9518900343642611;0.4540983606557377;0.6148723640399557;277;14;333
541;Drum;610;;0.4459016393442623;0.9855072463768116;0.4459016393442623;0.6139954853273137;272;4;338
613;Joystick;610;;0.4934426229508197;0.806970509383378;0.4934426229508197;0.612410986775178;301;72;309
846;Table_Lamb;610;;0.4901639344262295;0.8016085790884718;0.4901639344262295;0.6083418107833164;299;74;311
327;Starfish;610;;0.43278688524590164;1.0;0.43278688524590164;0.6041189931350115;264;0;346
883;Vase;610;;0.6409836065573771;0.5674891146589259;0.6409836065573771;0.6020015396458813;391;298;219
954;Banana;610;;0.4639344262295082;0.8323529411764706;0.4639344262295082;0.5957894736842105;283;57;327
890;Volley_Ball;610;;0.42295081967213116;0.9923076923076923;0.42295081967213116;0.593103448275862;258;2;352
866;Tractor;488;;0.47950819672131145;0.752411575562701;0.47950819672131145;0.5857321652065082;234;77;254
643;Mask;610;;0.4278688524590164;0.9656488549618321;0.41475409836065574;0.5802752293577982;253;9;357
957;Pomegranate;610;;0.4016393442622951;1.0;0.4016393442622951;0.5730994152046784;245;0;365
851;Television;610;;0.5245901639344263;0.6274509803921569;0.5245901639344263;0.5714285714285714;320;190;290
