value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
Pitch:0_Yaw:0_Roll:0;76020;0.3267824256774533;0.4943041304919758;0;
Pitch:0_Yaw:135_Roll:0;724;0.40331491712707185;0.5732044198895028;0;
Pitch:0_Yaw:180_Roll:0;724;0.35359116022099446;0.5220994475138122;0;
Pitch:0_Yaw:225_Roll:0;724;0.4129834254143646;0.5994475138121547;0;
Pitch:0_Yaw:270_Roll:0;724;0.3632596685082873;0.5386740331491713;0;
Pitch:0_Yaw:45_Roll:0;724;0.47375690607734805;0.675414364640884;0;
Pitch:240_Yaw:0_Roll:0;724;0.106353591160221;0.19889502762430938;0;
Pitch:260_Yaw:0_Roll:0;724;0.1781767955801105;0.281767955801105;0;
Pitch:280_Yaw:0_Roll:0;724;0.21132596685082872;0.3287292817679558;0;
Pitch:300_Yaw:0_Roll:0;724;0.2900552486187845;0.44060773480662985;0;
Pitch:320_Yaw:0_Roll:0;724;0.4558011049723757;0.6270718232044199;0;
Pitch:320_Yaw:0_Roll:135;724;0.2776243093922652;0.4074585635359116;0;
Pitch:320_Yaw:0_Roll:180;724;0.2776243093922652;0.4212707182320442;0;
Pitch:320_Yaw:0_Roll:225;724;0.25;0.38950276243093923;0;
Pitch:320_Yaw:0_Roll:270;724;0.27900552486187846;0.4198895027624309;0;
Pitch:320_Yaw:0_Roll:45;724;0.3411602209944751;0.511049723756906;0;
Pitch:320_Yaw:0_Roll:90;724;0.27624309392265195;0.4240331491712707;0;
Pitch:340_Yaw:0_Roll:0;724;0.5151933701657458;0.7113259668508287;0;
