class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
429;Baseball;610;;0.9524590163934427;0.9781144781144782;0.9524590163934427;0.9651162790697675;581;13;29
805;Soccer_Ball;610;;0.9836065573770492;0.9230769230769231;0.9836065573770492;0.9523809523809524;600;50;10
953;Pineapple;610;;0.8967213114754098;0.9963570127504554;0.8967213114754098;0.9439171699741156;547;2;63
936;Cabbage;488;;0.8278688524590164;0.9901960784313726;0.8278688524590164;0.9017857142857143;404;4;84
430;BasketBall;610;;0.8639344262295082;0.9101899827288429;0.8639344262295082;0.8864592094196804;527;52;83
427;Barrel;610;;0.9049180327868852;0.8453292496171516;0.9049180327868852;0.8741092636579573;552;101;58
957;Pomegranate;610;;0.759016393442623;0.9893162393162394;0.759016393442623;0.8589981447124305;463;5;147
327;Starfish;610;;0.7557377049180328;0.9850427350427351;0.7557377049180328;0.8552875695732839;461;7;149
937;Brocolli;488;;0.7520491803278688;0.9865591397849462;0.7520491803278688;0.8534883720930232;367;5;121
541;Drum;610;;0.760655737704918;0.9527720739219713;0.760655737704918;0.845943482224248;464;23;146
879;Umbrella;610;;0.8098360655737705;0.8636363636363636;0.8098360655737705;0.8358714043993232;494;78;116
852;Tennis_Ball;610;;0.7836065573770492;0.8738574040219378;0.7836065573770492;0.8262748487467589;478;69;132
954;Banana;610;;0.7180327868852459;0.9668874172185431;0.7180327868852459;0.8240827845719662;438;15;172
487;Cellular_telephone;488;;0.7315573770491803;0.9015151515151515;0.7315573770491803;0.8076923076923077;357;39;131
786;Sewing_Machine;610;;0.6819672131147541;0.985781990521327;0.6819672131147541;0.8062015503875969;416;6;194
613;Joystick;610;;0.7475409836065574;0.8571428571428571;0.7475409836065574;0.7985989492119089;456;76;154
607;Jack_O_Lantern;610;;0.7819672131147541;0.8098471986417657;0.7819672131147541;0.7956630525437866;477;112;133
907;WineBottle;610;;0.7311475409836066;0.87109375;0.7311475409836066;0.7950089126559715;446;66;164
765;Rocking_Chair;610;;0.6868852459016394;0.9168490153172867;0.6868852459016394;0.7853795688847236;419;38;191
897;Washer;610;;0.6524590163934426;0.9778869778869779;0.6524590163934426;0.7826941986234023;398;9;212
883;Vase;610;;0.7918032786885246;0.7630331753554502;0.7918032786885246;0.7771520514883348;483;150;127
890;Volley_Ball;610;;0.6573770491803279;0.9502369668246445;0.6573770491803279;0.7771317829457365;401;21;209
945;Bell_Pepper;366;;0.639344262295082;0.9790794979079498;0.639344262295082;0.7735537190082645;234;5;132
448;BirdHouse;610;;0.8442622950819673;0.709366391184573;0.8442622950819673;0.7709580838323353;515;211;95
504;Cofee_Mug;610;;0.7295081967213115;0.815018315018315;0.7295081967213115;0.7698961937716263;445;101;165
670;Motor_Scooter;610;;0.6098360655737705;0.9662337662337662;0.6098360655737705;0.7477386934673367;372;13;238
492;Chest;610;;0.7672131147540984;0.7101669195751138;0.7672131147540984;0.7375886524822696;468;191;142
643;Mask;610;;0.601639344262295;0.9432432432432433;0.5721311475409836;0.7122448979591838;349;21;261
752;Racket;610;;0.5573770491803278;0.9798270893371758;0.5573770491803278;0.7105538140020898;340;7;270
771;Safe;610;;0.5918032786885246;0.8848039215686274;0.5918032786885246;0.7092337917485265;361;47;249
479;Car_Wheel;610;;0.5262295081967213;0.963963963963964;0.5262295081967213;0.6808059384941675;321;12;289
933;Cheeseburger;610;;0.5147540983606558;0.9751552795031055;0.5147540983606558;0.6738197424892705;314;8;296
866;Tractor;488;;0.6987704918032787;0.6495238095238095;0.6987704918032787;0.6732477788746297;341;184;147
736;Pool_Table;610;;0.5049180327868853;0.9746835443037974;0.5049180327868853;0.6652267818574514;308;8;302
145;Penguin;610;;0.4885245901639344;0.9644012944983819;0.4885245901639344;0.648531011969532;298;11;312
851;Television;610;;0.6180327868852459;0.6805054151624549;0.6180327868852459;0.647766323024055;377;177;233
846;Table_Lamb;610;;0.5163934426229508;0.84;0.5163934426229508;0.6395939086294415;315;60;295
515;Cowboy_Hat;366;;0.5737704918032787;0.7191780821917808;0.5737704918032787;0.6382978723404256;210;82;156
707;Pay_Phone;610;;0.4901639344262295;0.8952095808383234;0.4901639344262295;0.6334745762711865;299;35;311
944;Artichoke;488;;0.45491803278688525;1.0;0.45491803278688525;0.6253521126760563;222;0;266
465;Bulletproof_vest;610;;0.4737704918032787;0.8892307692307693;0.4737704918032787;0.6181818181818183;289;36;321
939;Zucchini;366;;0.4371584699453552;1.0;0.4371584699453552;0.6083650190114068;160;0;206
476;Carousel;488;;0.4610655737704918;0.8858267716535433;0.4610655737704918;0.6064690026954177;225;29;263
407;Ambulance;610;;0.43278688524590164;1.0;0.43278688524590164;0.6041189931350115;264;0;346
942;Butternut_Squash;488;;0.44672131147540983;0.9316239316239316;0.44672131147540983;0.6038781163434903;218;16;270
620;Laptop;610;;0.5081967213114754;0.7363420427553444;0.5081967213114754;0.6013579049466536;310;111;300
8;Chicken_hen;610;;0.4311475409836066;0.9887218045112782;0.4311475409836066;0.6004566210045663;263;3;347
753;Radiator;610;;0.4311475409836066;0.9776951672862454;0.4311475409836066;0.5984072810011377;263;6;347
519;Crate;610;;0.5163934426229508;0.7110609480812641;0.5163934426229508;0.5982905982905982;315;128;295
787;Shield;610;;0.44426229508196724;0.9033333333333333;0.44426229508196724;0.5956043956043956;271;29;339
812;SpaceShuttle;610;;0.5081967213114754;0.7175925925925926;0.5081967213114754;0.5950095969289828;310;122;300
963;Pizza;610;;0.42295081967213116;1.0;0.42295081967213116;0.5944700460829493;258;0;352
453;Bookcase;610;;0.43278688524590164;0.9198606271777003;0.43278688524590164;0.588628762541806;264;23;346
747;Punching_Bag;610;;0.5918032786885246;0.5841423948220065;0.5918032786885246;0.5879478827361564;361;257;249
662;Modem;610;;0.5409836065573771;0.642023346303502;0.5409836065573771;0.5871886120996442;330;184;280
770;Running_Shoe;610;;0.4344262295081967;0.8862876254180602;0.4344262295081967;0.583058305830583;265;34;345
608;Jean;610;;0.4016393442622951;0.9919028340080972;0.4016393442622951;0.5717619603267211;245;2;365
478;Carton;610;;0.5;0.6301652892561983;0.5;0.5575868372943327;305;179;305
682;Obelisk;610;;0.4491803278688525;0.7306666666666667;0.4491803278688525;0.5563451776649746;274;101;336
806;Sock;610;;0.4016393442622951;0.839041095890411;0.4016393442622951;0.5432372505543237;245;47;365
958;Hay;610;;0.4081967213114754;0.8110749185667753;0.4081967213114754;0.5430752453653217;249;58;361
