value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
Pitch:0_Yaw:0_Roll:0;76020;0.4151802157327019;0.5365298605630098;0;
Pitch:0_Yaw:135_Roll:0;724;0.5262430939226519;0.6892265193370166;0;
Pitch:0_Yaw:180_Roll:0;724;0.4488950276243094;0.5870165745856354;0;
Pitch:0_Yaw:225_Roll:0;724;0.5386740331491713;0.6837016574585635;0;
Pitch:0_Yaw:270_Roll:0;724;0.4654696132596685;0.5994475138121547;0;
Pitch:0_Yaw:45_Roll:0;724;0.5953038674033149;0.738950276243094;0;
Pitch:240_Yaw:0_Roll:0;724;0.1781767955801105;0.2472375690607735;0;
Pitch:260_Yaw:0_Roll:0;724;0.24033149171270718;0.3356353591160221;0;
Pitch:280_Yaw:0_Roll:0;724;0.287292817679558;0.4046961325966851;0;
Pitch:300_Yaw:0_Roll:0;724;0.40193370165745856;0.5193370165745856;0;
Pitch:320_Yaw:0_Roll:0;724;0.5911602209944752;0.7417127071823204;0;
Pitch:320_Yaw:0_Roll:135;724;0.3798342541436464;0.4930939226519337;0;
Pitch:320_Yaw:0_Roll:180;724;0.39640883977900554;0.4958563535911602;0;
Pitch:320_Yaw:0_Roll:225;724;0.3825966850828729;0.48756906077348067;0;
Pitch:320_Yaw:0_Roll:270;724;0.3701657458563536;0.4930939226519337;0;
Pitch:320_Yaw:0_Roll:45;724;0.4930939226519337;0.5994475138121547;0;
Pitch:320_Yaw:0_Roll:90;724;0.3825966850828729;0.4972375690607735;0;
Pitch:340_Yaw:0_Roll:0;724;0.6256906077348067;0.7803867403314917;0;
