class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
429;Baseball;610;;0.9754098360655737;0.9983221476510067;0.9754098360655737;0.9867330016583746;595;1;15
953;Pineapple;610;;0.9442622950819672;1.0;0.9442622950819672;0.9713322091062395;576;0;34
327;Starfish;610;;0.9098360655737705;0.9840425531914894;0.9098360655737705;0.9454855195911414;555;9;55
936;Cabbage;488;;0.8688524590163934;0.9976470588235294;0.8688524590163934;0.9288061336254106;424;1;64
430;BasketBall;610;;0.860655737704918;0.9980988593155894;0.860655737704918;0.9242957746478873;525;1;85
957;Pomegranate;610;;0.840983606557377;0.9734345351043643;0.840983606557377;0.9023746701846965;513;14;97
879;Umbrella;610;;0.8262295081967214;0.980544747081712;0.8262295081967214;0.896797153024911;504;10;106
427;Barrel;610;;0.9540983606557377;0.833810888252149;0.9540983606557377;0.8899082568807339;582;116;28
607;Jack_O_Lantern;610;;0.8278688524590164;0.9600760456273765;0.8278688524590164;0.8890845070422536;505;21;105
786;Sewing_Machine;610;;0.7786885245901639;0.9916492693110647;0.7786885245901639;0.8723599632690541;475;4;135
945;Bell_Pepper;366;;0.7868852459016393;0.9664429530201343;0.7868852459016393;0.8674698795180724;288;10;78
541;Drum;610;;0.7704918032786885;0.9915611814345991;0.7704918032786885;0.8671586715867159;470;4;140
954;Banana;610;;0.760655737704918;0.9957081545064378;0.760655737704918;0.862453531598513;464;2;146
937;Brocolli;488;;0.7520491803278688;1.0;0.7520491803278688;0.8584795321637426;367;0;121
448;BirdHouse;610;;0.8278688524590164;0.8647260273972602;0.8278688524590164;0.8458961474036851;505;79;105
643;Mask;610;;0.7491803278688525;0.9762931034482759;0.7426229508196721;0.8435754189944135;453;11;157
492;Chest;610;;0.8803278688524591;0.8087349397590361;0.8803278688524591;0.8430141287284144;537;127;73
805;Soccer_Ball;610;;0.9852459016393442;0.7171837708830548;0.9852459016393442;0.830110497237569;601;237;9
765;Rocking_Chair;610;;0.7229508196721312;0.9671052631578947;0.7229508196721312;0.8273921200750469;441;15;169
613;Joystick;610;;0.839344262295082;0.8139904610492846;0.839344262295082;0.8264729620661824;512;117;98
939;Zucchini;366;;0.7049180327868853;0.9923076923076923;0.7049180327868853;0.8242811501597443;258;2;108
897;Washer;610;;0.7049180327868853;0.9750566893424036;0.7049180327868853;0.8182683158896289;430;11;180
515;Cowboy_Hat;366;;0.7185792349726776;0.942652329749104;0.7185792349726776;0.8155038759689922;263;16;103
620;Laptop;610;;0.7426229508196721;0.897029702970297;0.7426229508196721;0.8125560538116592;453;52;157
883;Vase;610;;0.7557377049180328;0.869811320754717;0.7557377049180328;0.8087719298245614;461;69;149
487;Cellular_telephone;488;;0.735655737704918;0.8777506112469438;0.735655737704918;0.8004459308807135;359;50;129
479;Car_Wheel;610;;0.6672131147540984;0.9951100244498777;0.6672131147540984;0.7988223748773308;407;2;203
852;Tennis_Ball;610;;0.839344262295082;0.7529411764705882;0.839344262295082;0.7937984496124031;512;168;98
145;Penguin;610;;0.6852459016393443;0.9247787610619469;0.6852459016393443;0.7871939736346515;418;34;192
736;Pool_Table;610;;0.6557377049180327;0.966183574879227;0.6557377049180327;0.78125;400;14;210
770;Running_Shoe;610;;0.6540983606557377;0.9568345323741008;0.6540983606557377;0.7770204479065238;399;18;211
933;Cheeseburger;610;;0.6524590163934426;0.9521531100478469;0.6524590163934426;0.77431906614786;398;20;212
670;Motor_Scooter;610;;0.6147540983606558;0.9946949602122016;0.6147540983606558;0.7598784194528876;375;2;235
752;Racket;610;;0.6114754098360655;0.9920212765957447;0.6114754098360655;0.7565922920892494;373;3;237
8;Chicken_hen;610;;0.6065573770491803;0.9973045822102425;0.6065573770491803;0.7543323139653415;370;1;240
771;Safe;610;;0.6245901639344262;0.943069306930693;0.6245901639344262;0.7514792899408284;381;23;229
