value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
Pitch:0_Yaw:0_Roll:0;76020;0.2657590107866351;0.3761247040252565;0;
Pitch:0_Yaw:135_Roll:0;724;0.39640883977900554;0.5511049723756906;0;
Pitch:0_Yaw:180_Roll:0;724;0.3411602209944751;0.4889502762430939;0;
Pitch:0_Yaw:225_Roll:0;724;0.44060773480662985;0.5897790055248618;0;
Pitch:0_Yaw:270_Roll:0;724;0.35220994475138123;0.49171270718232046;0;
Pitch:0_Yaw:45_Roll:0;724;0.47651933701657456;0.6602209944751382;0;
Pitch:240_Yaw:0_Roll:0;724;0.06906077348066299;0.10911602209944751;0;
Pitch:260_Yaw:0_Roll:0;724;0.11187845303867404;0.17679558011049723;0;
Pitch:280_Yaw:0_Roll:0;724;0.1712707182320442;0.23895027624309392;0;
Pitch:300_Yaw:0_Roll:0;724;0.21823204419889503;0.31629834254143646;0;
Pitch:320_Yaw:0_Roll:0;724;0.3715469613259669;0.5138121546961326;0;
Pitch:320_Yaw:0_Roll:135;724;0.2223756906077348;0.3287292817679558;0;
Pitch:320_Yaw:0_Roll:180;724;0.2154696132596685;0.29972375690607733;0;
Pitch:320_Yaw:0_Roll:225;724;0.18922651933701656;0.2900552486187845;0;
Pitch:320_Yaw:0_Roll:270;724;0.2058011049723757;0.31215469613259667;0;
Pitch:320_Yaw:0_Roll:45;724;0.2776243093922652;0.3867403314917127;0;
Pitch:320_Yaw:0_Roll:90;724;0.2223756906077348;0.30939226519337015;0;
Pitch:340_Yaw:0_Roll:0;724;0.47651933701657456;0.6229281767955801;0;
