class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
805;Soccer_Ball;610;;0.9622950819672131;0.9143302180685359;0.9622950819672131;0.9376996805111822;587;55;23
429;Baseball;610;;0.8655737704918033;0.9328621908127208;0.8655737704918033;0.8979591836734694;528;38;82
953;Pineapple;610;;0.7786885245901639;0.977366255144033;0.7786885245901639;0.8667883211678832;475;11;135
937;Brocolli;488;;0.7008196721311475;0.9827586206896551;0.7008196721311475;0.8181818181818181;342;6;146
945;Bell_Pepper;366;;0.7049180327868853;0.9735849056603774;0.7049180327868853;0.8177496038034866;258;7;108
430;BasketBall;610;;0.6983606557377049;0.9508928571428571;0.6983606557377049;0.8052930056710775;426;22;184
448;BirdHouse;610;;0.7295081967213115;0.8882235528942116;0.7295081967213115;0.8010801080108012;445;56;165
883;Vase;610;;0.7737704918032787;0.7801652892561983;0.7737704918032787;0.776954732510288;472;133;138
765;Rocking_Chair;610;;0.6836065573770492;0.8891257995735607;0.6836065573770492;0.7729379054680259;417;52;193
936;Cabbage;488;;0.6290983606557377;1.0;0.6290983606557377;0.7723270440251572;307;0;181
957;Pomegranate;610;;0.639344262295082;0.9558823529411765;0.639344262295082;0.7662082514734774;390;18;220
487;Cellular_telephone;488;;0.6639344262295082;0.8950276243093923;0.6639344262295082;0.7623529411764707;324;38;164
607;Jack_O_Lantern;610;;0.6475409836065574;0.9250585480093677;0.6475409836065574;0.7618129218900676;395;32;215
643;Mask;610;;0.6770491803278689;0.8779443254817987;0.6721311475409836;0.7613741875580315;410;57;200
427;Barrel;610;;0.9180327868852459;0.6496519721577726;0.9180327868852459;0.7608695652173912;560;302;50
786;Sewing_Machine;610;;0.6196721311475409;0.9818181818181818;0.6196721311475409;0.7597989949748744;378;7;232
907;WineBottle;610;;0.7065573770491803;0.7981481481481482;0.7065573770491803;0.7495652173913043;431;109;179
897;Washer;610;;0.6114754098360655;0.9638242894056848;0.6114754098360655;0.7482447342026078;373;14;237
852;Tennis_Ball;610;;0.7557377049180328;0.7340764331210191;0.7557377049180328;0.7447495961227787;461;167;149
541;Drum;610;;0.6114754098360655;0.9142156862745098;0.6114754098360655;0.7328094302554028;373;35;237
752;Racket;610;;0.5442622950819672;0.9880952380952381;0.5442622950819672;0.7019027484143764;332;4;278
954;Banana;610;;0.5344262295081967;0.9702380952380952;0.5344262295081967;0.6892177589852008;326;10;284
866;Tractor;488;;0.5901639344262295;0.8089887640449438;0.5901639344262295;0.6824644549763033;288;68;200
479;Car_Wheel;610;;0.5344262295081967;0.9394812680115274;0.5344262295081967;0.6812957157784744;326;21;284
492;Chest;610;;0.7016393442622951;0.6494688922610015;0.7016393442622951;0.6745468873128448;428;231;182
8;Chicken_hen;610;;0.5081967213114754;1.0;0.5081967213114754;0.673913043478261;310;0;300
736;Pool_Table;610;;0.6196721311475409;0.7354085603112841;0.6196721311475409;0.6725978647686833;378;136;232
771;Safe;610;;0.5409836065573771;0.8707124010554089;0.5409836065573771;0.6673407482305359;330;49;280
879;Umbrella;610;;0.7967213114754098;0.5592635212888377;0.7967213114754098;0.6572008113590263;486;383;124
944;Artichoke;488;;0.48155737704918034;0.9873949579831933;0.48155737704918034;0.6473829201101929;235;3;253
890;Volley_Ball;610;;0.49508196721311476;0.9179331306990881;0.49508196721311476;0.6432374866879659;302;27;308
753;Radiator;610;;0.46557377049180326;0.9530201342281879;0.46557377049180326;0.6255506607929515;284;14;326
928;Ice_Cream;610;;0.4557377049180328;0.9928571428571429;0.4557377049180328;0.6247191011235954;278;2;332
327;Starfish;610;;0.46885245901639344;0.9285714285714286;0.46885245901639344;0.6230936819172114;286;22;324
613;Joystick;610;;0.5655737704918032;0.69;0.5655737704918032;0.6216216216216215;345;155;265
787;Shield;610;;0.48688524590163934;0.7857142857142857;0.48688524590163934;0.6012145748987854;297;81;313
145;Penguin;610;;0.4786885245901639;0.7807486631016043;0.4786885245901639;0.5934959349593496;292;82;318
933;Cheeseburger;610;;0.4344262295081967;0.9330985915492958;0.4344262295081967;0.5928411633109619;265;19;345
504;Cofee_Mug;610;;0.4377049180327869;0.9143835616438356;0.4377049180327869;0.5920177383592017;267;25;343
703;Park_Bench;610;;0.578688524590164;0.6023890784982935;0.578688524590164;0.5903010033444815;353;233;257
478;Carton;610;;0.4540983606557377;0.8368580060422961;0.4540983606557377;0.5887353878852285;277;54;333
770;Running_Shoe;610;;0.4311475409836066;0.9163763066202091;0.4311475409836066;0.5863991081382386;263;24;347
515;Cowboy_Hat;366;;0.4672131147540984;0.7808219178082192;0.4672131147540984;0.5846153846153846;171;48;195
519;Crate;610;;0.5934426229508196;0.5577812018489985;0.5934426229508196;0.5750595710881652;362;287;248
707;Pay_Phone;610;;0.3918032786885246;0.9192307692307692;0.3918032786885246;0.5494252873563219;239;21;371
608;Jean;610;;0.3737704918032787;1.0;0.3737704918032787;0.5441527446300716;228;0;382
931;Bagel;610;;0.4016393442622951;0.839041095890411;0.4016393442622951;0.5432372505543237;245;47;365
670;Motor_Scooter;610;;0.37540983606557377;0.9346938775510204;0.37540983606557377;0.5356725146198831;229;16;381
806;Sock;610;;0.37540983606557377;0.9087301587301587;0.37540983606557377;0.531322505800464;229;23;381
652;Military_uniform;610;;0.3590163934426229;1.0;0.3590163934426229;0.5283474065138721;219;0;391
859;Toaster;610;;0.3836065573770492;0.7932203389830509;0.3836065573770492;0.5171270718232045;234;61;376
