Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-KNN,clip_l_in1k__knn,0.87526,0.95714,0.02364672664910554,0.8506523109003135,43763,0.5638195782728876
2,Hiera_L-IN1K-KNN,hiera_l_in1k__knn,0.86194,0.9497,0.02715053860545156,0.8556054774726647,43097,0.5100271053862612
3,Swin-L-IN1K-KNN,swin_l_in1k__knn,0.85314,0.95784,0.01092893979340792,0.8750528648483364,42657,0.5121567954546307
4,Swin-L-KNN,swin_l__knn,0.85314,0.95784,0.01092893979340792,0.8750528648483364,42657,0.5121567954546307
5,CLIP-B-IN1K-KNN,clip_b_in1k__knn,0.84622,0.94976,0.01692501567780972,0.8575101628033917,42311,0.504987087768195
6,Swin-B-IN1K-KNN,swin_b_in1k__knn,0.84414,0.95388,0.011758622809052498,0.8690685237722751,42207,0.4905547008606925
7,Hiera_B-KNN,hiera_b_in1k__knn,0.84342,0.94624,0.023623881491124637,0.8623295229888055,42171,0.4694101155936272
8,Swin-B-KNN,swin_b__knn,0.83562,0.93672,0.027902878734618424,0.8544207702944979,41781,0.4350467622428502
9,DINOv3-L-KNN,dinov3_l__knn,0.8334,0.95238,0.015049780404418702,0.8738216294437141,41670,0.6124087448434449
10,Hiera_S-IN1K-KNN,hiera_s_in1k__knn,0.83308,0.94184,0.020500562783330713,0.8677882159569752,41654,0.4467026983613576
11,Swin-S-KNN,swin_s__knn,0.8279,0.93702,0.01969100576668977,0.8611381737107229,41395,0.4263426927730659
12,Swin-S-IN1K-KNN,swin_s_in1k__knn,0.8191,0.9465,0.014819649205058853,0.8657697972244881,40955,0.45575761614248705
13,DINOv2-L-IN1K-KNN,dinov2_l_in1k__knn,0.8159,0.9472,0.03342834239259365,0.8635174215029254,40795,0.5450208725499706
14,DINOv2-L-KNN,dinov2_l__knn,0.81078,0.93834,0.021439345482140777,0.8595795936303079,40539,0.5811916417242574
15,DINOv2-B-IN1K-KNN,dinov2_b_in1k__knn,0.8053,0.94154,0.03892297835364939,0.8612353596559925,40265,0.5067550748550775
16,ViT-L-IN1K-KNN,vit_l_in1k__knn,0.80464,0.92612,0.02854483044669032,0.8814632718785507,40232,0.41807676243488406
17,DINOv2-B-KNN,dinov2_b__knn,0.79728,0.93526,0.015692373224347817,0.8614579056756667,39864,0.537465903088858
18,DINOv3-B-KNN,dinov3_b__knn,0.79214,0.94002,0.031938684062510776,0.8630460637740204,39607,0.4281480824129471
19,ViT-B-IN1K-KNN,vit_b_in1k__knn,0.78408,0.91814,0.03218866752341388,0.8774656607580137,39204,0.39265525167520166
20,ResNet-50-IN1K-KNN,resnet50_in1k__knn,0.77518,0.89898,0.039355939866006405,0.8880411036088259,38759,0.34426491647947394
21,DINOv2-S-IN1K-KNN,dinov2_s_in1k__knn,0.76286,0.92914,0.06366222315028307,0.8548972959233494,38143,0.43247276884656516
22,DINOv2-S-KNN,dinov2_s__knn,0.76108,0.92304,0.03231175815135241,0.8565098198898249,38054,0.4634020116016374
23,CLIP-L-KNN,clip_l__knn,0.74404,0.91576,0.11973549859672786,0.8454575367725652,37202,0.4215130252816376
24,ResNet-50-KNN,resnet50__knn,0.7403,0.88864,0.081488696218431,0.8806629320263808,37015,0.2554467911590229
25,DINOv3-S-KNN,dinov3_s__knn,0.72574,0.90478,0.07434392998963595,0.857164053732558,36287,0.4228420568325103
26,DINOv1-B-KNN,dinov1_b__knn,0.70202,0.88974,0.04388412013977769,0.8581908398117651,35101,0.37570517871747583
27,DINOv1-S-KNN,dinov1_s__knn,0.68634,0.8743,0.04703898452222348,0.8627516776210259,34317,0.34320089216708166
28,CLIP-B-KNN,clip_b__knn,0.67132,0.87546,0.1296165825580805,0.8312673377720553,33566,0.3339883943703377
