Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,DINOv2-L-KNN,dinov2_l__knn,0.6221062491636559,0.7762612070119096,0.09872884962946542,0.8422136991293019,4649,0.5811916417242574
2,DINOv3-L-KNN,dinov3_l__knn,0.5811588384852134,0.7603372139702931,0.07934313088807018,0.8189984397057731,4343,0.6124087448434449
3,DINOv2-L-IN1K-KNN,dinov2_l_in1k__knn,0.5489094071992506,0.7270172621437174,0.05507905704599777,0.8462071305124834,4102,0.5450208725499706
4,DINOv2-B-KNN,dinov2_b__knn,0.5252241402381909,0.7066773718720728,0.11677933053013698,0.8177527125715394,3925,0.537465903088858
5,DINOv2-B-IN1K-KNN,dinov2_b_in1k__knn,0.4516258530710558,0.6610464338284491,0.07724064831914443,0.8027444643276758,3375,0.5067550748550775
6,CLIP-L-IN1K-KNN,clip_l_in1k__knn,0.386859360363977,0.5479727017262144,0.3043282410753279,0.7456221093442963,2891,0.5638195782728876
7,Swin-L-IN1K-KNN,swin_l_in1k__knn,0.37120299745751373,0.5602836879432624,0.25352197427192436,0.7655964399303845,2774,0.5121567954546307
8,Swin-L-KNN,swin_l__knn,0.37120299745751373,0.5602836879432624,0.25352197427192436,0.7655964399303845,2774,0.5121567954546307
9,Hiera_L-IN1K-KNN,hiera_l_in1k__knn,0.34858825103706675,0.4993978321959053,0.32108057903969095,0.7573639278487581,2605,0.5100271053862612
10,DINOv2-S-KNN,dinov2_s__knn,0.3417636825906597,0.5557339756456577,0.15374794687637597,0.777013658861656,2554,0.4634020116016374
11,CLIP-L-KNN,clip_l__knn,0.32771310049511576,0.5648334002408671,0.06338329149005598,0.7959509747251575,2449,0.4215130252816376
12,Swin-B-IN1K-KNN,swin_b_in1k__knn,0.2887729158303225,0.4765154556403051,0.30986696242823525,0.7488616162311886,2158,0.4905547008606925
13,DINOv2-S-IN1K-KNN,dinov2_s_in1k__knn,0.2713769570453633,0.49524956510103035,0.15536202982947417,0.7527401050128323,2028,0.43247276884656516
14,Hiera_B-KNN,hiera_b_in1k__knn,0.23832463535394086,0.3831125384718319,0.3786975216107022,0.7335013768745835,1781,0.4694101155936272
15,CLIP-B-IN1K-KNN,clip_b_in1k__knn,0.22614746420446943,0.39314866854007763,0.33418974188932465,0.7390036804467696,1690,0.504987087768195
16,Swin-S-IN1K-KNN,swin_s_in1k__knn,0.22240064231232437,0.4018466479325572,0.3183468591691531,0.7357710003083491,1662,0.45575761614248705
17,CLIP-B-KNN,clip_b__knn,0.18265756724207147,0.375886524822695,0.12613269337848632,0.767511232491586,1365,0.3339883943703377
18,Hiera_S-IN1K-KNN,hiera_s_in1k__knn,0.18172086176903518,0.32798073063026895,0.39419329136602055,0.714625784395069,1358,0.4467026983613576
19,Swin-B-KNN,swin_b__knn,0.1773049645390071,0.30830991569650745,0.42257009091190456,0.7171862609101287,1325,0.4350467622428502
20,Swin-S-KNN,swin_s__knn,0.15348588251037068,0.2873009500869798,0.4165245282038634,0.7188042401778851,1147,0.4263426927730659
21,ViT-L-IN1K-KNN,vit_l_in1k__knn,0.1395691154824033,0.27365181319416565,0.27369963787281737,0.7492352929773995,1043,0.41807676243488406
22,ViT-B-IN1K-KNN,vit_b_in1k__knn,0.11842633480529907,0.2361835942727151,0.2602478495092257,0.7502509270407761,885,0.39265525167520166
23,DINOv3-S-KNN,dinov3_s__knn,0.11601766358892011,0.28676568981667333,0.21774730775652362,0.6873580726479476,867,0.4228420568325103
24,DINOv3-B-KNN,dinov3_b__knn,0.08965609527632812,0.20982202596012312,0.17842896259692037,0.7011302081390782,670,0.4281480824129471
25,DINOv1-B-KNN,dinov1_b__knn,0.06864712966680048,0.18667201926936974,0.2710318220635981,0.6807686921646389,513,0.37570517871747583
26,DINOv1-S-KNN,dinov1_s__knn,0.039609260002676304,0.12712431419777867,0.2770590841975554,0.6406025818210576,296,0.34320089216708166
27,ResNet-50-KNN,resnet50__knn,0.028101164191087918,0.09594540345242875,0.22557081694996506,0.6671800318640467,210,0.2554467911590229
28,ResNet-50-IN1K-KNN,resnet50_in1k__knn,0.020741335474374414,0.07761273919443329,0.26168647364418013,0.6182030168651755,155,0.34426491647947394
