Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,DINOv3-L-KNN,dinov3_l__knn,0.6543260822574624,0.8374501365717542,0.06179538534766752,0.8416850731652193,33298,0.6124087448434449
2,CLIP-L-IN1K-KNN,clip_l_in1k__knn,0.641847943563442,0.7958497907209809,0.1624730353781023,0.8112379071292237,32663,0.5638195782728876
3,DINOv2-L-KNN,dinov2_l__knn,0.5941362573444163,0.7832930495784943,0.10274756785639777,0.8366491469000079,30235,0.5811916417242574
4,DINOv2-L-IN1K-KNN,dinov2_l_in1k__knn,0.5642673269272338,0.7653716913281848,0.05174510306063521,0.8444476992873595,28715,0.5450208725499706
5,CLIP-B-IN1K-KNN,clip_b_in1k__knn,0.5454223899074456,0.7258543103617677,0.15777956818958158,0.8325975156274563,27756,0.504987087768195
6,DINOv2-B-KNN,dinov2_b__knn,0.5228438365855096,0.7398455461887637,0.10365168353797323,0.8267331162495108,26607,0.537465903088858
7,DINOv2-B-IN1K-KNN,dinov2_b_in1k__knn,0.4946255575861188,0.7161665585883,0.06247348525548784,0.8326707363781204,25171,0.5067550748550775
8,Swin-L-IN1K-KNN,swin_l_in1k__knn,0.4653068443082002,0.6260292008096052,0.1758412433001125,0.8486467066039267,23679,0.5121567954546307
9,Swin-L-KNN,swin_l__knn,0.4653068443082002,0.6260292008096052,0.1758412433001125,0.8486467066039267,23679,0.5121567954546307
10,Hiera_L-IN1K-KNN,hiera_l_in1k__knn,0.4586059855764507,0.5910314606299987,0.24538340383997534,0.834643346819729,23338,0.5100271053862612
11,Swin-B-IN1K-KNN,swin_b_in1k__knn,0.4391911808052821,0.6026056711666569,0.18851715342619108,0.8416088083240697,22350,0.4905547008606925
12,DINOv3-S-KNN,dinov3_s__knn,0.4146868674959225,0.653520407160683,0.0369406262804566,0.8099999204866837,21103,0.4228420568325103
13,CLIP-L-KNN,clip_l__knn,0.41399909607184265,0.6490793688223389,0.031358138882458995,0.8241346059588365,21068,0.4215130252816376
14,DINOv2-S-KNN,dinov2_s__knn,0.40590304387981685,0.630037925681385,0.0986072047946073,0.8177316595946028,20656,0.4634020116016374
15,Hiera_B-KNN,hiera_b_in1k__knn,0.4031519581834974,0.5447542690954823,0.25807433739662067,0.8335840783054816,20516,0.4694101155936272
16,DINOv2-S-IN1K-KNN,dinov2_s_in1k__knn,0.39706026842736153,0.6258916465247892,0.06951847820071481,0.8207581835071904,20206,0.43247276884656516
17,Swin-S-IN1K-KNN,swin_s_in1k__knn,0.3865668415571145,0.559944192261589,0.19329956244128937,0.836334068328819,19672,0.45575761614248705
18,DINOv3-B-KNN,dinov3_b__knn,0.38568256401186896,0.5954135471319931,0.04436264966978864,0.8309369222598612,19627,0.4281480824129471
19,Hiera_S-IN1K-KNN,hiera_s_in1k__knn,0.37786162038947513,0.5201713533376565,0.24857964455339393,0.836777061632437,19229,0.4467026983613576
20,ViT-L-IN1K-KNN,vit_l_in1k__knn,0.3728900155239836,0.54322152135039,0.13145412642333568,0.8546777677773187,18976,0.41807676243488406
21,ViT-B-IN1K-KNN,vit_b_in1k__knn,0.32765430643164534,0.4910098449566704,0.11881438296484219,0.8685130616180787,16674,0.39265525167520166
22,Swin-B-KNN,swin_b__knn,0.3248049676747431,0.45306451295957867,0.29907005767035155,0.8260012599297202,16529,0.4350467622428502
23,Swin-S-KNN,swin_s__knn,0.3188704828155397,0.44933089665743087,0.27928517454785173,0.8369104401851499,16227,0.4263426927730659
24,CLIP-B-KNN,clip_b__knn,0.2889426005620075,0.5190316178348956,0.04291375900050613,0.8134461385715379,14704,0.3339883943703377
25,ResNet-50-KNN,resnet50__knn,0.2547898367034133,0.40152095737782234,0.07574379585977481,0.8742151155155968,12966,0.2554467911590229
26,DINOv1-B-KNN,dinov1_b__knn,0.24580950696614198,0.39472184558549,0.12625290065934697,0.8645958994984789,12509,0.37570517871747583
27,ResNet-50-IN1K-KNN,resnet50_in1k__knn,0.24221344494881017,0.35418263278901135,0.11262320489671974,0.8948665551542272,12326,0.34426491647947394
28,DINOv1-S-KNN,dinov1_s__knn,0.2061152704906758,0.3406040598164633,0.1499162117858326,0.8593202945282611,10489,0.34320089216708166
