Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,DINOv3-L-KNN,dinov3_l__knn,0.7055,0.8361,0.04823966326937079,0.8169563182320814,7055,0.6124087448434449
2,DINOv2-L-KNN,dinov2_l__knn,0.6829,0.8235,0.08009211607724429,0.8087277258546262,6829,0.5811916417242574
3,DINOv2-L-IN1K-KNN,dinov2_l_in1k__knn,0.6537,0.8137,0.02880463133901358,0.8298170422514618,6537,0.5450208725499706
4,DINOv2-B-KNN,dinov2_b__knn,0.6373,0.8013,0.07031796856522558,0.8255071594386142,6373,0.537465903088858
5,CLIP-L-IN1K-KNN,clip_l_in1k__knn,0.607,0.7369,0.17970722710117698,0.8098303088228513,6070,0.5638195782728876
6,DINOv2-B-IN1K-KNN,dinov2_b_in1k__knn,0.5927,0.7751,0.03169539405852555,0.8294461450553716,5927,0.5067550748550775
7,Swin-L-IN1K-KNN,swin_l_in1k__knn,0.5912,0.7542,0.14544310366287827,0.8097979018428139,5912,0.5121567954546307
8,Swin-L-KNN,swin_l__knn,0.5912,0.7542,0.14544310366287827,0.8097979018428139,5912,0.5121567954546307
9,CLIP-B-IN1K-KNN,clip_b_in1k__knn,0.5901,0.733,0.1332266707219183,0.8290612914173561,5901,0.504987087768195
10,Hiera_L-IN1K-KNN,hiera_l_in1k__knn,0.5897,0.73,0.1950505801796913,0.794518819720665,5897,0.5100271053862612
11,ViT-L-IN1K-KNN,vit_l_in1k__knn,0.5766,0.7425,0.053909344650804984,0.8470620291182933,5766,0.41807676243488406
12,ViT-B-IN1K-KNN,vit_b_in1k__knn,0.5601,0.7108,0.05619826445803046,0.8509635757814331,5601,0.39265525167520166
13,Swin-B-IN1K-KNN,swin_b_in1k__knn,0.5563,0.7233,0.17243807105347514,0.8113316391329736,5563,0.4905547008606925
14,DINOv2-S-KNN,dinov2_s__knn,0.5386,0.7415,0.046748749481886655,0.8175663043633972,5386,0.4634020116016374
15,DINOv3-B-KNN,dinov3_b__knn,0.5198,0.7232,0.050677123162895445,0.828165976758113,5198,0.4281480824129471
16,Hiera_B-KNN,hiera_b_in1k__knn,0.5129,0.6723,0.21809220619648692,0.7960879479816945,5129,0.4694101155936272
17,Hiera_S-IN1K-KNN,hiera_s_in1k__knn,0.4955,0.6605,0.2252022017791867,0.7923494003014244,4955,0.4467026983613576
18,DINOv3-S-KNN,dinov3_s__knn,0.4898,0.7014,0.04405084855929017,0.8194873378505197,4898,0.4228420568325103
19,Swin-B-KNN,swin_b__knn,0.4721,0.6317,0.26198562220782046,0.7858746507475536,4721,0.4350467622428502
20,DINOv1-B-KNN,dinov1_b__knn,0.4693,0.6839,0.05136417788043619,0.8181551120462096,4693,0.37570517871747583
21,Swin-S-KNN,swin_s__knn,0.4684,0.6395,0.24756196109727024,0.7937820560395152,4684,0.4263426927730659
22,Swin-S-IN1K-KNN,swin_s_in1k__knn,0.4636,0.6579,0.18471166087463498,0.8136972854211664,4636,0.45575761614248705
23,DINOv2-S-IN1K-KNN,dinov2_s_in1k__knn,0.4456,0.6703,0.06300478830412032,0.8147620164844133,4456,0.43247276884656516
24,CLIP-L-KNN,clip_l__knn,0.4036,0.5842,0.040217397042363885,0.8400346745155439,4036,0.4215130252816376
25,DINOv1-S-KNN,dinov1_s__knn,0.3864,0.5994,0.0957925499677658,0.7886578943195099,3864,0.34320089216708166
26,ResNet-50-IN1K-KNN,resnet50_in1k__knn,0.2707,0.4247,0.13477898162566126,0.8323578823806991,2707,0.34426491647947394
27,ResNet-50-KNN,resnet50__knn,0.2638,0.4326,0.07497011168487369,0.8459090788321646,2638,0.2554467911590229
28,CLIP-B-KNN,clip_b__knn,0.2444,0.3993,0.07237968062758446,0.8349830268961747,2444,0.3339883943703377
