Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.74404,0.91576,0.11973549859672786,0.8454575367725652
imagenet-9,0.4749382716049383,0.6300617283950617,0.11436368643179717,0.9142861361765401
imagenet-a,0.32771310049511576,0.5648334002408671,0.06338329149005598,0.7959509747251575
imagenet-c,0.6413574736842105,0.7823943157894737,0.17414321274245018,0.9096828016775388
imagenet-d,0.06866597724922441,0.23329886246122028,0.2379246805175261,0.5622837786856956
imagenet-hard,0.3889799635701275,0.5585610200364298,0.052029980061565596,0.8164785897074067
imagenet-mini,0.7572,0.9232,0.11009251850843424,0.8511430302049255
imagenet-r,0.5553666666666667,0.7334666666666667,0.08973760282459357,0.8442846113071654
imagenet-sketch,0.41399909607184265,0.6490793688223389,0.031358138882458995,0.8241346059588365
imagenet-v2,0.601,0.8276,0.05492830224409698,0.8314572621236953
tiny-imagenet,0.4036,0.5842,0.040217397042363885,0.8400346745155439
normal_dataset,0.1738095238095238,0.3205357142857143,0.07930449072404633,0.8380066667324622
plastic_dataset,0.16389340673088953,0.30826973601901664,0.08235866058350773,0.8242454079109236
objectnet,0.23226014859480995,0.3597501884354474,0.07808692990944129,0.8170286441417454
PUG_ImageNet,0.3758717507472149,0.510347794583824,0.08050863461135556,0.8931038299366382
AVERAGE,0.4215130252816376,0.5934239197157374,0.0938782016780281,0.8271719033717894
