Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.87526,0.95714,0.02364672664910554,0.8506523109003135
imagenet-9,0.5886111111111111,0.7073148148148148,0.16173541585006465,0.8695914598388884
imagenet-a,0.386859360363977,0.5479727017262144,0.3043282410753279,0.7456221093442963
imagenet-c,0.7760014736842106,0.8956149473684211,0.052585308417933505,0.86001471616573
imagenet-d,0.2543950361944157,0.4587383660806618,0.41955666157427596,0.6260401655334168
imagenet-hard,0.4733151183970856,0.6255919854280511,0.25767417611428733,0.7526244124333692
imagenet-mini,0.8886,0.9602,0.02371200392246244,0.841528501251237
imagenet-r,0.6567,0.7549333333333333,0.15089800848687684,0.8041295087551714
imagenet-sketch,0.641847943563442,0.7958497907209809,0.1624730353781023,0.8112379071292237
imagenet-v2,0.7772,0.8971,0.07970358861386773,0.8295525079209907
tiny-imagenet,0.607,0.7369,0.17970722710117698,0.8098303088228513
normal_dataset,0.3443452380952381,0.49166666666666664,0.2777425101204288,0.773085024703094
plastic_dataset,0.3231577630426623,0.4536469410734393,0.30016748045265756,0.7553704264267359
objectnet,0.32707009798643266,0.42069559599440076,0.364303442219432,0.7654655500012018
PUG_ImageNet,0.5369305316547415,0.6500203785888959,0.19172295907065412,0.8461460202819042
AVERAGE,0.5638195782728876,0.6902257014530587,0.19666378566977688,0.7960593953005616
