Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8053,0.94154,0.03892297835364939,0.8612353596559925
imagenet-9,0.6269444444444444,0.743179012345679,0.06509222713609536,0.9308054153132255
imagenet-a,0.4516258530710558,0.6610464338284491,0.07724064831914443,0.8027444643276758
imagenet-c,0.8426086315789474,0.9342551578947368,0.11069988585084832,0.926341298421058
imagenet-d,0.147052740434333,0.3702171664943123,0.2989054234546244,0.597556616887732
imagenet-hard,0.5273224043715847,0.6502732240437158,0.07966668165894482,0.8773156495319483
imagenet-mini,0.8148,0.944,0.045193841579556436,0.8653519500472363
imagenet-r,0.45563333333333333,0.6,0.0715093341698249,0.8535561412047503
imagenet-sketch,0.4946255575861188,0.7161665585883,0.06247348525548784,0.8326707363781204
imagenet-v2,0.6863,0.8763,0.0271732294380665,0.8535806039704809
tiny-imagenet,0.5927,0.7751,0.03169539405852555,0.8294461450553716
normal_dataset,0.2910714285714286,0.512797619047619,0.10933344376805634,0.7981061952372859
plastic_dataset,0.23845865131990493,0.44163643187789314,0.13829422665320187,0.8317315159636133
objectnet,0.23968988909227953,0.38252395822116936,0.2154913945688143,0.7881808862902193
PUG_ImageNet,0.3871931890227335,0.5407118920387646,0.10777778316544938,0.849294693550743
AVERAGE,0.5067550748550775,0.6726498302920425,0.098631331828686,0.8331945114556968
