Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.81078,0.93834,0.021439345482140777,0.8595795936303079
imagenet-9,0.6668518518518518,0.7519135802469136,0.0729063967071519,0.9195728906375917
imagenet-a,0.6221062491636559,0.7762612070119096,0.09872884962946542,0.8422136991293019
imagenet-c,0.9195684210526316,0.9684027368421053,0.04287879569384928,0.9394979683104999
imagenet-d,0.20682523267838676,0.4312306101344364,0.32955565831962025,0.6104277705345502
imagenet-hard,0.5336976320582878,0.6762295081967213,0.18113173042612324,0.86139051834471
imagenet-mini,0.8124,0.9386,0.021639989842474457,0.8603243541734249
imagenet-r,0.6177,0.7413666666666666,0.07419474237610897,0.8685127304500193
imagenet-sketch,0.5941362573444163,0.7832930495784943,0.10274756785639777,0.8366491469000079
imagenet-v2,0.7127,0.8749,0.07476592577248817,0.8468276148057389
tiny-imagenet,0.6829,0.8235,0.08009211607724429,0.8087277258546262
normal_dataset,0.3860119047619048,0.6056547619047619,0.140287047150057,0.8085159421178146
plastic_dataset,0.3090203928437383,0.5207056174152384,0.19801544425753886,0.7837107392640712
objectnet,0.3163561968342845,0.46511252288144717,0.30277396361547637,0.7603163976552859
PUG_ImageNet,0.5268204872747034,0.6766031156598135,0.08365485013908232,0.8700416015043981
AVERAGE,0.5811916417242574,0.7314742251025674,0.12165416155634794,0.8317539128874899
