Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.7403,0.88864,0.081488696218431,0.8806629320263808
imagenet-9,0.4740740740740741,0.6509567901234568,0.06765529797297477,0.9225236652117568
imagenet-a,0.028101164191087918,0.09594540345242875,0.22557081694996506,0.6671800318640467
imagenet-c,0.44540315789473683,0.6737715789473684,0.052037101341497756,0.8769469201559946
imagenet-d,0.07259565667011375,0.18386763185108584,0.19596652518168106,0.6429632044038823
imagenet-hard,0.19517304189435336,0.4994535519125683,0.10837460829416641,0.7545498815035054
imagenet-mini,0.0538,0.0852,0.013301228381693363,0.9694390946686374
imagenet-r,0.24286666666666668,0.3403333333333333,0.09344408281060558,0.8885802429673006
imagenet-sketch,0.2547898367034133,0.40152095737782234,0.07574379585977481,0.8742151155155968
imagenet-v2,0.5917,0.7722,0.044776299018412825,0.87624345945511
tiny-imagenet,0.2638,0.4326,0.07497011168487369,0.8459090788321646
normal_dataset,0.07678571428571429,0.17410714285714285,0.14066732978293048,0.7701864013714583
plastic_dataset,0.08770173902164394,0.18828975353434255,0.11088960389453434,0.8120736734529388
objectnet,0.08043501668999677,0.15462474426617853,0.13079152260823257,0.7850658488755959
PUG_ImageNet,0.22417579929354225,0.3397903269631374,0.08136369893622587,0.8518816999527778
AVERAGE,0.2554467911590229,0.39208674764125767,0.0998027145957333,0.8278947500171431
