Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.78408,0.91814,0.03218866752341388,0.8774656607580137
imagenet-9,0.5248456790123457,0.657962962962963,0.058894950852579904,0.9223483703043227
imagenet-a,0.11842633480529907,0.2361835942727151,0.2602478495092257,0.7502509270407761
imagenet-c,0.6522252631578948,0.8222564210526315,0.041966662885633756,0.8771213431633331
imagenet-d,0.13671147880041365,0.30548086866597723,0.2475425218336955,0.6544098725124265
imagenet-hard,0.36602914389799635,0.5529143897996357,0.07287718318775975,0.7733216403236759
imagenet-mini,0.7942,0.9246,0.045513118313252915,0.8671380629094463
imagenet-r,0.30816666666666664,0.4026,0.14843514576467376,0.887377223704558
imagenet-sketch,0.32765430643164534,0.4910098449566704,0.11881438296484219,0.8685130616180787
imagenet-v2,0.6521,0.824,0.017593570799380537,0.8696237274238019
tiny-imagenet,0.5601,0.7108,0.05619826445803046,0.8509635757814331
normal_dataset,0.13154761904761905,0.24136904761904762,0.16535746678044747,0.8057500798600665
plastic_dataset,0.13636932315776304,0.26648317277617917,0.1843183017734904,0.7942321314891677
objectnet,0.12964358781091848,0.221976957036718,0.19548609866990818,0.8084548885051807
PUG_ImageNet,0.267729372339462,0.3785209673036863,0.16595749750245992,0.849212200045629
AVERAGE,0.39265525167520166,0.5302865484297482,0.12075944552125296,0.8304121843626606
