Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.7805,0.9489,0.7373026757158455,0.7632820208995169
imagenet-9,0.5496604938271605,0.7018518518518518,0.5237067043208868,0.8853084023086312
imagenet-a,0.5209420580757393,0.7370533922119631,0.5080886028167121,0.745617115378268
imagenet-c,0.6871153684210526,0.8786962105263157,0.6605563945976272,0.8046477249493112
imagenet-d,0.2062047569803516,0.5249224405377456,0.1975240191291621,0.605038147271413
imagenet-hard,0.27704918032786885,0.5707650273224044,0.26551601692560456,0.6746326394779794
imagenet-mini,0.8134,0.967,0.7644826514730696,0.7664534376102744
imagenet-r,0.5213,0.7135333333333334,0.5058791305017386,0.8120610358854835
imagenet-sketch,0.5342804928373519,0.7835681581481263,0.5189154959340155,0.7709860046714723
imagenet-v2,0.6826,0.8944,0.6468446839954937,0.782539923429284
tiny-imagenet,0.6115,0.8047,0.5919142790284474,0.7691956084106534
normal_dataset,0.31607142857142856,0.5553571428571429,0.30899079345091157,0.7818646854138291
plastic_dataset,0.26810959589640937,0.48442387088702615,0.261214116272575,0.8219644160474772
objectnet,0.25433401529019056,0.4161193065575536,0.2432650154359423,0.7793737562550246
PUG_ImageNet,0.4571596775654379,0.6431482655556562,0.446124717690628,0.8286399563701026
AVERAGE,0.4986818045195328,0.7082959333192744,0.47868835315257735,0.7727736582919147
