Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-LOGITS,clip_l_in1k__logits,0.5430327868852459,0.7211076895208768,0.06775837188159607,0.8361896233151883,47965,0.543320063215462
2,DINOv2-L-IN1K-LOGITS,dinov2_l_in1k__logits,0.5199936599945657,0.7000498143284123,0.025624331265361316,0.8308252268142533,45930,0.5784630632120482
3,Hiera_L-IN1K-LOGITS,hiera_l_in1k__logits,0.4826555565619056,0.664998641427407,0.08081951474767694,0.8150562253747201,42632,0.49346112778635765
4,CLIP-B-IN1K-LOGITS,clip_b_in1k__logits,0.4787270174803007,0.6574925278507382,0.09911461194327492,0.8148552379502039,42285,0.4853785133727259
5,Swin-L-IN1K-LOGITS,swin_l_in1k__logits,0.4631940041662893,0.6558395978625124,0.1107853769489458,0.8018635312804698,40913,0.5010247409576764
6,DINOv2-B-IN1K-LOGITS,dinov2_b_in1k__logits,0.4328865139027262,0.6130672040576035,0.05123729997760477,0.8420083356906793,38236,0.5183524592921694
7,Hiera_B-LOGITS,hiera_b_in1k__logits,0.4266257585363645,0.6110972737976632,0.0934516311436824,0.8037745414382946,37683,0.446001027200149
8,Swin-B-IN1K-LOGITS,swin_b_in1k__logits,0.42643329408568065,0.6174599221085046,0.10164241239694395,0.7984247651520252,37666,0.471623468529143
9,Swin-S-IN1K-LOGITS,swin_s_in1k__logits,0.40857938592518794,0.6022325876279323,0.10351319300524836,0.8030433800530985,36089,0.44538277669770204
10,Hiera_S-IN1K-LOGITS,hiera_s_in1k__logits,0.39152929988225704,0.5804388189475591,0.11574404892439041,0.8031525935276492,34583,0.4255160811904782
11,DINOv2-S-IN1K-LOGITS,dinov2_s_in1k__logits,0.3637464903541346,0.5471537904175346,0.09050689474761771,0.8399957966516822,32129,0.44465165254931677
12,ViT-L-IN1K-LOGITS,vit_l_in1k__logits,0.3408318992844851,0.5114233312199982,0.23104398965986733,0.8192786822017915,30105,0.41990098870117737
13,ResNet-50-IN1K-LOGITS,resnet50_in1k__logits,0.3260461008966579,0.4915768499230142,0.2781967033176856,0.8272001040896713,28799,0.35425739583764987
14,ViT-B-IN1K-LOGITS,vit_b_in1k__logits,0.31402273344805726,0.4783647314554841,0.21748737631992046,0.8097859046891205,27737,0.39604177306428845
