Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,DINOv2-L-IN1K-LOGITS,dinov2_l_in1k__logits,0.6105246913580247,0.7607716049382716,0.017040913899739555,0.9056309428402671,19781,0.5784630632120482
2,Swin-L-IN1K-LOGITS,swin_l_in1k__logits,0.5770987654320988,0.7286111111111111,0.0515541694782398,0.8941220260596725,18698,0.5010247409576764
3,DINOv2-B-IN1K-LOGITS,dinov2_b_in1k__logits,0.5704938271604938,0.7238580246913581,0.041447598021707444,0.9111327430686073,18484,0.5183524592921694
4,Hiera_L-IN1K-LOGITS,hiera_l_in1k__logits,0.5646604938271605,0.7236419753086419,0.04996951235665217,0.882951035158848,18295,0.49346112778635765
5,CLIP-L-IN1K-LOGITS,clip_l_in1k__logits,0.5538888888888889,0.7202777777777778,0.044975188337726374,0.8872079528254675,17946,0.543320063215462
6,Swin-B-IN1K-LOGITS,swin_b_in1k__logits,0.5529320987654321,0.7094753086419753,0.04481992865786141,0.8878278558347722,17915,0.471623468529143
7,Hiera_B-LOGITS,hiera_b_in1k__logits,0.5423456790123456,0.7029938271604939,0.04328488114439413,0.8784547752386558,17572,0.446001027200149
8,CLIP-B-IN1K-LOGITS,clip_b_in1k__logits,0.5408950617283951,0.7007098765432099,0.04530913953427916,0.8894646236468909,17525,0.4853785133727259
9,Swin-S-IN1K-LOGITS,swin_s_in1k__logits,0.536820987654321,0.7008641975308642,0.04217597252056923,0.892144470068896,17393,0.44538277669770204
10,Hiera_S-IN1K-LOGITS,hiera_s_in1k__logits,0.5320679012345679,0.6946604938271604,0.03875748392976361,0.8805042957546767,17239,0.4255160811904782
11,DINOv2-S-IN1K-LOGITS,dinov2_s_in1k__logits,0.5191666666666667,0.6825925925925926,0.07911946143633053,0.9016445477253061,16821,0.44465165254931677
12,ViT-L-IN1K-LOGITS,vit_l_in1k__logits,0.5186111111111111,0.6826234567901235,0.10845368679658868,0.8995215253860848,16803,0.41990098870117737
13,ViT-B-IN1K-LOGITS,vit_b_in1k__logits,0.5050925925925925,0.6706481481481481,0.11158279913443105,0.9008501377267171,16365,0.39604177306428845
14,ResNet-50-IN1K-LOGITS,resnet50_in1k__logits,0.5047530864197531,0.6562345679012346,0.13145603956999602,0.9069978218272462,16354,0.35425739583764987
