Rank,Model,Model Key,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC,ImageNet Samples,Avg Top-1 Across All
1,CLIP-L-IN1K-LOGITS,clip_l_in1k__logits,0.30514199924934315,0.5093206555736269,0.20782831125916823,0.7771903439236049,2439,0.543320063215462
2,DINOv2-L-IN1K-LOGITS,dinov2_l_in1k__logits,0.2982609783560616,0.5232078068309771,0.062163688118461076,0.7918314779937804,2384,0.5784630632120482
3,DINOv2-B-IN1K-LOGITS,dinov2_b_in1k__logits,0.2397097460277743,0.4567746778431127,0.1310403652756709,0.8168517937684201,1916,0.5183524592921694
4,CLIP-B-IN1K-LOGITS,clip_b_in1k__logits,0.23007631677718005,0.40072563493056423,0.26606409728385383,0.7677900358091918,1839,0.4853785133727259
5,Hiera_L-IN1K-LOGITS,hiera_l_in1k__logits,0.2287001125985237,0.41060928312273237,0.1896128392586433,0.7285985241738407,1828,0.49346112778635765
6,Swin-L-IN1K-LOGITS,swin_l_in1k__logits,0.2183160265232078,0.40010008757662957,0.17494032711972585,0.7366634686996687,1745,0.5010247409576764
7,Swin-S-IN1K-LOGITS,swin_s_in1k__logits,0.19704741648942825,0.3704491430001251,0.1336545606556127,0.7710642191851291,1575,0.44538277669770204
8,Swin-B-IN1K-LOGITS,swin_b_in1k__logits,0.19316902289503315,0.3782059301889153,0.15782475170229518,0.7249378744505515,1544,0.471623468529143
9,DINOv2-S-IN1K-LOGITS,dinov2_s_in1k__logits,0.185287126235456,0.3905917677968222,0.16882724349137526,0.7955724911118227,1481,0.44465165254931677
10,Hiera_B-LOGITS,hiera_b_in1k__logits,0.17665457275115726,0.35118228449893657,0.24046436215795267,0.7166965011732205,1412,0.446001027200149
11,Hiera_S-IN1K-LOGITS,hiera_s_in1k__logits,0.1641436256724634,0.31490053797072437,0.23817014318375748,0.7409928980435965,1312,0.4255160811904782
12,ViT-L-IN1K-LOGITS,vit_l_in1k__logits,0.15951457525334667,0.34267484048542474,0.3016132482163348,0.7471599857567319,1275,0.41990098870117737
13,ViT-B-IN1K-LOGITS,vit_b_in1k__logits,0.14775428499937446,0.31052170649318156,0.3027581174696072,0.7352513470525441,1181,0.39604177306428845
14,ResNet-50-IN1K-LOGITS,resnet50_in1k__logits,0.10646815963968473,0.2509695983985988,0.45278595058518,0.7299213273395393,851,0.35425739583764987
