Model,imagenet-1k,imagenet-9,imagenet-a,imagenet-c,imagenet-d,imagenet-hard,imagenet-mini,imagenet-r,imagenet-sketch,imagenet-v2,tiny-imagenet,normal_dataset,plastic_dataset,objectnet,PUG_ImageNet,Mean,Std
DINOv2-B-IN1K-LOGITS,0.8734161637488024,0.9111327430686073,0.7875660470610857,0.8792419320711324,0.6094888946059515,0.7654841107086037,0.8693021680669646,0.8464148828024973,0.8401295370784592,0.8563720745085852,0.8184677308104789,0.8085317077533953,0.8168517937684201,0.8010709931157702,0.8420083356906793,0.8216986076572954,0.07010537511692504
DINOv2-L-IN1K-LOGITS,0.8671774344150198,0.9056309428402671,0.8006203169050673,0.8754480858041219,0.6499637736696721,0.7676811408851785,0.8485037566180516,0.851816434709367,0.838970599560052,0.8475063128028087,0.8043695650428738,0.7821170300074524,0.7918314779937804,0.7892223895107765,0.8308252268142533,0.8167789658385829,0.0603448182955105
DINOv2-S-IN1K-LOGITS,0.8731081758603099,0.9016445477253061,0.7601462928260314,0.8718244698318348,0.5879044730208911,0.7492491429486017,0.8709561090024707,0.8476559471914776,0.8278985269068084,0.8535666393950332,0.8080285196569958,0.7996914438430494,0.7955724911118227,0.7927777525969582,0.8399957966516822,0.8120013552379516,0.07583474382264623
ViT-L-IN1K-LOGITS,0.876818384104389,0.8995215253860848,0.7005303389637278,0.8692212366259974,0.6249329536386538,0.7661615203722183,0.8758472431449181,0.8285675262048802,0.8258768295005329,0.8549140582290563,0.8116245215337514,0.7874663674745562,0.7471599857567319,0.7741611667416204,0.8192786822017915,0.8041388226585939,0.07387519892785831
ViT-B-IN1K-LOGITS,0.872192700729232,0.9008501377267171,0.6848529069057738,0.8679230846999517,0.6018255908040607,0.7599101349288141,0.8741514964517125,0.825430221522157,0.8278301354277511,0.8571522011738416,0.8166396486120688,0.7859884093010026,0.7352513470525441,0.7770635880506153,0.8097859046891205,0.7997898338716909,0.08000358504803796
CLIP-L-IN1K-LOGITS,0.859288571992812,0.8872079528254675,0.7020017249759953,0.865946344390831,0.582551709163432,0.7324041078154537,0.853359140385709,0.8042592666266135,0.8200108054927513,0.8374607795733654,0.7905239116629268,0.7930411332385016,0.7771903439236049,0.7792523055053782,0.8361896233151883,0.7947125147258689,0.0772631334552376
CLIP-B-IN1K-LOGITS,0.8569391732729598,0.8894646236468909,0.6666416042531724,0.8629410994206241,0.5621898903295294,0.7344571984883619,0.8522443729379438,0.8103008362583123,0.8225912923260824,0.8363317177596752,0.8089713287197606,0.7830045470945115,0.7677900358091918,0.7790504321517006,0.8148552379502039,0.7898515593612614,0.0841040991038953
ResNet-50-IN1K-LOGITS,0.8726804510753319,0.9069978218272462,0.5527340136592112,0.8708064225362021,0.51355343478814,0.7775938594268746,0.8764573282474473,0.823736967585332,0.8394138868012628,0.8590610423009789,0.80304417060313,0.7076171236347328,0.7299213273395393,0.7927236153632883,0.8272001040896713,0.7835694379518927,0.11560021042918348
Swin-L-IN1K-LOGITS,0.8644692535323479,0.8941220260596725,0.678218628705968,0.8386548129996712,0.5379879875285702,0.7237311440945957,0.8645349811478844,0.8222942825537923,0.8215359294572764,0.8449591810274311,0.7769207821470662,0.7702082148990382,0.7366634686996687,0.765726872545866,0.8018635312804698,0.7827927397786212,0.08988992610358847
Hiera_L-IN1K-LOGITS,0.853072211223386,0.882951035158848,0.6902008506140137,0.8249934737316353,0.5582795403895859,0.7340333454526567,0.8625461463430695,0.8072418388571208,0.8368518601303877,0.8300329420440369,0.7910111185992612,0.7497570535492583,0.7285985241738407,0.7770221819464156,0.8150562253747201,0.7827765565058825,0.08254489345631787
Swin-S-IN1K-LOGITS,0.8680890931816642,0.892144470068896,0.647294813850416,0.840009239124203,0.533891387024429,0.708229932955831,0.8762189592280447,0.815852351268727,0.8250957179943186,0.842266194372983,0.7733647922086329,0.7550459427057572,0.7710642191851291,0.7785883955436049,0.8030433800530985,0.782013259251049,0.09446888773769935
Swin-B-IN1K-LOGITS,0.8606326060190472,0.8878278558347722,0.6689052268849761,0.8380207126373942,0.5307058742992908,0.7219964363995091,0.8619689455482196,0.8195635651276981,0.8218460768339031,0.8402009047983514,0.7811619579862974,0.7568182826579755,0.7249378744505515,0.7688249777305161,0.7984247651520252,0.7787890708240351,0.09142571314880546
Hiera_S-IN1K-LOGITS,0.8542236663905572,0.8805042957546767,0.6360712233107534,0.8244488058532264,0.5356174863601545,0.7506211720328708,0.8548452142953955,0.8123231553089832,0.8339907028131371,0.8325313207198014,0.7805306625621274,0.7563357894924969,0.7409928980435965,0.7769368064647137,0.8031525935276492,0.7782083861953427,0.09015368618135966
Hiera_B-LOGITS,0.8532131516131471,0.8784547752386558,0.6534488702852939,0.8241413144014882,0.526264440589123,0.7418063735465696,0.8504226192598245,0.8121567420530863,0.8305380005717933,0.8365062382176849,0.7773679397364504,0.7172724543054522,0.7166965011732205,0.7697419102770511,0.8037745414382946,0.7727870581804756,0.09197715182617819
