Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.85898,0.97548,0.03522655761718749,0.8671774344150198
imagenet-9,0.6105246913580247,0.7607716049382716,0.017040913899739555,0.9056309428402671
imagenet-a,0.6179579820687809,0.8346045764753112,0.04099569852837403,0.8006203169050673
imagenet-c,0.7786231578947368,0.9306094736842105,0.017474661054109303,0.8754480858041219
imagenet-d,0.2467425025853154,0.5706308169596691,0.2391296828545114,0.6499637736696721
imagenet-hard,0.3941712204007286,0.6549180327868852,0.1457748176838748,0.7676811408851785
imagenet-mini,0.873,0.9804,0.05004957275390622,0.8485037566180516
imagenet-r,0.6335333333333333,0.7920333333333334,0.030881897989908872,0.851816434709367
imagenet-sketch,0.6238086816404331,0.8348759063844838,0.02687879335732933,0.838970599560052
imagenet-v2,0.7844,0.9401,0.022183840942382852,0.8475063128028087
tiny-imagenet,0.7279,0.8641,0.04651767730712893,0.8043695650428738
normal_dataset,0.37648809523809523,0.5976190476190476,0.03093811216808502,0.7821170300074524
plastic_dataset,0.2982609783560616,0.5232078068309771,0.062163688118461076,0.7918314779937804
objectnet,0.3325616453106493,0.48013351997415743,0.20344214030175747,0.7892223895107765
PUG_ImageNet,0.5199936599945657,0.7000498143284123,0.025624331265361316,0.8308252268142533
AVERAGE,0.5784630632120482,0.7626355955543173,0.06628815905614119,0.8167789658385829
