Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.80364,0.94566,0.08636966735839846,0.8726804510753319
imagenet-9,0.5047530864197531,0.6562345679012346,0.13145603956999602,0.9069978218272462
imagenet-a,0.04308845175966814,0.16927606048441055,0.4799868495496548,0.5527340136592112
imagenet-c,0.5048553684210526,0.7014496842105263,0.12454661499103747,0.8708064225362021
imagenet-d,0.09017580144777664,0.3476732161323681,0.531459671856822,0.51355343478814
imagenet-hard,0.1924408014571949,0.3909836065573771,0.3724510901612662,0.7775938594268746
imagenet-mini,0.8114,0.9488,0.08085329589843746,0.8764573282474473
imagenet-r,0.2771,0.41013333333333335,0.3212566520690918,0.823736967585332
imagenet-sketch,0.2965277368390025,0.4670557487865747,0.2813803431734253,0.8394138868012628
imagenet-v2,0.6889,0.8759,0.13923202514648436,0.8590610423009789
tiny-imagenet,0.3519,0.5643,0.2830960144042969,0.80304417060313
normal_dataset,0.12113095238095238,0.26875,0.4495407558622815,0.7076171236347328
plastic_dataset,0.10646815963968473,0.2509695983985988,0.45278595058518,0.7299213273395393
objectnet,0.1954344783030042,0.3214170345644449,0.3518594409313759,0.7927236153632883
PUG_ImageNet,0.3260461008966579,0.4915768499230142,0.2781967033176856,0.8272001040896713
AVERAGE,0.35425739583764987,0.5206786466861254,0.29096474099169556,0.7835694379518927
