Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8528,0.9757,0.08230313171386722,0.8606326060190472
imagenet-9,0.5529320987654321,0.7094753086419753,0.04481992865786141,0.8878278558347722
imagenet-a,0.3061688746152817,0.6101967081493376,0.16980380468318762,0.6689052268849761
imagenet-c,0.6805016842105264,0.8683953684210526,0.07766571406555177,0.8380207126373942
imagenet-d,0.21054808686659773,0.598965873836608,0.25938694824723696,0.5307058742992908
imagenet-hard,0.2715846994535519,0.5320582877959927,0.1895935447706768,0.7219964363995091
imagenet-mini,0.8574,0.9814,0.08477280273437503,0.8619689455482196
imagenet-r,0.4357666666666667,0.6081333333333333,0.07870234467188517,0.8195635651276981
imagenet-sketch,0.4558352492680147,0.6850399889956572,0.07267340415515765,0.8218460768339031
imagenet-v2,0.7567,0.9317,0.04619231872558594,0.8402009047983514
tiny-imagenet,0.5739,0.7785,0.021201824951171882,0.7811619579862974
normal_dataset,0.22738095238095238,0.4107142857142857,0.11316394351777574,0.7568182826579755
plastic_dataset,0.19316902289503315,0.3782059301889153,0.15782475170229518,0.7249378744505515
objectnet,0.2732313987294067,0.4242489501453645,0.2063400130540444,0.7688249777305161
PUG_ImageNet,0.42643329408568065,0.6174599221085046,0.10164241239694395,0.7984247651520252
AVERAGE,0.471623468529143,0.6740129304887351,0.11373912586984111,0.7787890708240351
