Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.8632,0.97894,0.053425932006835916,0.8644692535323479
imagenet-9,0.5770987654320988,0.7286111111111111,0.0515541694782398,0.8941220260596725
imagenet-a,0.38485213435032783,0.6951692760604844,0.14635362271625774,0.678218628705968
imagenet-c,0.7106082105263158,0.8890917894736842,0.0552301476452476,0.8386548129996712
imagenet-d,0.21323681489141674,0.6318510858324715,0.28380172713712676,0.5379879875285702
imagenet-hard,0.3115664845173042,0.5659380692167577,0.19729481889901918,0.7237311440945957
imagenet-mini,0.868,0.9814,0.05884635620117189,0.8645349811478844
imagenet-r,0.4760333333333333,0.6547333333333333,0.09188503850301105,0.8222942825537923
imagenet-sketch,0.4899880131266089,0.713670930849496,0.0845285025963947,0.8215359294572764
imagenet-v2,0.7706,0.939,0.028258520507812513,0.8449591810274311
tiny-imagenet,0.6047,0.8052,0.03594919586181643,0.7769207821470662
normal_dataset,0.26398809523809524,0.45535714285714285,0.11990111214773995,0.7702082148990382
plastic_dataset,0.2183160265232078,0.40010008757662957,0.17494032711972585,0.7366634686996687
objectnet,0.2999892322601486,0.45224507375901796,0.21808308970752335,0.765726872545866
PUG_ImageNet,0.4631940041662893,0.6558395978625124,0.1107853769489458,0.8018635312804698
AVERAGE,0.5010247409576764,0.7031431665288426,0.11405586249845791,0.7827927397786212
