Dataset,ImageNet Top-1,ImageNet Top-5,ImageNet ECE,ImageNet ROC AUC
imagenet-1k,0.81974,0.96002,0.045926558532714844,0.876818384104389
imagenet-9,0.5186111111111111,0.6826234567901235,0.10845368679658868,0.8995215253860848
imagenet-a,0.149605245550649,0.3389535661715509,0.34873480218075437,0.7005303389637278
imagenet-c,0.6527863157894737,0.8480058947368421,0.07064747212460167,0.8692212366259974
imagenet-d,0.16339193381592554,0.46804550155118924,0.3803735174831955,0.6249329536386538
imagenet-hard,0.25482695810564665,0.4931693989071038,0.2959297805535989,0.7661615203722183
imagenet-mini,0.8334,0.9678,0.040063983154296906,0.8758472431449181
imagenet-r,0.3575,0.5092666666666666,0.20038928578694662,0.8285675262048802
imagenet-sketch,0.40368252471064475,0.6328676138261707,0.17874543761337483,0.8258768295005329
imagenet-v2,0.6952,0.8937,0.09438072814941406,0.8549140582290563
tiny-imagenet,0.6145,0.8034,0.10695220031738284,0.8116245215337514
normal_dataset,0.15833333333333333,0.31934523809523807,0.26418547857375374,0.7874663674745562
plastic_dataset,0.15951457525334667,0.34267484048542474,0.3016132482163348,0.7471599857567319
objectnet,0.17659093356304512,0.3072036179605901,0.34536605560575473,0.7741611667416204
PUG_ImageNet,0.3408318992844851,0.5114233312199982,0.23104398965986733,0.8192786822017915
AVERAGE,0.41990098870117737,0.6052332750940598,0.20085374831657202,0.8041388226585939
