rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov2_b__knn;DINOv2-B-KNN;0.79728;0.93526;0.0;0;0;0;0.0
2;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.8053;0.94154;0.0;0;0;0;0.0
3;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.7805;0.9489;0.0;0;0;0;0.0
4;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.84522;0.96886;0.0;0;0;0;0.0
5;dinov2_l__knn;DINOv2-L-KNN;0.81078;0.93834;0.0;0;0;0;0.0
6;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.8159;0.9472;0.0;0;0;0;0.0
7;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.85898;0.97548;0.0;0;0;0;0.0
8;dinov2_s__knn;DINOv2-S-KNN;0.76108;0.92304;0.0;0;0;0;0.0
9;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.76286;0.92914;0.0;0;0;0;0.0
10;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.82094;0.95886;0.0;0;0;0;0.0
