class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
9;class_9;50;;1.0;1.0;1.0;1.0;50;0;0
986;class_986;50;;1.0;1.0;1.0;1.0;50;0;0
13;class_13;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
92;class_92;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
19;class_19;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
576;class_576;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
135;class_135;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
102;class_102;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
988;class_988;50;;0.98;0.98;0.98;0.98;49;1;1
604;class_604;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
376;class_376;50;;1.0;0.9433962264150944;1.0;0.970873786407767;50;3;0
139;class_139;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
956;class_956;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
90;class_90;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
87;class_87;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
24;class_24;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
340;class_340;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
594;class_594;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
275;class_275;50;;0.98;0.9423076923076923;0.98;0.9607843137254902;49;3;1
565;class_565;50;;0.96;0.96;0.96;0.96;48;2;2
321;class_321;50;;0.96;0.96;0.96;0.96;48;2;2
83;class_83;50;;0.96;0.96;0.96;0.96;48;2;2
991;class_991;50;;0.96;0.96;0.96;0.96;48;2;2
247;class_247;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
94;class_94;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
145;class_145;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
323;class_323;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
955;class_955;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
995;class_995;50;;1.0;0.9090909090909091;1.0;0.9523809523809523;50;5;0
364;class_364;50;;1.0;0.9090909090909091;1.0;0.9523809523809523;50;5;0
69;class_69;50;;0.98;0.9245283018867925;0.98;0.9514563106796116;49;4;1
993;class_993;50;;0.98;0.9245283018867925;0.98;0.9514563106796116;49;4;1
685;class_685;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
12;class_12;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
11;class_11;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
984;class_984;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
387;class_387;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
365;class_365;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
388;class_388;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
76;class_76;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
276;class_276;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
317;class_317;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
17;class_17;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
354;class_354;50;;0.98;0.9074074074074074;0.98;0.9423076923076924;49;5;1
802;class_802;50;;0.98;0.9074074074074074;0.98;0.9423076923076924;49;5;1
640;class_640;50;;0.98;0.9074074074074074;0.98;0.9423076923076924;49;5;1
291;class_291;50;;0.98;0.9074074074074074;0.98;0.9423076923076924;49;5;1
396;class_396;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
392;class_392;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
51;class_51;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
607;class_607;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
1;class_1;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
268;class_268;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
136;class_136;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
88;class_88;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
727;class_727;50;;0.94;0.94;0.94;0.94;47;3;3
466;class_466;50;;0.94;0.94;0.94;0.94;47;3;3
95;class_95;50;;0.94;0.94;0.94;0.94;47;3;3
528;class_528;50;;0.94;0.94;0.94;0.94;47;3;3
