class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
11;class_11;10;;1.0;1.0;1.0;1.0;10;0;0
12;class_12;10;;1.0;1.0;1.0;1.0;10;0;0
994;class_994;10;;1.0;1.0;1.0;1.0;10;0;0
993;class_993;10;;1.0;1.0;1.0;1.0;10;0;0
51;class_51;10;;1.0;1.0;1.0;1.0;10;0;0
43;class_43;10;;1.0;1.0;1.0;1.0;10;0;0
995;class_995;10;;1.0;1.0;1.0;1.0;10;0;0
100;class_100;10;;1.0;1.0;1.0;1.0;10;0;0
537;class_537;10;;1.0;1.0;1.0;1.0;10;0;0
576;class_576;10;;1.0;1.0;1.0;1.0;10;0;0
83;class_83;10;;1.0;1.0;1.0;1.0;10;0;0
76;class_76;10;;1.0;1.0;1.0;1.0;10;0;0
720;class_720;10;;1.0;1.0;1.0;1.0;10;0;0
568;class_568;10;;1.0;1.0;1.0;1.0;10;0;0
612;class_612;10;;1.0;1.0;1.0;1.0;10;0;0
607;class_607;10;;1.0;1.0;1.0;1.0;10;0;0
956;class_956;10;;1.0;1.0;1.0;1.0;10;0;0
707;class_707;10;;1.0;1.0;1.0;1.0;10;0;0
953;class_953;10;;1.0;1.0;1.0;1.0;10;0;0
701;class_701;10;;1.0;1.0;1.0;1.0;10;0;0
456;class_456;10;;1.0;1.0;1.0;1.0;10;0;0
88;class_88;10;;1.0;1.0;1.0;1.0;10;0;0
89;class_89;10;;1.0;1.0;1.0;1.0;10;0;0
820;class_820;10;;1.0;1.0;1.0;1.0;10;0;0
450;class_450;10;;1.0;1.0;1.0;1.0;10;0;0
802;class_802;10;;1.0;1.0;1.0;1.0;10;0;0
92;class_92;10;;1.0;1.0;1.0;1.0;10;0;0
91;class_91;10;;1.0;1.0;1.0;1.0;10;0;0
545;class_545;10;;1.0;1.0;1.0;1.0;10;0;0
490;class_490;10;;1.0;1.0;1.0;1.0;10;0;0
95;class_95;10;;1.0;1.0;1.0;1.0;10;0;0
726;class_726;10;;1.0;1.0;1.0;1.0;10;0;0
934;class_934;10;;1.0;1.0;1.0;1.0;10;0;0
245;class_245;10;;1.0;1.0;1.0;1.0;10;0;0
289;class_289;10;;1.0;1.0;1.0;1.0;10;0;0
284;class_284;10;;1.0;1.0;1.0;1.0;10;0;0
24;class_24;10;;1.0;1.0;1.0;1.0;10;0;0
17;class_17;10;;1.0;1.0;1.0;1.0;10;0;0
16;class_16;10;;1.0;1.0;1.0;1.0;10;0;0
19;class_19;10;;1.0;1.0;1.0;1.0;10;0;0
20;class_20;10;;1.0;1.0;1.0;1.0;10;0;0
984;class_984;10;;1.0;1.0;1.0;1.0;10;0;0
986;class_986;10;;1.0;1.0;1.0;1.0;10;0;0
29;class_29;10;;1.0;1.0;1.0;1.0;10;0;0
14;class_14;10;;1.0;1.0;1.0;1.0;10;0;0
971;class_971;10;;1.0;1.0;1.0;1.0;10;0;0
18;class_18;10;;1.0;1.0;1.0;1.0;10;0;0
15;class_15;10;;1.0;1.0;1.0;1.0;10;0;0
247;class_247;10;;1.0;1.0;1.0;1.0;10;0;0
217;class_217;10;;1.0;1.0;1.0;1.0;10;0;0
213;class_213;10;;1.0;1.0;1.0;1.0;10;0;0
254;class_254;10;;1.0;1.0;1.0;1.0;10;0;0
340;class_340;10;;1.0;1.0;1.0;1.0;10;0;0
339;class_339;10;;1.0;1.0;1.0;1.0;10;0;0
376;class_376;10;;1.0;1.0;1.0;1.0;10;0;0
150;class_150;10;;1.0;1.0;1.0;1.0;10;0;0
136;class_136;10;;1.0;1.0;1.0;1.0;10;0;0
362;class_362;10;;1.0;1.0;1.0;1.0;10;0;0
156;class_156;10;;1.0;1.0;1.0;1.0;10;0;0
363;class_363;10;;1.0;1.0;1.0;1.0;10;0;0
178;class_178;10;;1.0;1.0;1.0;1.0;10;0;0
