class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
995;class_995;50;;1.0;1.0;1.0;1.0;50;0;0
476;class_476;50;;1.0;1.0;1.0;1.0;50;0;0
145;class_145;50;;1.0;1.0;1.0;1.0;50;0;0
986;class_986;50;;1.0;1.0;1.0;1.0;50;0;0
344;class_344;50;;1.0;1.0;1.0;1.0;50;0;0
364;class_364;50;;1.0;1.0;1.0;1.0;50;0;0
130;class_130;50;;1.0;1.0;1.0;1.0;50;0;0
138;class_138;50;;1.0;1.0;1.0;1.0;50;0;0
88;class_88;50;;1.0;1.0;1.0;1.0;50;0;0
13;class_13;50;;1.0;1.0;1.0;1.0;50;0;0
956;class_956;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
974;class_974;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
991;class_991;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
11;class_11;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
993;class_993;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
71;class_71;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
560;class_560;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
9;class_9;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
89;class_89;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
87;class_87;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
102;class_102;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
800;class_800;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
24;class_24;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
129;class_129;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
90;class_90;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
606;class_606;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
645;class_645;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
268;class_268;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
915;class_915;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
15;class_15;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
296;class_296;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
23;class_23;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
822;class_822;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
307;class_307;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
988;class_988;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
92;class_92;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
701;class_701;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
450;class_450;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
136;class_136;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
802;class_802;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
100;class_100;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
394;class_394;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
642;class_642;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
604;class_604;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
376;class_376;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
640;class_640;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
573;class_573;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
612;class_612;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
955;class_955;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
10;class_10;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
150;class_150;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
279;class_279;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
739;class_739;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
105;class_105;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
19;class_19;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
16;class_16;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
275;class_275;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
833;class_833;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
820;class_820;50;;0.98;0.98;0.98;0.98;49;1;1
253;class_253;50;;0.98;0.98;0.98;0.98;49;1;1
17;class_17;50;;0.98;0.98;0.98;0.98;49;1;1
355;class_355;50;;0.98;0.98;0.98;0.98;49;1;1
347;class_347;50;;0.98;0.98;0.98;0.98;49;1;1
143;class_143;50;;0.98;0.98;0.98;0.98;49;1;1
900;class_900;50;;0.98;0.98;0.98;0.98;49;1;1
146;class_146;50;;0.98;0.98;0.98;0.98;49;1;1
103;class_103;50;;0.98;0.98;0.98;0.98;49;1;1
107;class_107;50;;0.98;0.98;0.98;0.98;49;1;1
84;class_84;50;;0.98;0.98;0.98;0.98;49;1;1
397;class_397;50;;0.98;0.98;0.98;0.98;49;1;1
