class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
990;class_990;50;;1.0;1.0;1.0;1.0;50;0;0
554;class_554;50;;1.0;1.0;1.0;1.0;50;0;0
955;class_955;50;;1.0;1.0;1.0;1.0;50;0;0
466;class_466;50;;1.0;1.0;1.0;1.0;50;0;0
135;class_135;50;;1.0;1.0;1.0;1.0;50;0;0
450;class_450;50;;1.0;1.0;1.0;1.0;50;0;0
129;class_129;50;;1.0;1.0;1.0;1.0;50;0;0
100;class_100;50;;1.0;1.0;1.0;1.0;50;0;0
344;class_344;50;;1.0;1.0;1.0;1.0;50;0;0
915;class_915;50;;1.0;1.0;1.0;1.0;50;0;0
19;class_19;50;;1.0;1.0;1.0;1.0;50;0;0
974;class_974;50;;1.0;1.0;1.0;1.0;50;0;0
24;class_24;50;;1.0;1.0;1.0;1.0;50;0;0
984;class_984;50;;1.0;1.0;1.0;1.0;50;0;0
88;class_88;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
102;class_102;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
255;class_255;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
268;class_268;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
160;class_160;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
376;class_376;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
645;class_645;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
9;class_9;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
130;class_130;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
11;class_11;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
13;class_13;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
12;class_12;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
148;class_148;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
178;class_178;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
354;class_354;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
364;class_364;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
209;class_209;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
986;class_986;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
594;class_594;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
576;class_576;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
1;class_1;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
430;class_430;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
701;class_701;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
87;class_87;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
606;class_606;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
92;class_92;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
694;class_694;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
476;class_476;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
307;class_307;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
14;class_14;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
800;class_800;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
802;class_802;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
351;class_351;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
145;class_145;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
394;class_394;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
143;class_143;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
323;class_323;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
820;class_820;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
139;class_139;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
361;class_361;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
279;class_279;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
573;class_573;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
995;class_995;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
90;class_90;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
674;class_674;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
989;class_989;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
816;class_816;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
321;class_321;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
275;class_275;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
874;class_874;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
259;class_259;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
324;class_324;50;;0.98;0.98;0.98;0.98;49;1;1
22;class_22;50;;0.98;0.98;0.98;0.98;49;1;1
985;class_985;50;;0.98;0.98;0.98;0.98;49;1;1
355;class_355;50;;0.98;0.98;0.98;0.98;49;1;1
228;class_228;50;;0.98;0.98;0.98;0.98;49;1;1
812;class_812;50;;0.98;0.98;0.98;0.98;49;1;1
322;class_322;50;;0.98;0.98;0.98;0.98;49;1;1
15;class_15;50;;0.98;0.98;0.98;0.98;49;1;1
253;class_253;50;;0.98;0.98;0.98;0.98;49;1;1
420;class_420;50;;0.98;0.98;0.98;0.98;49;1;1
146;class_146;50;;0.98;0.98;0.98;0.98;49;1;1
565;class_565;50;;0.98;0.98;0.98;0.98;49;1;1
612;class_612;50;;0.98;0.98;0.98;0.98;49;1;1
993;class_993;50;;0.98;0.98;0.98;0.98;49;1;1
996;class_996;50;;0.98;0.98;0.98;0.98;49;1;1
133;class_133;50;;0.98;0.98;0.98;0.98;49;1;1
956;class_956;50;;0.98;0.98;0.98;0.98;49;1;1
84;class_84;50;;0.98;0.98;0.98;0.98;49;1;1
76;class_76;50;;0.98;0.98;0.98;0.98;49;1;1
91;class_91;50;;0.98;0.98;0.98;0.98;49;1;1
325;class_325;50;;0.98;0.98;0.98;0.98;49;1;1
392;class_392;50;;0.98;0.98;0.98;0.98;49;1;1
347;class_347;50;;0.98;0.98;0.98;0.98;49;1;1
339;class_339;50;;0.98;0.98;0.98;0.98;49;1;1
326;class_326;50;;0.98;0.98;0.98;0.98;49;1;1
89;class_89;50;;0.98;0.98;0.98;0.98;49;1;1
136;class_136;50;;0.98;0.98;0.98;0.98;49;1;1
491;class_491;50;;0.98;0.98;0.98;0.98;49;1;1
262;class_262;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
