class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
255;Leonberg;18;;0.8888888888888888;1.0;0.8888888888888888;0.9411764705882353;16;0;2
396;lionfish;242;;0.7644628099173554;0.9736842105263158;0.7644628099173554;0.8564814814814815;185;5;57
661;Model_T;64;;0.78125;0.9433962264150944;0.78125;0.8547008547008547;50;3;14
211;vizsla;46;;0.7608695652173914;0.9722222222222222;0.7608695652173914;0.853658536585366;35;1;11
573;go-kart;60;;0.7666666666666667;0.9583333333333334;0.7666666666666667;0.8518518518518519;46;2;14
100;black_swan;62;;0.8225806451612904;0.8793103448275862;0.8225806451612904;0.8500000000000001;51;7;11
820;steam_locomotive;126;;0.8174603174603174;0.8803418803418803;0.8174603174603174;0.8477366255144033;103;14;23
263;Pembroke;34;;0.7352941176470589;1.0;0.7352941176470589;0.8474576271186441;25;0;9
577;gong;258;;0.8062015503875969;0.8888888888888888;0.8062015503875969;0.8455284552845528;208;26;50
188;wire-haired_fox_terrier;52;;0.7307692307692307;1.0;0.7307692307692307;0.8444444444444443;38;0;14
802;snowmobile;92;;0.7608695652173914;0.9459459459459459;0.7608695652173914;0.8433734939759038;70;4;22
258;Samoyed;30;;0.8;0.8888888888888888;0.8;0.8421052631578948;24;3;6
291;lion;110;;0.7818181818181819;0.8958333333333334;0.7818181818181819;0.8349514563106797;86;10;24
202;soft-coated_wheaten_terrier;20;;0.75;0.9375;0.75;0.8333333333333334;15;1;5
175;otterhound;14;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;10;0;4
323;monarch;206;;0.7281553398058253;0.9615384615384616;0.7281553398058253;0.8287292817679558;150;6;56
210;German_short-haired_pointer;66;;0.7272727272727273;0.96;0.7272727272727273;0.8275862068965517;48;2;18
569;garbage_truck;132;;0.7878787878787878;0.8666666666666667;0.7878787878787878;0.8253968253968254;104;16;28
198;standard_schnauzer;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
561;forklift;110;;0.7181818181818181;0.9634146341463414;0.7181818181818181;0.8229166666666666;79;3;31
641;maraca;48;;0.7708333333333334;0.8809523809523809;0.7708333333333334;0.8222222222222222;37;5;11
24;great_grey_owl;108;;0.7129629629629629;0.9625;0.7129629629629629;0.8191489361702128;77;3;31
0;tench;330;;0.7272727272727273;0.9375;0.7272727272727273;0.8191126279863482;240;16;90
88;macaw;70;;0.7428571428571429;0.9122807017543859;0.7428571428571429;0.8188976377952757;52;5;18
656;minivan;76;;0.7105263157894737;0.9642857142857143;0.7105263157894737;0.8181818181818182;54;2;22
214;Gordon_setter;28;;0.7142857142857143;0.9523809523809523;0.7142857142857143;0.8163265306122449;20;1;8
229;Old_English_sheepdog;16;;0.6875;1.0;0.6875;0.8148148148148148;11;0;5
146;albatross;66;;0.7272727272727273;0.9230769230769231;0.7272727272727273;0.8135593220338984;48;4;18
212;English_setter;22;;0.6818181818181818;1.0;0.6818181818181818;0.8108108108108109;15;0;7
671;mountain_bike;42;;0.9047619047619048;0.7307692307692307;0.9047619047619048;0.8085106382978723;38;14;4
90;lorikeet;84;;0.7023809523809523;0.9516129032258065;0.7023809523809523;0.8082191780821918;59;3;25
219;cocker_spaniel;34;;0.6764705882352942;1.0;0.6764705882352942;0.8070175438596492;23;0;11
98;red-breasted_merganser;64;;0.8125;0.8;0.8125;0.8062015503875969;52;13;12
687;organ;108;;0.6851851851851852;0.9736842105263158;0.6851851851851852;0.8043478260869565;74;2;34
139;ruddy_turnstone;82;;0.6707317073170732;1.0;0.6707317073170732;0.8029197080291971;55;0;27
127;white_stork;80;;0.7625;0.8472222222222222;0.7625;0.8026315789473685;61;11;19
684;ocarina;200;;0.69;0.9583333333333334;0.69;0.8023255813953488;138;6;62
157;papillon;28;;0.7142857142857143;0.9090909090909091;0.7142857142857143;0.8;20;2;8
87;African_grey;70;;0.7142857142857143;0.9090909090909091;0.7142857142857143;0.8;50;5;20
155;Shih-Tzu;42;;0.7142857142857143;0.9090909090909091;0.7142857142857143;0.8;30;3;12
170;Irish_wolfhound;28;;0.7142857142857143;0.9090909090909091;0.7142857142857143;0.8;20;2;8
