class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
258;Samoyed;30;;0.8;0.8888888888888888;0.8;0.8421052631578948;24;3;6
820;steam_locomotive;126;;0.7936507936507936;0.8849557522123894;0.7936507936507936;0.8368200836820084;100;13;26
661;Model_T;64;;0.71875;0.9787234042553191;0.71875;0.8288288288288289;46;1;18
573;go-kart;60;;0.7333333333333333;0.9361702127659575;0.7333333333333333;0.822429906542056;44;3;16
254;pug;36;;0.6944444444444444;1.0;0.6944444444444444;0.819672131147541;25;0;11
127;white_stork;80;;0.7;0.9824561403508771;0.7;0.8175182481751825;56;1;24
261;keeshond;28;;0.7142857142857143;0.9523809523809523;0.7142857142857143;0.8163265306122449;20;1;8
51;triceratops;60;;0.7;0.9767441860465116;0.7;0.8155339805825242;42;1;18
24;great_grey_owl;108;;0.6944444444444444;0.9615384615384616;0.6944444444444444;0.8064516129032258;75;3;33
561;forklift;110;;0.7181818181818181;0.9186046511627907;0.7181818181818181;0.8061224489795918;79;7;31
90;lorikeet;84;;0.7380952380952381;0.8857142857142857;0.7380952380952381;0.8051948051948051;62;8;22
22;bald_eagle;92;;0.6956521739130435;0.9552238805970149;0.6956521739130435;0.8050314465408804;64;3;28
323;monarch;206;;0.6844660194174758;0.9724137931034482;0.6844660194174758;0.8034188034188036;141;4;65
291;lion;110;;0.7818181818181819;0.819047619047619;0.7818181818181819;0.7999999999999999;86;19;24
402;acoustic_guitar;138;;0.7391304347826086;0.864406779661017;0.7391304347826086;0.796875;102;16;36
569;garbage_truck;132;;0.696969696969697;0.9292929292929293;0.696969696969697;0.7965367965367967;92;7;40
656;minivan;76;;0.6973684210526315;0.8983050847457628;0.6973684210526315;0.7851851851851851;53;6;23
157;papillon;28;;0.6428571428571429;1.0;0.6428571428571429;0.782608695652174;18;0;10
547;electric_locomotive;122;;0.6967213114754098;0.8854166666666666;0.6967213114754098;0.7798165137614679;85;11;37
237;miniature_pinscher;24;;0.7083333333333334;0.85;0.7083333333333334;0.7727272727272727;17;3;7
292;tiger;104;;0.6634615384615384;0.92;0.6634615384615384;0.7709497206703911;69;6;35
829;streetcar;86;;0.6395348837209303;0.9649122807017544;0.6395348837209303;0.7692307692307693;55;2;31
468;cab;64;;0.625;1.0;0.625;0.7692307692307693;40;0;24
260;chow;36;;0.6944444444444444;0.8620689655172413;0.6944444444444444;0.7692307692307692;25;4;11
717;pickup;78;;0.6538461538461539;0.9272727272727272;0.6538461538461539;0.7669172932330828;51;4;27
671;mountain_bike;42;;0.7380952380952381;0.7948717948717948;0.7380952380952381;0.7654320987654322;31;8;11
684;ocarina;200;;0.62;1.0;0.62;0.7654320987654321;124;0;76
100;black_swan;62;;0.7258064516129032;0.8035714285714286;0.7258064516129032;0.7627118644067797;45;11;17
757;recreational_vehicle;96;;0.6875;0.8461538461538461;0.6875;0.7586206896551724;66;12;30
139;ruddy_turnstone;82;;0.6097560975609756;1.0;0.6097560975609756;0.7575757575757575;50;0;32
0;tench;330;;0.6242424242424243;0.9406392694063926;0.6242424242424243;0.7504553734061932;206;13;124
609;jeep;90;;0.6111111111111112;0.9649122807017544;0.6111111111111112;0.7482993197278912;55;2;35
365;orangutan;208;;0.625;0.9154929577464789;0.625;0.7428571428571428;130;12;78
251;dalmatian;34;;0.5882352941176471;1.0;0.5882352941176471;0.7407407407407407;20;0;14
259;Pomeranian;34;;0.5882352941176471;1.0;0.5882352941176471;0.7407407407407407;20;0;14
146;albatross;66;;0.6212121212121212;0.9111111111111111;0.6212121212121212;0.7387387387387386;41;4;25
286;cougar;106;;0.5849056603773585;1.0;0.5849056603773585;0.738095238095238;62;0;44
87;African_grey;70;;0.6428571428571429;0.8653846153846154;0.6428571428571429;0.7377049180327869;45;7;25
289;snow_leopard;88;;0.6704545454545454;0.8194444444444444;0.6704545454545454;0.7374999999999999;59;13;29
296;ice_bear;98;;0.6122448979591837;0.9230769230769231;0.6122448979591837;0.7361963190184049;60;5;38
293;cheetah;92;;0.6630434782608695;0.8243243243243243;0.6630434782608695;0.7349397590361446;61;13;31
627;limousine;94;;0.5851063829787234;0.9821428571428571;0.5851063829787234;0.7333333333333334;55;1;39
228;komondor;64;;0.578125;1.0;0.578125;0.7326732673267327;37;0;27
866;tractor;86;;0.6162790697674418;0.8983050847457628;0.6162790697674418;0.7310344827586208;53;6;33
191;Airedale;32;;0.59375;0.95;0.59375;0.7307692307692308;19;1;13
247;Saint_Bernard;46;;0.5869565217391305;0.9642857142857143;0.5869565217391305;0.7297297297297297;27;1;19
131;little_blue_heron;52;;0.6730769230769231;0.7954545454545454;0.6730769230769231;0.7291666666666666;35;9;17
