rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;swin_b__knn;Swin-B-KNN;0.5613271604938271;0.6925308641975308;0.0;0;0;0;0.0
2;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.6176234567901234;0.7457716049382717;0.0;0;0;0;0.0
3;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.5587654320987654;0.7103086419753086;0.0;0;0;0;0.0
4;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.5529320987654321;0.7094753086419753;0.0;0;0;0;0.0
5;swin_l__knn;Swin-L-KNN;0.6388271604938272;0.7665432098765432;0.0;0;0;0;0.0
6;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.6388271604938272;0.7665432098765432;0.0;0;0;0;0.0
7;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.5770987654320988;0.7286111111111111;0.0;0;0;0;0.0
8;swin_s__knn;Swin-S-KNN;0.5625;0.6930864197530864;0.0;0;0;0;0.0
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.5958641975308642;0.7276543209876544;0.0;0;0;0;0.0
10;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.536820987654321;0.7008641975308642;0.0;0;0;0;0.0
