class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
396;lionfish;242;;0.8140495867768595;0.9656862745098039;0.8140495867768595;0.8834080717488789;197;7;45
258;Samoyed;30;;0.8333333333333334;0.9259259259259259;0.8333333333333334;0.8771929824561403;25;2;5
820;steam_locomotive;126;;0.8571428571428571;0.8925619834710744;0.8571428571428571;0.874493927125506;108;13;18
87;African_grey;70;;0.7714285714285715;0.9642857142857143;0.7714285714285715;0.8571428571428572;54;2;16
127;white_stork;80;;0.775;0.9538461538461539;0.775;0.8551724137931034;62;3;18
802;snowmobile;92;;0.8043478260869565;0.9024390243902439;0.8043478260869565;0.8505747126436782;74;8;18
291;lion;110;;0.8363636363636363;0.8518518518518519;0.8363636363636363;0.8440366972477065;92;16;18
573;go-kart;60;;0.85;0.8360655737704918;0.85;0.8429752066115703;51;10;9
90;lorikeet;84;;0.7619047619047619;0.9411764705882353;0.7619047619047619;0.8421052631578947;64;4;20
100;black_swan;62;;0.8548387096774194;0.828125;0.8548387096774194;0.8412698412698412;53;11;9
255;Leonberg;18;;0.7222222222222222;1.0;0.7222222222222222;0.8387096774193548;13;0;5
136;European_gallinule;100;;0.75;0.9493670886075949;0.75;0.8379888268156425;75;4;25
146;albatross;66;;0.7424242424242424;0.9607843137254902;0.7424242424242424;0.8376068376068376;49;2;17
687;organ;108;;0.7314814814814815;0.9753086419753086;0.7314814814814815;0.835978835978836;79;2;29
323;monarch;206;;0.7378640776699029;0.9212121212121213;0.7378640776699029;0.8194070080862533;152;13;54
261;keeshond;28;;0.7142857142857143;0.9523809523809523;0.7142857142857143;0.8163265306122449;20;1;8
561;forklift;110;;0.7181818181818181;0.9404761904761905;0.7181818181818181;0.8144329896907216;79;5;31
24;great_grey_owl;108;;0.6851851851851852;1.0;0.6851851851851852;0.8131868131868133;74;0;34
293;cheetah;92;;0.8260869565217391;0.8;0.8260869565217391;0.8128342245989306;76;19;16
88;macaw;70;;0.7428571428571429;0.896551724137931;0.7428571428571429;0.8125;52;6;18
212;English_setter;22;;0.6818181818181818;1.0;0.6818181818181818;0.8108108108108109;15;0;7
684;ocarina;200;;0.69;0.971830985915493;0.69;0.8070175438596492;138;4;62
661;Model_T;64;;0.71875;0.92;0.71875;0.8070175438596492;46;4;18
