class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
820;steam_locomotive;126;;0.8650793650793651;0.923728813559322;0.8650793650793651;0.8934426229508198;109;9;17
291;lion;110;;0.7727272727272727;0.9444444444444444;0.7727272727272727;0.85;85;5;25
396;lionfish;242;;0.756198347107438;0.9631578947368421;0.756198347107438;0.8472222222222223;183;7;59
90;lorikeet;84;;0.7380952380952381;0.9841269841269841;0.7380952380952381;0.8435374149659863;62;1;22
323;monarch;206;;0.7718446601941747;0.9085714285714286;0.7718446601941747;0.8346456692913385;159;16;47
261;keeshond;28;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;20;0;8
88;macaw;70;;0.7428571428571429;0.9285714285714286;0.7428571428571429;0.8253968253968255;52;4;18
321;admiral;180;;0.7222222222222222;0.9558823529411765;0.7222222222222222;0.8227848101265822;130;6;50
577;gong;258;;0.7325581395348837;0.9310344827586207;0.7325581395348837;0.8199566160520607;189;14;69
326;lycaenid;194;;0.7061855670103093;0.9513888888888888;0.7061855670103093;0.8106508875739645;137;7;57
684;ocarina;200;;0.705;0.9527027027027027;0.705;0.8103448275862069;141;7;59
237;miniature_pinscher;24;;0.875;0.75;0.875;0.8076923076923077;21;7;3
7;cock;82;;0.7439024390243902;0.8714285714285714;0.7439024390243902;0.8026315789473685;61;9;21
213;Irish_setter;30;;0.6666666666666666;1.0;0.6666666666666666;0.8;20;0;10
230;Shetland_sheepdog;38;;0.7105263157894737;0.9;0.7105263157894737;0.7941176470588235;27;3;11
661;Model_T;64;;0.75;0.8421052631578947;0.75;0.7933884297520661;48;9;16
100;black_swan;62;;0.7419354838709677;0.8518518518518519;0.7419354838709677;0.7931034482758621;46;8;16
228;komondor;64;;0.671875;0.9555555555555556;0.671875;0.7889908256880733;43;2;21
565;freight_car;64;;0.671875;0.9555555555555556;0.671875;0.7889908256880733;43;2;21
204;Lhasa;34;;0.6470588235294118;1.0;0.6470588235294118;0.7857142857142858;22;0;12
292;tiger;104;;0.6826923076923077;0.922077922077922;0.6826923076923077;0.7845303867403315;71;6;33
51;triceratops;60;;0.6666666666666666;0.9523809523809523;0.6666666666666666;0.7843137254901961;40;2;20
175;otterhound;14;;0.6428571428571429;1.0;0.6428571428571429;0.782608695652174;9;0;5
212;English_setter;22;;0.7272727272727273;0.8421052631578947;0.7272727272727273;0.7804878048780488;16;3;6
687;organ;108;;0.6666666666666666;0.935064935064935;0.6666666666666666;0.7783783783783784;72;5;36
87;African_grey;70;;0.7;0.875;0.7;0.7777777777777777;49;7;21
699;panpipe;212;;0.6886792452830188;0.8902439024390244;0.6886792452830188;0.7765957446808511;146;18;66
365;orangutan;208;;0.6538461538461539;0.951048951048951;0.6538461538461539;0.7749287749287749;136;7;72
757;recreational_vehicle;96;;0.71875;0.8313253012048193;0.71875;0.770949720670391;69;14;27
546;electric_guitar;142;;0.704225352112676;0.847457627118644;0.704225352112676;0.7692307692307692;100;18;42
641;maraca;48;;0.6875;0.868421052631579;0.6875;0.7674418604651162;33;5;15
219;cocker_spaniel;34;;0.6764705882352942;0.8846153846153846;0.6764705882352942;0.7666666666666666;23;3;11
260;chow;36;;0.6666666666666666;0.8888888888888888;0.6666666666666666;0.761904761904762;24;3;12
97;drake;82;;0.6829268292682927;0.8615384615384616;0.6829268292682927;0.7619047619047619;56;9;26
547;electric_locomotive;122;;0.7459016393442623;0.7777777777777778;0.7459016393442623;0.7615062761506277;91;26;31
131;little_blue_heron;52;;0.6730769230769231;0.875;0.6730769230769231;0.7608695652173914;35;5;17
690;oxcart;108;;0.6481481481481481;0.9210526315789473;0.6481481481481481;0.7608695652173912;70;6;38
268;Mexican_hairless;18;;0.6111111111111112;1.0;0.6111111111111112;0.7586206896551725;11;0;7
866;tractor;86;;0.6395348837209303;0.9322033898305084;0.6395348837209303;0.7586206896551724;55;4;31
139;ruddy_turnstone;82;;0.6463414634146342;0.9137931034482759;0.6463414634146342;0.7571428571428572;53;5;29
218;Welsh_springer_spaniel;32;;0.625;0.9523809523809523;0.625;0.7547169811320755;20;1;12
167;English_foxhound;34;;0.6764705882352942;0.8518518518518519;0.6764705882352942;0.7540983606557378;23;4;11
188;wire-haired_fox_terrier;52;;0.6923076923076923;0.8181818181818182;0.6923076923076923;0.7500000000000001;36;8;16
366;gorilla;190;;0.6789473684210526;0.832258064516129;0.6789473684210526;0.7478260869565218;129;26;61
24;great_grey_owl;108;;0.6296296296296297;0.918918918918919;0.6296296296296297;0.7472527472527473;68;6;40
262;Brabancon_griffon;50;;0.62;0.9393939393939394;0.62;0.7469879518072288;31;2;19
247;Saint_Bernard;46;;0.6304347826086957;0.90625;0.6304347826086957;0.7435897435897436;29;3;17
9;ostrich;58;;0.6206896551724138;0.9230769230769231;0.6206896551724138;0.7422680412371133;36;3;22
161;basset;28;;0.7142857142857143;0.7692307692307693;0.7142857142857143;0.7407407407407408;20;6;8
325;sulphur_butterfly;156;;0.6346153846153846;0.8839285714285714;0.6346153846153846;0.7388059701492536;99;13;57
136;European_gallinule;100;;0.69;0.7931034482758621;0.69;0.7379679144385026;69;18;31
127;white_stork;80;;0.6125;0.9245283018867925;0.6125;0.7368421052631579;49;4;31
163;bloodhound;30;;0.7;0.7777777777777778;0.7;0.7368421052631577;21;6;9
573;go-kart;60;;0.7666666666666667;0.7076923076923077;0.7666666666666667;0.736;46;19;14
152;Japanese_spaniel;40;;0.625;0.8928571428571429;0.625;0.7352941176470589;25;3;15
275;African_hunting_dog;64;;0.671875;0.8113207547169812;0.671875;0.7350427350427351;43;10;21
561;forklift;110;;0.7181818181818181;0.7523809523809524;0.7181818181818181;0.7348837209302326;79;26;31
322;ringlet;174;;0.6206896551724138;0.9;0.6206896551724138;0.7346938775510204;108;12;66
881;upright;130;;0.6692307692307692;0.8130841121495327;0.6692307692307692;0.7341772151898734;87;20;43
289;snow_leopard;88;;0.6704545454545454;0.8082191780821918;0.6704545454545454;0.732919254658385;59;14;29
612;jinrikisha;58;;0.7068965517241379;0.7592592592592593;0.7068965517241379;0.7321428571428572;41;13;17
22;bald_eagle;92;;0.6956521739130435;0.7710843373493976;0.6956521739130435;0.7314285714285714;64;19;28
19;chickadee;78;;0.6794871794871795;0.7910447761194029;0.6794871794871795;0.7310344827586206;53;14;25
566;French_horn;156;;0.5961538461538461;0.9393939393939394;0.5961538461538461;0.7294117647058823;93;6;63
286;cougar;106;;0.6320754716981132;0.8589743589743589;0.6320754716981132;0.7282608695652174;67;11;39
368;gibbon;192;;0.5989583333333334;0.9274193548387096;0.5989583333333334;0.7278481012658229;115;9;77
135;limpkin;48;;0.5833333333333334;0.9655172413793104;0.5833333333333334;0.7272727272727274;28;1;20
293;cheetah;92;;0.6086956521739131;0.9032258064516129;0.6086956521739131;0.7272727272727272;56;6;36
294;brown_bear;120;;0.6083333333333333;0.9012345679012346;0.6083333333333333;0.7263681592039799;73;8;47
235;German_shepherd;34;;0.6176470588235294;0.875;0.6176470588235294;0.7241379310344829;21;3;13
157;papillon;28;;0.6071428571428571;0.8947368421052632;0.6071428571428571;0.7234042553191489;17;2;11
269;timber_wolf;142;;0.6971830985915493;0.75;0.6971830985915493;0.7226277372262774;99;33;43
569;garbage_truck;132;;0.75;0.6971830985915493;0.75;0.7226277372262774;99;43;33
155;Shih-Tzu;42;;0.6190476190476191;0.8666666666666667;0.6190476190476191;0.7222222222222222;26;4;16
200;Tibetan_terrier;36;;0.6111111111111112;0.88;0.6111111111111112;0.7213114754098361;22;3;14
251;dalmatian;34;;0.6470588235294118;0.8148148148148148;0.6470588235294118;0.7213114754098361;22;5;12
642;marimba;150;;0.6533333333333333;0.7967479674796748;0.6533333333333333;0.717948717948718;98;25;52
187;Yorkshire_terrier;48;;0.6041666666666666;0.8787878787878788;0.6041666666666666;0.7160493827160493;29;4;19
145;king_penguin;8;;0.625;0.8333333333333334;0.625;0.7142857142857143;5;1;3
267;standard_poodle;22;;0.6818181818181818;0.75;0.6818181818181818;0.7142857142857143;15;5;7
138;bustard;54;;0.5555555555555556;1.0;0.5555555555555556;0.7142857142857143;30;0;24
165;black-and-tan_coonhound;22;;0.6818181818181818;0.75;0.6818181818181818;0.7142857142857143;15;5;7
494;chime;232;;0.603448275862069;0.875;0.603448275862069;0.7142857142857142;140;20;92
132;American_egret;84;;0.6071428571428571;0.864406779661017;0.6071428571428571;0.7132867132867132;51;8;33
37;box_turtle;186;;0.6612903225806451;0.7735849056603774;0.6612903225806451;0.7130434782608696;123;36;63
8;hen;46;;0.6739130434782609;0.7560975609756098;0.6739130434782609;0.7126436781609194;31;10;15
388;giant_panda;98;;0.5816326530612245;0.9193548387096774;0.5816326530612245;0.7124999999999999;57;5;41
214;Gordon_setter;28;;0.75;0.6774193548387096;0.75;0.7118644067796611;21;10;7
63;Indian_cobra;92;;0.6304347826086957;0.8169014084507042;0.6304347826086957;0.7116564417177915;58;13;34
239;Bernese_mountain_dog;24;;0.6666666666666666;0.7619047619047619;0.6666666666666666;0.7111111111111111;16;5;8
511;convertible;128;;0.6015625;0.8651685393258427;0.6015625;0.7096774193548386;77;12;51
375;colobus;134;;0.6417910447761194;0.7818181818181819;0.6417910447761194;0.7049180327868853;86;24;48
555;fire_engine;78;;0.5641025641025641;0.9361702127659575;0.5641025641025641;0.7040000000000001;44;3;34
191;Airedale;32;;0.59375;0.8636363636363636;0.59375;0.7037037037037037;19;3;13
93;hornbill;44;;0.5909090909090909;0.8666666666666667;0.5909090909090909;0.7027027027027029;26;4;18
384;indri;202;;0.6831683168316832;0.7225130890052356;0.6831683168316832;0.7022900763358779;138;53;64
130;flamingo;60;;0.5666666666666667;0.918918918918919;0.5666666666666667;0.7010309278350515;34;3;26
231;collie;64;;0.546875;0.9722222222222222;0.546875;0.7;35;1;29
392;rock_beauty;322;;0.6118012422360248;0.8174273858921162;0.6118012422360248;0.6998223801065718;197;44;125
656;minivan;76;;0.6710526315789473;0.7285714285714285;0.6710526315789473;0.6986301369863013;51;19;25
370;guenon;220;;0.5863636363636363;0.86;0.5863636363636363;0.6972972972972973;129;21;91
847;tank;92;;0.75;0.6509433962264151;0.75;0.6969696969696969;69;37;23
43;frilled_lizard;64;;0.609375;0.8125;0.609375;0.6964285714285714;39;9;25
164;bluetick;56;;0.5714285714285714;0.8888888888888888;0.5714285714285714;0.6956521739130435;32;4;24
270;white_wolf;100;;0.67;0.7204301075268817;0.67;0.6943005181347149;67;26;33
210;German_short-haired_pointer;66;;0.6363636363636364;0.7636363636363637;0.6363636363636364;0.694214876033058;42;13;24
0;tench;330;;0.693939393939394;0.6918429003021148;0.693939393939394;0.6928895612708018;229;102;101
143;oystercatcher;76;;0.6052631578947368;0.8070175438596491;0.6052631578947368;0.6917293233082706;46;11;30
67;diamondback;102;;0.6372549019607843;0.7558139534883721;0.6372549019607843;0.6914893617021277;65;21;37
258;Samoyed;30;;0.6333333333333333;0.76;0.6333333333333333;0.6909090909090909;19;6;11
317;leafhopper;160;;0.625;0.7692307692307693;0.625;0.6896551724137931;100;30;60
55;green_snake;130;;0.5923076923076923;0.8191489361702128;0.5923076923076923;0.6875;77;17;53
541;drum;122;;0.5573770491803278;0.8947368421052632;0.5573770491803278;0.686868686868687;68;8;54
420;banjo;144;;0.5972222222222222;0.8037383177570093;0.5972222222222222;0.6852589641434262;86;21;58
428;barrow;78;;0.6410256410256411;0.7352941176470589;0.6410256410256411;0.6849315068493151;50;18;28
201;silky_terrier;20;;0.65;0.7222222222222222;0.65;0.6842105263157895;13;5;7
96;toucan;66;;0.6212121212121212;0.7592592592592593;0.6212121212121212;0.6833333333333333;41;13;25
