class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
396;lionfish;242;;0.768595041322314;0.96875;0.768595041322314;0.8571428571428572;186;6;56
291;lion;110;;0.7909090909090909;0.925531914893617;0.7909090909090909;0.8529411764705882;87;7;23
661;Model_T;64;;0.75;0.9795918367346939;0.75;0.8495575221238937;48;1;16
255;Leonberg;18;;0.7777777777777778;0.9333333333333333;0.7777777777777778;0.8484848484848485;14;1;4
258;Samoyed;30;;0.8333333333333334;0.8620689655172413;0.8333333333333334;0.847457627118644;25;4;5
100;black_swan;62;;0.7903225806451613;0.9074074074074074;0.7903225806451613;0.8448275862068966;49;5;13
577;gong;258;;0.7906976744186046;0.9066666666666666;0.7906976744186046;0.8447204968944099;204;21;54
820;steam_locomotive;126;;0.8571428571428571;0.8244274809160306;0.8571428571428571;0.8404669260700388;108;23;18
137;American_coot;46;;0.8478260869565217;0.8297872340425532;0.8478260869565217;0.8387096774193549;39;8;7
880;unicycle;56;;0.8035714285714286;0.8653846153846154;0.8035714285714286;0.8333333333333334;45;7;11
87;African_grey;70;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;50;0;20
261;keeshond;28;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;20;0;8
90;lorikeet;84;;0.7142857142857143;0.9836065573770492;0.7142857142857143;0.8275862068965518;60;1;24
569;garbage_truck;132;;0.7424242424242424;0.9245283018867925;0.7424242424242424;0.823529411764706;98;8;34
642;marimba;150;;0.72;0.9557522123893806;0.72;0.8212927756653994;108;5;42
139;ruddy_turnstone;82;;0.6951219512195121;1.0;0.6951219512195121;0.8201438848920863;57;0;25
188;wire-haired_fox_terrier;52;;0.7307692307692307;0.926829268292683;0.7307692307692307;0.8172043010752689;38;3;14
157;papillon;28;;0.7142857142857143;0.9523809523809523;0.7142857142857143;0.8163265306122449;20;1;8
146;albatross;66;;0.803030303030303;0.828125;0.803030303030303;0.8153846153846153;53;11;13
687;organ;108;;0.7129629629629629;0.9506172839506173;0.7129629629629629;0.8148148148148148;77;4;31
323;monarch;206;;0.7524271844660194;0.8857142857142857;0.7524271844660194;0.8136482939632546;155;20;51
699;panpipe;212;;0.7783018867924528;0.8505154639175257;0.7783018867924528;0.812807881773399;165;29;47
260;chow;36;;0.7222222222222222;0.9285714285714286;0.7222222222222222;0.8125000000000001;26;2;10
88;macaw;70;;0.7;0.9607843137254902;0.7;0.8099173553719008;49;2;21
671;mountain_bike;42;;0.8571428571428571;0.7659574468085106;0.8571428571428571;0.8089887640449439;36;11;6
573;go-kart;60;;0.7666666666666667;0.8518518518518519;0.7666666666666667;0.8070175438596491;46;8;14
0;tench;330;;0.7333333333333333;0.8962962962962963;0.7333333333333333;0.8066666666666665;242;28;88
219;cocker_spaniel;34;;0.7352941176470589;0.8928571428571429;0.7352941176470589;0.806451612903226;25;3;9
829;streetcar;86;;0.7441860465116279;0.8767123287671232;0.7441860465116279;0.8050314465408805;64;9;22
641;maraca;48;;0.6875;0.9705882352941176;0.6875;0.8048780487804877;33;1;15
684;ocarina;200;;0.68;0.9784172661870504;0.68;0.8023598820058997;136;3;64
802;snowmobile;92;;0.7608695652173914;0.8333333333333334;0.7608695652173914;0.7954545454545455;70;14;22
