class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
255;Leonberg;18;;0.8333333333333334;0.9375;0.8333333333333334;0.8823529411764706;15;1;3
258;Samoyed;30;;0.8333333333333334;0.9259259259259259;0.8333333333333334;0.8771929824561403;25;2;5
396;lionfish;242;;0.7644628099173554;0.9685863874345549;0.7644628099173554;0.8545034642032333;185;6;57
820;steam_locomotive;126;;0.8412698412698413;0.848;0.8412698412698413;0.844621513944223;106;19;20
291;lion;110;;0.7818181818181819;0.9148936170212766;0.7818181818181819;0.8431372549019609;86;8;24
569;garbage_truck;132;;0.7651515151515151;0.926605504587156;0.7651515151515151;0.8381742738589212;101;8;31
100;black_swan;62;;0.7741935483870968;0.9056603773584906;0.7741935483870968;0.8347826086956522;48;5;14
323;monarch;206;;0.7475728155339806;0.9447852760736196;0.7475728155339806;0.8346883468834688;154;9;52
87;African_grey;70;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;50;0;20
137;American_coot;46;;0.8478260869565217;0.8125;0.8478260869565217;0.8297872340425533;39;9;7
261;keeshond;28;;0.7142857142857143;0.9523809523809523;0.7142857142857143;0.8163265306122449;20;1;8
90;lorikeet;84;;0.7142857142857143;0.9523809523809523;0.7142857142857143;0.8163265306122449;60;3;24
687;organ;108;;0.7037037037037037;0.9620253164556962;0.7037037037037037;0.8128342245989305;76;3;32
260;chow;36;;0.7222222222222222;0.9285714285714286;0.7222222222222222;0.8125000000000001;26;2;10
155;Shih-Tzu;42;;0.7380952380952381;0.8857142857142857;0.7380952380952381;0.8051948051948051;31;4;11
88;macaw;70;;0.7;0.9423076923076923;0.7;0.8032786885245902;49;3;21
699;panpipe;212;;0.7688679245283019;0.8402061855670103;0.7688679245283019;0.8029556650246307;163;31;49
139;ruddy_turnstone;82;;0.6829268292682927;0.9655172413793104;0.6829268292682927;0.8000000000000002;56;2;26
175;otterhound;14;;0.7142857142857143;0.9090909090909091;0.7142857142857143;0.8;10;1;4
293;cheetah;92;;0.7934782608695652;0.7934782608695652;0.7934782608695652;0.7934782608695652;73;19;19
573;go-kart;60;;0.7333333333333333;0.8627450980392157;0.7333333333333333;0.7927927927927927;44;7;16
