class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
255;Leonberg;18;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;15;0;3
396;lionfish;242;;0.8140495867768595;0.9704433497536946;0.8140495867768595;0.8853932584269663;197;6;45
880;unicycle;56;;0.8392857142857143;0.9215686274509803;0.8392857142857143;0.8785046728971961;47;4;9
641;maraca;48;;0.7916666666666666;0.9743589743589743;0.7916666666666666;0.8735632183908045;38;1;10
577;gong;258;;0.8294573643410853;0.9224137931034483;0.8294573643410853;0.8734693877551021;214;18;44
573;go-kart;60;;0.8;0.96;0.8;0.8727272727272728;48;2;12
258;Samoyed;30;;0.8;0.96;0.8;0.8727272727272728;24;1;6
97;drake;82;;0.8170731707317073;0.9305555555555556;0.8170731707317073;0.8701298701298701;67;5;15
323;monarch;206;;0.8058252427184466;0.9273743016759777;0.8058252427184466;0.8623376623376624;166;13;40
214;Gordon_setter;28;;0.75;1.0;0.75;0.8571428571428571;21;0;7
661;Model_T;64;;0.765625;0.9607843137254902;0.765625;0.8521739130434782;49;2;15
188;wire-haired_fox_terrier;52;;0.75;0.975;0.75;0.8478260869565216;39;1;13
820;steam_locomotive;126;;0.8809523809523809;0.8161764705882353;0.8809523809523809;0.8473282442748091;111;25;15
90;lorikeet;84;;0.75;0.9692307692307692;0.75;0.8456375838926173;63;2;21
140;red-backed_sandpiper;62;;0.7419354838709677;0.9583333333333334;0.7419354838709677;0.8363636363636364;46;2;16
87;African_grey;70;;0.7571428571428571;0.9298245614035088;0.7571428571428571;0.8346456692913385;53;4;17
180;American_Staffordshire_terrier;14;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;10;0;4
175;otterhound;14;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;10;0;4
642;marimba;150;;0.72;0.972972972972973;0.72;0.8275862068965518;108;3;42
684;ocarina;200;;0.705;0.9929577464788732;0.705;0.8245614035087719;141;1;59
0;tench;330;;0.7545454545454545;0.9087591240875912;0.7545454545454545;0.8245033112582782;249;25;81
139;ruddy_turnstone;82;;0.7073170731707317;0.9830508474576272;0.7073170731707317;0.8226950354609929;58;1;24
699;panpipe;212;;0.7547169811320755;0.898876404494382;0.7547169811320755;0.8205128205128206;160;18;52
829;streetcar;86;;0.7674418604651163;0.88;0.7674418604651163;0.8198757763975156;66;9;20
391;coho;200;;0.745;0.9085365853658537;0.745;0.8186813186813187;149;15;51
317;leafhopper;160;;0.74375;0.9083969465648855;0.74375;0.8178694158075602;119;12;41
127;white_stork;80;;0.75;0.8955223880597015;0.75;0.816326530612245;60;7;20
561;forklift;110;;0.7181818181818181;0.9404761904761905;0.7181818181818181;0.8144329896907216;79;5;31
324;cabbage_butterfly;176;;0.7329545454545454;0.9148936170212766;0.7329545454545454;0.8138801261829653;129;12;47
136;European_gallinule;100;;0.74;0.9024390243902439;0.74;0.8131868131868132;74;8;26
88;macaw;70;;0.7142857142857143;0.9433962264150944;0.7142857142857143;0.8130081300813008;50;3;20
260;chow;36;;0.7222222222222222;0.9285714285714286;0.7222222222222222;0.8125000000000001;26;2;10
212;English_setter;22;;0.6818181818181818;1.0;0.6818181818181818;0.8108108108108109;15;0;7
198;standard_schnauzer;50;;0.68;1.0;0.68;0.8095238095238095;34;0;16
321;admiral;180;;0.7055555555555556;0.9477611940298507;0.7055555555555556;0.8089171974522292;127;7;53
141;redshank;56;;0.7142857142857143;0.9302325581395349;0.7142857142857143;0.8080808080808081;40;3;16
291;lion;110;;0.7636363636363637;0.8571428571428571;0.7636363636363637;0.8076923076923076;84;14;26
210;German_short-haired_pointer;66;;0.696969696969697;0.9583333333333334;0.696969696969697;0.8070175438596493;46;2;20
254;pug;36;;0.6944444444444444;0.9615384615384616;0.6944444444444444;0.8064516129032258;25;1;11
2;great_white_shark;246;;0.7520325203252033;0.8644859813084113;0.7520325203252033;0.8043478260869567;185;29;61
57;garter_snake;84;;0.6785714285714286;0.9827586206896551;0.6785714285714286;0.8028169014084507;57;1;27
687;organ;108;;0.7037037037037037;0.926829268292683;0.7037037037037037;0.8000000000000002;76;6;32
261;keeshond;28;;0.7142857142857143;0.9090909090909091;0.7142857142857143;0.8;20;2;8
275;African_hunting_dog;64;;0.703125;0.9183673469387755;0.703125;0.7964601769911506;45;4;19
131;little_blue_heron;52;;0.75;0.8478260869565217;0.75;0.7959183673469389;39;7;13
24;great_grey_owl;108;;0.6851851851851852;0.9487179487179487;0.6851851851851852;0.7956989247311828;74;4;34
20;water_ouzel;92;;0.7391304347826086;0.8607594936708861;0.7391304347826086;0.7953216374269007;68;11;24
392;rock_beauty;322;;0.7391304347826086;0.8592057761732852;0.7391304347826086;0.7946577629382304;238;39;84
393;anemone_fish;230;;0.6652173913043479;0.9807692307692307;0.6652173913043479;0.7927461139896373;153;3;77
146;albatross;66;;0.8333333333333334;0.7534246575342466;0.8333333333333334;0.7913669064748201;55;18;11
802;snowmobile;92;;0.717391304347826;0.88;0.717391304347826;0.7904191616766466;66;9;26
546;electric_guitar;142;;0.6901408450704225;0.9245283018867925;0.6901408450704225;0.7903225806451613;98;8;44
494;chime;232;;0.6637931034482759;0.9685534591194969;0.6637931034482759;0.7877237851662404;154;5;78
1;goldfish;122;;0.6967213114754098;0.9042553191489362;0.6967213114754098;0.7870370370370371;85;9;37
569;garbage_truck;132;;0.7651515151515151;0.808;0.7651515151515151;0.7859922178988327;101;24;31
253;basenji;16;;0.6875;0.9166666666666666;0.6875;0.7857142857142857;11;1;5
170;Irish_wolfhound;28;;0.6428571428571429;1.0;0.6428571428571429;0.782608695652174;18;0;10
263;Pembroke;34;;0.7352941176470589;0.8333333333333334;0.7352941176470589;0.78125;25;5;9
757;recreational_vehicle;96;;0.6875;0.9041095890410958;0.6875;0.7810650887573964;66;7;30
22;bald_eagle;92;;0.6956521739130435;0.8888888888888888;0.6956521739130435;0.7804878048780488;64;8;28
61;boa_constrictor;90;;0.7111111111111111;0.8648648648648649;0.7111111111111111;0.7804878048780488;64;10;26
201;silky_terrier;20;;0.8;0.7619047619047619;0.8;0.7804878048780488;16;5;4
211;vizsla;46;;0.6521739130434783;0.967741935483871;0.6521739130434783;0.7792207792207793;30;1;16
671;mountain_bike;42;;0.8333333333333334;0.7291666666666666;0.8333333333333334;0.7777777777777777;35;13;7
889;violin;136;;0.7058823529411765;0.8648648648648649;0.7058823529411765;0.7773279352226721;96;15;40
547;electric_locomotive;122;;0.6721311475409836;0.9213483146067416;0.6721311475409836;0.7772511848341231;82;7;40
138;bustard;54;;0.7407407407407407;0.8163265306122449;0.7407407407407407;0.7766990291262137;40;9;14
375;colobus;134;;0.6865671641791045;0.8932038834951457;0.6865671641791045;0.7763713080168777;92;11;42
428;barrow;78;;0.6410256410256411;0.9803921568627451;0.6410256410256411;0.7751937984496123;50;1;28
376;proboscis_monkey;218;;0.6467889908256881;0.9657534246575342;0.6467889908256881;0.7747252747252747;141;5;77
247;Saint_Bernard;46;;0.6304347826086957;1.0;0.6304347826086957;0.7733333333333333;29;0;17
98;red-breasted_merganser;64;;0.734375;0.8103448275862069;0.734375;0.7704918032786885;47;11;17
191;Airedale;32;;0.625;1.0;0.625;0.7692307692307693;20;0;12
402;acoustic_guitar;138;;0.6521739130434783;0.9375;0.6521739130434783;0.7692307692307693;90;6;48
555;fire_engine;78;;0.6410256410256411;0.9615384615384616;0.6410256410256411;0.7692307692307693;50;2;28
144;pelican;42;;0.6666666666666666;0.9032258064516129;0.6666666666666666;0.7671232876712328;28;3;14
262;Brabancon_griffon;50;;0.62;1.0;0.62;0.7654320987654321;31;0;19
365;orangutan;208;;0.7019230769230769;0.8390804597701149;0.7019230769230769;0.7643979057591623;146;28;62
245;French_bulldog;32;;0.65625;0.9130434782608695;0.65625;0.7636363636363634;21;2;11
803;snowplow;160;;0.71875;0.8041958041958042;0.71875;0.759075907590759;115;28;45
39;common_iguana;124;;0.6935483870967742;0.8349514563106796;0.6935483870967742;0.7577092511013217;86;17;38
292;tiger;104;;0.6730769230769231;0.8641975308641975;0.6730769230769231;0.7567567567567568;70;11;34
202;soft-coated_wheaten_terrier;20;;0.7;0.8235294117647058;0.7;0.7567567567567567;14;3;6
51;triceratops;60;;0.7;0.8235294117647058;0.7;0.7567567567567567;42;9;18
21;kite;124;;0.8145161290322581;0.7062937062937062;0.8145161290322581;0.7565543071161049;101;42;23
11;goldfinch;96;;0.6145833333333334;0.9833333333333333;0.6145833333333334;0.7564102564102564;59;1;37
388;giant_panda;98;;0.6326530612244898;0.9393939393939394;0.6326530612244898;0.7560975609756098;62;4;36
656;minivan;76;;0.631578947368421;0.9411764705882353;0.631578947368421;0.7559055118110236;48;3;28
154;Pekinese;26;;0.6538461538461539;0.8947368421052632;0.6538461538461539;0.7555555555555555;17;2;9
94;hummingbird;100;;0.74;0.7708333333333334;0.74;0.7551020408163266;74;22;26
