class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
255;Leonberg;18;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;15;0;3
396;lionfish;242;;0.8140495867768595;0.9704433497536946;0.8140495867768595;0.8853932584269663;197;6;45
258;Samoyed;30;;0.8;0.96;0.8;0.8727272727272728;24;1;6
820;steam_locomotive;126;;0.8650793650793651;0.8320610687022901;0.8650793650793651;0.8482490272373542;109;22;17
90;lorikeet;84;;0.75;0.9692307692307692;0.75;0.8456375838926173;63;2;21
323;monarch;206;;0.7621359223300971;0.9289940828402367;0.7621359223300971;0.8373333333333333;157;12;49
97;drake;82;;0.7195121951219512;0.9833333333333333;0.7195121951219512;0.8309859154929577;59;1;23
291;lion;110;;0.7636363636363637;0.9032258064516129;0.7636363636363637;0.8275862068965516;84;9;26
253;basenji;16;;0.6875;1.0;0.6875;0.8148148148148148;11;0;5
146;albatross;66;;0.803030303030303;0.8153846153846154;0.803030303030303;0.8091603053435115;53;12;13
569;garbage_truck;132;;0.7803030303030303;0.8306451612903226;0.7803030303030303;0.8046875000000001;103;21;29
136;European_gallinule;100;;0.71;0.922077922077922;0.71;0.8022598870056497;71;6;29
140;red-backed_sandpiper;62;;0.6774193548387096;0.9767441860465116;0.6774193548387096;0.8;42;1;20
699;panpipe;212;;0.7169811320754716;0.8994082840236687;0.7169811320754716;0.7979002624671916;152;17;60
24;great_grey_owl;108;;0.6759259259259259;0.9733333333333334;0.6759259259259259;0.7978142076502733;73;2;35
139;ruddy_turnstone;82;;0.6951219512195121;0.9344262295081968;0.6951219512195121;0.7972027972027972;57;4;25
573;go-kart;60;;0.6833333333333333;0.9534883720930233;0.6833333333333333;0.7961165048543688;41;2;19
577;gong;258;;0.7093023255813954;0.905940594059406;0.7093023255813954;0.7956521739130435;183;19;75
321;admiral;180;;0.6777777777777778;0.9606299212598425;0.6777777777777778;0.7947882736156352;122;5;58
392;rock_beauty;322;;0.7142857142857143;0.888030888030888;0.7142857142857143;0.7917383820998278;230;29;92
802;snowmobile;92;;0.6956521739130435;0.9142857142857143;0.6956521739130435;0.7901234567901234;64;6;28
661;Model_T;64;;0.703125;0.9;0.703125;0.7894736842105263;45;5;19
87;African_grey;70;;0.6857142857142857;0.9230769230769231;0.6857142857142857;0.7868852459016394;48;4;22
0;tench;330;;0.7424242424242424;0.8361774744027304;0.7424242424242424;0.7865168539325842;245;48;85
88;macaw;70;;0.7285714285714285;0.85;0.7285714285714285;0.7846153846153846;51;9;19
175;otterhound;14;;0.6428571428571429;1.0;0.6428571428571429;0.782608695652174;9;0;5
100;black_swan;62;;0.8548387096774194;0.7162162162162162;0.8548387096774194;0.7794117647058824;53;21;9
561;forklift;110;;0.6727272727272727;0.925;0.6727272727272727;0.7789473684210527;74;6;36
687;organ;108;;0.6666666666666666;0.935064935064935;0.6666666666666666;0.7783783783783784;72;5;36
684;ocarina;200;;0.64;0.9922480620155039;0.64;0.7781155015197568;128;1;72
294;brown_bear;120;;0.6833333333333333;0.9010989010989011;0.6833333333333333;0.7772511848341231;82;9;38
127;white_stork;80;;0.675;0.9152542372881356;0.675;0.7769784172661871;54;5;26
275;African_hunting_dog;64;;0.703125;0.8653846153846154;0.703125;0.7758620689655172;45;7;19
261;keeshond;28;;0.6785714285714286;0.9047619047619048;0.6785714285714286;0.7755102040816326;19;2;9
252;affenpinscher;40;;0.775;0.775;0.775;0.775;31;9;9
247;Saint_Bernard;46;;0.6304347826086957;1.0;0.6304347826086957;0.7733333333333333;29;0;17
131;little_blue_heron;52;;0.75;0.7959183673469388;0.75;0.7722772277227722;39;10;13
642;marimba;150;;0.6733333333333333;0.9017857142857143;0.6733333333333333;0.7709923664122137;101;11;49
391;coho;200;;0.685;0.8782051282051282;0.685;0.7696629213483147;137;19;63
98;red-breasted_merganser;64;;0.78125;0.7575757575757576;0.78125;0.7692307692307692;50;16;14
292;tiger;104;;0.6538461538461539;0.9315068493150684;0.6538461538461539;0.7683615819209039;68;5;36
326;lycaenid;194;;0.7061855670103093;0.8404907975460123;0.7061855670103093;0.7675070028011205;137;26;57
317;leafhopper;160;;0.6875;0.8661417322834646;0.6875;0.7665505226480837;110;17;50
22;bald_eagle;92;;0.6413043478260869;0.9516129032258065;0.6413043478260869;0.7662337662337663;59;3;33
366;gorilla;190;;0.6894736842105263;0.8562091503267973;0.6894736842105263;0.7638483965014577;131;22;59
211;vizsla;46;;0.6304347826086957;0.9666666666666667;0.6304347826086957;0.763157894736842;29;1;17
144;pelican;42;;0.6428571428571429;0.9310344827586207;0.6428571428571429;0.7605633802816901;27;2;15
829;streetcar;86;;0.6744186046511628;0.8656716417910447;0.6744186046511628;0.7581699346405228;58;9;28
152;Japanese_spaniel;40;;0.625;0.9615384615384616;0.625;0.7575757575757575;25;1;15
547;electric_locomotive;122;;0.6639344262295082;0.8804347826086957;0.6639344262295082;0.7570093457943925;81;11;41
201;silky_terrier;20;;0.7;0.8235294117647058;0.7;0.7567567567567567;14;3;6
324;cabbage_butterfly;176;;0.6988636363636364;0.82;0.6988636363636364;0.754601226993865;123;27;53
254;pug;36;;0.7222222222222222;0.7878787878787878;0.7222222222222222;0.7536231884057971;26;7;10
213;Irish_setter;30;;0.6;1.0;0.6;0.7499999999999999;18;0;12
365;orangutan;208;;0.6442307692307693;0.8933333333333333;0.6442307692307693;0.7486033519553071;134;16;74
210;German_short-haired_pointer;66;;0.6515151515151515;0.8775510204081632;0.6515151515151515;0.7478260869565216;43;6;23
214;Gordon_setter;28;;0.7857142857142857;0.7096774193548387;0.7857142857142857;0.7457627118644068;22;9;6
20;water_ouzel;92;;0.6521739130434783;0.8695652173913043;0.6521739130434783;0.7453416149068323;60;9;32
289;snow_leopard;88;;0.6590909090909091;0.8529411764705882;0.6590909090909091;0.7435897435897436;58;10;30
260;chow;36;;0.7222222222222222;0.7647058823529411;0.7222222222222222;0.7428571428571428;26;8;10
21;kite;124;;0.7258064516129032;0.7563025210084033;0.7258064516129032;0.7407407407407407;90;29;34
190;Sealyham_terrier;16;;0.625;0.9090909090909091;0.625;0.7407407407407406;10;1;6
375;colobus;134;;0.6268656716417911;0.9032258064516129;0.6268656716417911;0.7400881057268722;84;9;50
57;garter_snake;84;;0.5833333333333334;1.0;0.5833333333333334;0.7368421052631579;49;0;35
612;jinrikisha;58;;0.6724137931034483;0.8125;0.6724137931034483;0.7358490566037735;39;9;19
178;Weimaraner;50;;0.64;0.8648648648648649;0.64;0.7356321839080459;32;5;18
388;giant_panda;98;;0.6224489795918368;0.8970588235294118;0.6224489795918368;0.7349397590361446;61;7;37
11;goldfinch;96;;0.5833333333333334;0.9824561403508771;0.5833333333333334;0.7320261437908496;56;1;40
555;fire_engine;78;;0.5769230769230769;1.0;0.5769230769230769;0.7317073170731707;45;0;33
19;chickadee;78;;0.5769230769230769;1.0;0.5769230769230769;0.7317073170731707;45;0;33
393;anemone_fish;230;;0.5782608695652174;0.9925373134328358;0.5782608695652174;0.7307692307692308;133;1;97
4;hammerhead;168;;0.7142857142857143;0.7453416149068323;0.7142857142857143;0.729483282674772;120;41;48
546;electric_guitar;142;;0.6056338028169014;0.9148936170212766;0.6056338028169014;0.7288135593220338;86;8;56
245;French_bulldog;32;;0.65625;0.8076923076923077;0.65625;0.7241379310344829;21;5;11
2;great_white_shark;246;;0.5975609756097561;0.91875;0.5975609756097561;0.7241379310344828;147;13;99
157;papillon;28;;0.75;0.7;0.75;0.7241379310344827;21;9;7
16;bulbul;96;;0.6145833333333334;0.8805970149253731;0.6145833333333334;0.7239263803680982;59;8;37
316;cicada;114;;0.631578947368421;0.8470588235294118;0.631578947368421;0.7236180904522614;72;13;42
17;jay;80;;0.5875;0.94;0.5875;0.7230769230769232;47;3;33
202;soft-coated_wheaten_terrier;20;;0.65;0.8125;0.65;0.7222222222222223;13;3;7
397;puffer;258;;0.5891472868217055;0.9212121212121213;0.5891472868217055;0.7186761229314421;152;13;106
296;ice_bear;98;;0.6224489795918368;0.8472222222222222;0.6224489795918368;0.7176470588235294;61;11;37
293;cheetah;92;;0.8152173913043478;0.635593220338983;0.8152173913043478;0.7142857142857143;75;43;17
145;king_penguin;8;;0.625;0.8333333333333334;0.625;0.7142857142857143;5;1;3
161;basset;28;;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;20;8;8
1;goldfish;122;;0.5901639344262295;0.9;0.5901639344262295;0.7128712871287128;72;8;50
803;snowplow;160;;0.61875;0.8389830508474576;0.61875;0.7122302158273383;99;19;61
276;hyena;110;;0.5727272727272728;0.9402985074626866;0.5727272727272728;0.711864406779661;63;4;47
138;bustard;54;;0.6851851851851852;0.74;0.6851851851851852;0.7115384615384615;37;13;17
239;Bernese_mountain_dog;24;;0.6666666666666666;0.7619047619047619;0.6666666666666666;0.7111111111111111;16;5;8
