class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
396;lionfish;242;;0.8140495867768595;0.9752475247524752;0.8140495867768595;0.8873873873873874;197;5;45
255;Leonberg;18;;0.7777777777777778;0.9333333333333333;0.7777777777777778;0.8484848484848485;14;1;4
820;steam_locomotive;126;;0.8412698412698413;0.8548387096774194;0.8412698412698413;0.848;106;18;20
291;lion;110;;0.7727272727272727;0.9042553191489362;0.7727272727272727;0.8333333333333334;85;9;25
140;red-backed_sandpiper;62;;0.7580645161290323;0.9215686274509803;0.7580645161290323;0.831858407079646;47;4;15
258;Samoyed;30;;0.8;0.8571428571428571;0.8;0.8275862068965518;24;4;6
139;ruddy_turnstone;82;;0.7317073170731707;0.9523809523809523;0.7317073170731707;0.8275862068965517;60;3;22
254;pug;36;;0.7222222222222222;0.9629629629629629;0.7222222222222222;0.8253968253968254;26;1;10
100;black_swan;62;;0.8387096774193549;0.8125;0.8387096774193549;0.8253968253968254;52;12;10
323;monarch;206;;0.7475728155339806;0.9112426035502958;0.7475728155339806;0.8213333333333334;154;15;52
90;lorikeet;84;;0.7261904761904762;0.9384615384615385;0.7261904761904762;0.8187919463087249;61;4;23
87;African_grey;70;;0.7;0.98;0.7;0.8166666666666667;49;1;21
214;Gordon_setter;28;;0.75;0.875;0.75;0.8076923076923077;21;3;7
573;go-kart;60;;0.75;0.8653846153846154;0.75;0.8035714285714286;45;7;15
88;macaw;70;;0.7285714285714285;0.8947368421052632;0.7285714285714285;0.8031496062992126;51;6;19
321;admiral;180;;0.6888888888888889;0.9612403100775194;0.6888888888888889;0.8025889967637541;124;5;56
0;tench;330;;0.7212121212121212;0.8913857677902621;0.7212121212121212;0.7973199329983249;238;29;92
201;silky_terrier;20;;0.75;0.8333333333333334;0.75;0.7894736842105262;15;3;5
261;keeshond;28;;0.7142857142857143;0.8695652173913043;0.7142857142857143;0.7843137254901961;20;3;8
175;otterhound;14;;0.6428571428571429;1.0;0.6428571428571429;0.782608695652174;9;0;5
324;cabbage_butterfly;176;;0.7215909090909091;0.8523489932885906;0.7215909090909091;0.7815384615384614;127;22;49
684;ocarina;200;;0.65;0.9774436090225563;0.65;0.7807807807807808;130;3;70
687;organ;108;;0.6851851851851852;0.9024390243902439;0.6851851851851852;0.7789473684210526;74;8;34
661;Model_T;64;;0.6875;0.8979591836734694;0.6875;0.7787610619469025;44;5;20
392;rock_beauty;322;;0.7111801242236024;0.8544776119402985;0.7111801242236024;0.776271186440678;229;39;93
292;tiger;104;;0.6442307692307693;0.9710144927536232;0.6442307692307693;0.7745664739884394;67;2;37
293;cheetah;92;;0.782608695652174;0.7659574468085106;0.782608695652174;0.7741935483870968;72;22;20
699;panpipe;212;;0.7169811320754716;0.8351648351648352;0.7169811320754716;0.7715736040609137;152;30;60
253;basenji;16;;0.625;1.0;0.625;0.7692307692307693;10;0;6
577;gong;258;;0.6666666666666666;0.900523560209424;0.6666666666666666;0.7661469933184855;172;19;86
136;European_gallinule;100;;0.66;0.9041095890410958;0.66;0.7630057803468209;66;7;34
366;gorilla;190;;0.6842105263157895;0.8609271523178808;0.6842105263157895;0.7624633431085045;130;21;60
642;marimba;150;;0.66;0.9;0.66;0.7615384615384616;99;11;51
391;coho;200;;0.645;0.9280575539568345;0.645;0.7610619469026549;129;10;71
211;vizsla;46;;0.6521739130434783;0.9090909090909091;0.6521739130434783;0.759493670886076;30;3;16
97;drake;82;;0.6341463414634146;0.9454545454545454;0.6341463414634146;0.759124087591241;52;3;30
326;lycaenid;194;;0.7422680412371134;0.7741935483870968;0.7422680412371134;0.7578947368421053;144;42;50
152;Japanese_spaniel;40;;0.625;0.9615384615384616;0.625;0.7575757575757575;25;1;15
141;redshank;56;;0.6964285714285714;0.8297872340425532;0.6964285714285714;0.7572815533980581;39;8;17
146;albatross;66;;0.7272727272727273;0.7868852459016393;0.7272727272727273;0.7559055118110236;48;13;18
565;freight_car;64;;0.671875;0.86;0.671875;0.7543859649122807;43;7;21
247;Saint_Bernard;46;;0.6304347826086957;0.9354838709677419;0.6304347826086957;0.7532467532467533;29;2;17
24;great_grey_owl;108;;0.6296296296296297;0.9315068493150684;0.6296296296296297;0.7513812154696133;68;5;40
802;snowmobile;92;;0.6521739130434783;0.8823529411764706;0.6521739130434783;0.75;60;8;32
829;streetcar;86;;0.627906976744186;0.9310344827586207;0.627906976744186;0.7499999999999999;54;4;32
57;garter_snake;84;;0.6071428571428571;0.9622641509433962;0.6071428571428571;0.7445255474452553;51;2;33
317;leafhopper;160;;0.6625;0.848;0.6625;0.743859649122807;106;19;54
22;bald_eagle;92;;0.6521739130434783;0.8571428571428571;0.6521739130434783;0.7407407407407407;60;10;32
561;forklift;110;;0.6090909090909091;0.9436619718309859;0.6090909090909091;0.7403314917127072;67;4;43
294;brown_bear;120;;0.675;0.8181818181818182;0.675;0.7397260273972603;81;18;39
547;electric_locomotive;122;;0.639344262295082;0.8764044943820225;0.639344262295082;0.7393364928909953;78;11;44
127;white_stork;80;;0.65;0.8524590163934426;0.65;0.7375886524822695;52;9;28
21;kite;124;;0.7580645161290323;0.7175572519083969;0.7580645161290323;0.7372549019607844;94;37;30
275;African_hunting_dog;64;;0.65625;0.84;0.65625;0.736842105263158;42;8;22
130;flamingo;60;;0.5833333333333334;1.0;0.5833333333333334;0.7368421052631579;35;0;25
20;water_ouzel;92;;0.6521739130434783;0.8450704225352113;0.6521739130434783;0.7361963190184049;60;11;32
569;garbage_truck;132;;0.75;0.7226277372262774;0.75;0.7360594795539033;99;38;33
198;standard_schnauzer;50;;0.64;0.8648648648648649;0.64;0.7356321839080459;32;5;18
11;goldfinch;96;;0.59375;0.9661016949152542;0.59375;0.7354838709677419;57;2;39
365;orangutan;208;;0.6298076923076923;0.8733333333333333;0.6298076923076923;0.7318435754189944;131;19;77
212;English_setter;22;;0.6818181818181818;0.7894736842105263;0.6818181818181818;0.7317073170731707;15;4;7
555;fire_engine;78;;0.5897435897435898;0.9583333333333334;0.5897435897435898;0.7301587301587301;46;2;32
137;American_coot;46;;0.7608695652173914;0.7;0.7608695652173914;0.7291666666666667;35;15;11
144;pelican;42;;0.5952380952380952;0.9259259259259259;0.5952380952380952;0.7246376811594204;25;2;17
19;chickadee;78;;0.5897435897435898;0.9387755102040817;0.5897435897435898;0.7244094488188976;46;3;32
7;cock;82;;0.5975609756097561;0.9074074074074074;0.5975609756097561;0.7205882352941176;49;5;33
4;hammerhead;168;;0.6666666666666666;0.7832167832167832;0.6666666666666666;0.7202572347266881;112;31;56
260;chow;36;;0.6388888888888888;0.8214285714285714;0.6388888888888888;0.7187499999999999;23;5;13
388;giant_panda;98;;0.6020408163265306;0.8805970149253731;0.6020408163265306;0.7151515151515152;59;8;39
155;Shih-Tzu;42;;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;30;12;12
145;king_penguin;8;;0.625;0.8333333333333334;0.625;0.7142857142857143;5;1;3
17;jay;80;;0.575;0.9387755102040817;0.575;0.7131782945736435;46;3;34
15;robin;64;;0.640625;0.803921568627451;0.640625;0.7130434782608696;41;10;23
603;horse_cart;88;;0.5909090909090909;0.896551724137931;0.5909090909090909;0.7123287671232877;52;6;36
397;puffer;258;;0.5891472868217055;0.8994082840236687;0.5891472868217055;0.711943793911007;152;17;106
803;snowplow;160;;0.60625;0.8584070796460177;0.60625;0.7106227106227107;97;16;63
690;oxcart;108;;0.6018518518518519;0.8666666666666667;0.6018518518518519;0.7103825136612022;65;10;43
229;Old_English_sheepdog;16;;0.6875;0.7333333333333333;0.6875;0.7096774193548386;11;4;5
98;red-breasted_merganser;64;;0.75;0.6666666666666666;0.75;0.7058823529411765;48;24;16
142;dowitcher;30;;0.6;0.8571428571428571;0.6;0.7058823529411764;18;3;12
270;white_wolf;100;;0.6;0.8571428571428571;0.6;0.7058823529411764;60;10;40
306;rhinoceros_beetle;134;;0.5970149253731343;0.8602150537634409;0.5970149253731343;0.7048458149779735;80;13;54
228;komondor;64;;0.578125;0.9024390243902439;0.578125;0.7047619047619048;37;4;27
289;snow_leopard;88;;0.6363636363636364;0.7887323943661971;0.6363636363636364;0.7044025157232705;56;15;32
39;common_iguana;124;;0.6048387096774194;0.8426966292134831;0.6048387096774194;0.704225352112676;75;14;49
376;proboscis_monkey;218;;0.6743119266055045;0.735;0.6743119266055045;0.7033492822966506;147;53;71
296;ice_bear;98;;0.6122448979591837;0.821917808219178;0.6122448979591837;0.7017543859649124;60;13;38
