Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
DINOv2-L-KNN;0.6221062491636559;0;0.8422136991293019;0.09872884962946542
DINOv2-L-IN1K-LOGITS;0.6179579820687809;0;0.8006203169050673;0.04099569852837403
DINOv3-L-KNN;0.5811588384852134;0;0.8189984397057731;0.07934313088807018
DINOv2-L-IN1K-KNN;0.5489094071992506;0;0.8462071305124834;0.05507905704599777
DINOv2-B-IN1K-LOGITS;0.5341897497658237;0;0.7875660470610857;0.0690925605291027
DINOv2-B-KNN;0.5252241402381909;0;0.8177527125715394;0.11677933053013698
DINOv2-B-IN1K-LINEAR_PROBE;0.5209420580757393;0;0.745617115378268;0.5080886028167121
DINOv2-B-IN1K-KNN;0.4516258530710558;0;0.8027444643276758;0.07724064831914443
CLIP-L-IN1K-KNN;0.386859360363977;0;0.7456221093442963;0.3043282410753279
Swin-L-IN1K-LOGITS;0.38485213435032783;0;0.678218628705968;0.14635362271625774
CLIP-L-IN1K-LOGITS;0.38351398367456174;0;0.7020017249759953;0.1445459431949811
Swin-L-KNN;0.37120299745751373;0;0.7655964399303845;0.25352197427192436
Swin-L-IN1K-KNN;0.37120299745751373;0;0.7655964399303845;0.25352197427192436
DINOv2-S-IN1K-LOGITS;0.36852669610598154;0;0.7601462928260314;0.14683333225523343
Hiera_L-IN1K-LOGITS;0.3623712029974575;0;0.6902008506140137;0.14763673108280959
Hiera_L-IN1K-KNN;0.34858825103706675;0;0.7573639278487581;0.32108057903969095
DINOv2-S-KNN;0.3417636825906597;0;0.777013658861656;0.15374794687637597
CLIP-L-KNN;0.32771310049511576;0;0.7959509747251575;0.06338329149005598
Swin-B-IN1K-LINEAR_PROBE;0.3067041348855881;0;0.6697870845042952;0.2931149611559571
Swin-B-IN1K-LOGITS;0.3061688746152817;0;0.6689052268849761;0.16980380468318762
Swin-B-IN1K-KNN;0.2887729158303225;0;0.7488616162311886;0.30986696242823525
DINOv2-S-IN1K-KNN;0.2713769570453633;0;0.7527401050128323;0.15536202982947417
Swin-S-IN1K-LOGITS;0.2513046969088719;0;0.647294813850416;0.1901541809057529
Hiera_B-LOGITS;0.24916365582764619;0;0.6534488702852939;0.20817618597850698
CLIP-B-IN1K-LOGITS;0.24421249832731165;0;0.6666416042531724;0.23265550823459244
Hiera_B-KNN;0.23832463535394086;0;0.7335013768745835;0.3786975216107022
CLIP-B-IN1K-LINEAR_PROBE;0.23230295731299344;0;0.6482900832095646;0.2192167430172319
CLIP-B-IN1K-KNN;0.22614746420446943;0;0.7390036804467696;0.33418974188932465
Swin-S-IN1K-KNN;0.22240064231232437;0;0.7357710003083491;0.3183468591691531
Hiera_S-IN1K-LOGITS;0.19590525893215577;0;0.6360712233107534;0.24188009859583043
CLIP-B-KNN;0.18265756724207147;0;0.767511232491586;0.12613269337848632
Hiera_S-IN1K-KNN;0.18172086176903518;0;0.714625784395069;0.39419329136602055
Swin-B-KNN;0.1773049645390071;0;0.7171862609101287;0.42257009091190456
Swin-S-KNN;0.15348588251037068;0;0.7188042401778851;0.4165245282038634
ViT-L-IN1K-LOGITS;0.149605245550649;0;0.7005303389637278;0.34873480218075437
ViT-L-IN1K-KNN;0.1395691154824033;0;0.7492352929773995;0.27369963787281737
ViT-B-IN1K-LOGITS;0.12980061554931085;0;0.6848529069057738;0.3372427012472766
ViT-B-IN1K-KNN;0.11842633480529907;0;0.7502509270407761;0.2602478495092257
DINOv3-S-KNN;0.11601766358892011;0;0.6873580726479476;0.21774730775652362
DINOv3-B-KNN;0.08965609527632812;0;0.7011302081390782;0.17842896259692037
DINOv1-B-KNN;0.06864712966680048;0;0.6807686921646389;0.2710318220635981
ResNet-50-IN1K-LOGITS;0.04308845175966814;0;0.5527340136592112;0.4799868495496548
DINOv1-S-KNN;0.039609260002676304;0;0.6406025818210576;0.2770590841975554
ResNet-50-IN1K-KNN;0.020741335474374414;0;0.6182030168651755;0.26168647364418013
ResNet-50-KNN;0.019403184798608322;0;0.5301540618882697;0.9723495818723142
