rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov1_s__knn;DINOv1-S-KNN;0.039609260002676304;0.12712431419777867;0.0;0;0;0;0.0
2;dinov2_s__knn;DINOv2-S-KNN;0.3417636825906597;0.5557339756456577;0.0;0;0;0;0.0
3;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.2713769570453633;0.49524956510103035;0.0;0;0;0;0.0
4;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.36852669610598154;0.6281279272046032;0.0;0;0;0;0.0
5;dinov3_s__knn;DINOv3-S-KNN;0.11601766358892011;0.28676568981667333;0.0;0;0;0;0.0
6;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.18172086176903518;0.32798073063026895;0.0;0;0;0;0.0
7;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.19590525893215577;0.4521611133413622;0.0;0;0;0;0.0
8;swin_s__knn;Swin-S-KNN;0.15348588251037068;0.2873009500869798;0.0;0;0;0;0.0
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.22240064231232437;0.4018466479325572;0.0;0;0;0;0.0
10;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.2513046969088719;0.5372674963200856;0.0;0;0;0;0.0
