class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
71;scorpion;98;;0.8775510204081632;0.9772727272727273;0.8775510204081632;0.9247311827956989;86;2;12
130;flamingo;70;;0.8428571428571429;1.0;0.8428571428571429;0.9147286821705426;59;0;11
70;harvestman;67;;0.8208955223880597;0.9821428571428571;0.8208955223880597;0.8943089430894309;55;1;12
39;common_iguana;100;;0.79;1.0;0.79;0.8826815642458101;79;0;21
94;hummingbird;98;;0.8571428571428571;0.9032258064516129;0.8571428571428571;0.8795811518324608;84;9;14
315;mantis;99;;0.8282828282828283;0.9213483146067416;0.8282828282828283;0.8723404255319148;82;7;17
319;dragonfly;80;;0.775;0.9841269841269841;0.775;0.8671328671328671;62;1;18
124;crayfish;92;;0.7934782608695652;0.948051948051948;0.7934782608695652;0.863905325443787;73;4;19
79;centipede;61;;0.7704918032786885;0.9791666666666666;0.7704918032786885;0.8623853211009173;47;1;14
17;jay;59;;0.7288135593220338;1.0;0.7288135593220338;0.8431372549019608;43;0;16
105;koala;26;;0.8076923076923077;0.875;0.8076923076923077;0.8400000000000001;21;3;5
347;bison;17;;0.7647058823529411;0.9285714285714286;0.7647058823529411;0.8387096774193549;13;1;4
15;robin;100;;0.77;0.9166666666666666;0.77;0.8369565217391305;77;7;23
97;drake;68;;0.7352941176470589;0.9433962264150944;0.7352941176470589;0.8264462809917356;50;3;18
13;junco;100;;0.7;0.9859154929577465;0.7;0.8187134502923976;70;1;30
150;sea_lion;38;;0.7368421052631579;0.9032258064516129;0.7368421052631579;0.8115942028985507;28;3;10
606;iron;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
682;obelisk;20;;0.75;0.8333333333333334;0.75;0.7894736842105262;15;3;5
23;vulture;76;;0.7105263157894737;0.8852459016393442;0.7105263157894737;0.7883211678832117;54;7;22
313;walking_stick;61;;0.8688524590163934;0.7162162162162162;0.8688524590163934;0.7851851851851852;53;21;8
327;starfish;30;;0.6666666666666666;0.9523809523809523;0.6666666666666666;0.7843137254901961;20;1;10
890;volleyball;27;;0.6666666666666666;0.9473684210526315;0.6666666666666666;0.782608695652174;18;1;9
400;academic_gown;12;;0.75;0.8181818181818182;0.75;0.7826086956521738;9;2;3
143;oystercatcher;9;;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.7777777777777778;7;2;2
335;fox_squirrel;100;;0.63;0.984375;0.63;0.7682926829268293;63;1;37
90;lorikeet;96;;0.6145833333333334;1.0;0.6145833333333334;0.7612903225806451;59;0;37
430;basketball;46;;0.6521739130434783;0.9090909090909091;0.6521739130434783;0.759493670886076;30;3;16
668;mosque;15;;0.7333333333333333;0.7857142857142857;0.7333333333333333;0.7586206896551724;11;3;4
47;African_chameleon;88;;0.6022727272727273;1.0;0.6022727272727273;0.75177304964539;53;0;35
363;armadillo;24;;0.75;0.75;0.75;0.75;18;6;6
847;tank;26;;0.6153846153846154;0.9411764705882353;0.6153846153846154;0.744186046511628;16;1;10
11;goldfinch;100;;0.59;1.0;0.59;0.7421383647798743;59;0;41
