class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
130;flamingo;70;;0.8142857142857143;0.9827586206896551;0.8142857142857143;0.8906250000000001;57;1;13
70;harvestman;67;;0.835820895522388;0.9491525423728814;0.835820895522388;0.888888888888889;56;3;11
71;scorpion;98;;0.7653061224489796;0.9146341463414634;0.7653061224489796;0.8333333333333334;75;7;23
94;hummingbird;98;;0.7448979591836735;0.9240506329113924;0.7448979591836735;0.824858757062147;73;6;25
347;bison;17;;0.7647058823529411;0.8666666666666667;0.7647058823529411;0.8125;13;2;4
150;sea_lion;38;;0.7105263157894737;0.9310344827586207;0.7105263157894737;0.8059701492537312;27;2;11
15;robin;100;;0.71;0.9102564102564102;0.71;0.797752808988764;71;7;29
335;fox_squirrel;100;;0.64;0.9552238805970149;0.64;0.7664670658682635;64;3;36
79;centipede;61;;0.7213114754098361;0.8148148148148148;0.7213114754098361;0.7652173913043478;44;10;17
97;drake;68;;0.6176470588235294;0.9767441860465116;0.6176470588235294;0.7567567567567568;42;1;26
90;lorikeet;96;;0.6041666666666666;0.9830508474576272;0.6041666666666666;0.7483870967741936;58;1;38
23;vulture;76;;0.6578947368421053;0.8620689655172413;0.6578947368421053;0.746268656716418;50;8;26
327;starfish;30;;0.6666666666666666;0.8333333333333334;0.6666666666666666;0.7407407407407408;20;4;10
143;oystercatcher;9;;0.7777777777777778;0.7;0.7777777777777778;0.7368421052631577;7;3;2
124;crayfish;92;;0.5978260869565217;0.9482758620689655;0.5978260869565217;0.7333333333333334;55;3;37
17;jay;59;;0.576271186440678;1.0;0.576271186440678;0.7311827956989247;34;0;25
132;American_egret;89;;0.5955056179775281;0.8548387096774194;0.5955056179775281;0.7019867549668873;53;9;36
89;sulphur-crested_cockatoo;73;;0.547945205479452;0.975609756097561;0.547945205479452;0.7017543859649124;40;1;33
528;dial_telephone;13;;0.5384615384615384;1.0;0.5384615384615384;0.7000000000000001;7;0;6
6;stingray;76;;0.5657894736842105;0.9148936170212766;0.5657894736842105;0.6991869918699187;43;4;33
668;mosque;15;;0.6;0.8181818181818182;0.6;0.6923076923076923;9;2;6
315;mantis;99;;0.5656565656565656;0.8888888888888888;0.5656565656565656;0.6913580246913579;56;7;43
99;goose;97;;0.6185567010309279;0.7792207792207793;0.6185567010309279;0.6896551724137931;60;17;37
22;bald_eagle;85;;0.5411764705882353;0.9387755102040817;0.5411764705882353;0.6865671641791044;46;3;39
306;rhinoceros_beetle;24;;0.5833333333333334;0.8235294117647058;0.5833333333333334;0.6829268292682927;14;3;10
105;koala;26;;0.5769230769230769;0.8333333333333334;0.5769230769230769;0.6818181818181818;15;3;11
11;goldfinch;100;;0.52;0.9811320754716981;0.52;0.6797385620915032;52;1;48
144;pelican;54;;0.5185185185185185;0.9655172413793104;0.5185185185185185;0.6746987951807228;28;1;26
959;carbonara;15;;0.5333333333333333;0.8888888888888888;0.5333333333333333;0.6666666666666667;8;1;7
