class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
606;iron;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
984;rapeseed;17;;0.47058823529411764;0.8;0.47058823529411764;0.5925925925925927;8;2;9
820;steam_locomotive;33;;0.42424242424242425;0.9333333333333333;0.42424242424242425;0.5833333333333333;14;1;19
614;kimono;26;;0.4230769230769231;0.7857142857142857;0.4230769230769231;0.55;11;3;15
483;castle;14;;0.42857142857142855;0.6;0.42857142857142855;0.5;6;4;8
736;pool_table;23;;0.30434782608695654;1.0;0.30434782608695654;0.4666666666666667;7;0;16
6;stingray;76;;0.3157894736842105;0.7741935483870968;0.3157894736842105;0.4485981308411215;24;7;52
981;ballplayer;12;;0.3333333333333333;0.5714285714285714;0.3333333333333333;0.4210526315789474;4;3;8
420;banjo;10;;0.4;0.4;0.4;0.4000000000000001;4;6;6
486;cello;7;;0.2857142857142857;0.6666666666666666;0.2857142857142857;0.4;2;1;5
326;lycaenid;81;;0.24691358024691357;1.0;0.24691358024691357;0.396039603960396;20;0;61
575;golfcart;18;;0.4444444444444444;0.34782608695652173;0.4444444444444444;0.3902439024390244;8;15;10
404;airliner;25;;0.24;1.0;0.24;0.3870967741935484;6;0;19
496;Christmas_stocking;23;;0.2608695652173913;0.75;0.2608695652173913;0.3870967741935483;6;2;17
959;carbonara;15;;0.26666666666666666;0.6666666666666666;0.26666666666666666;0.3809523809523809;4;2;11
105;koala;26;;0.38461538461538464;0.37037037037037035;0.38461538461538464;0.3773584905660377;10;17;16
839;suspension_bridge;26;;0.23076923076923078;1.0;0.23076923076923078;0.375;6;0;20
607;jack-o'-lantern;21;;0.23809523809523808;0.8333333333333334;0.23809523809523808;0.37037037037037035;5;1;16
835;sundial;19;;0.2631578947368421;0.5555555555555556;0.2631578947368421;0.35714285714285715;5;4;14
108;sea_anemone;98;;0.21428571428571427;0.9545454545454546;0.21428571428571427;0.35;21;1;77
642;marimba;19;;0.21052631578947367;1.0;0.21052631578947367;0.34782608695652173;4;0;15
682;obelisk;20;;0.25;0.5555555555555556;0.25;0.3448275862068966;5;4;15
402;acoustic_guitar;22;;0.2727272727272727;0.46153846153846156;0.2727272727272727;0.3428571428571428;6;7;16
569;garbage_truck;9;;0.4444444444444444;0.26666666666666666;0.4444444444444444;0.33333333333333337;4;11;5
924;guacamole;20;;0.25;0.5;0.25;0.3333333333333333;5;5;15
327;starfish;30;;0.2;0.8571428571428571;0.2;0.32432432432432434;6;1;24
913;wreck;11;;0.2727272727272727;0.375;0.2727272727272727;0.3157894736842105;3;5;8
888;viaduct;18;;0.2777777777777778;0.3333333333333333;0.2777777777777778;0.303030303030303;5;10;13
437;beacon;26;;0.2692307692307692;0.3333333333333333;0.2692307692307692;0.2978723404255319;7;14;19
831;studio_couch;44;;0.22727272727272727;0.4166666666666667;0.22727272727272727;0.29411764705882354;10;14;34
130;flamingo;70;;0.17142857142857143;1.0;0.17142857142857143;0.2926829268292683;12;0;58
779;school_bus;30;;0.16666666666666666;1.0;0.16666666666666666;0.2857142857142857;5;0;25
609;jeep;34;;0.17647058823529413;0.6666666666666666;0.17647058823529413;0.27906976744186046;6;3;28
528;dial_telephone;13;;0.15384615384615385;1.0;0.15384615384615385;0.2666666666666667;2;0;11
400;academic_gown;12;;0.16666666666666666;0.6666666666666666;0.16666666666666666;0.26666666666666666;2;1;10
543;dumbbell;19;;0.15789473684210525;0.75;0.15789473684210525;0.2608695652173913;3;1;16
347;bison;17;;0.17647058823529413;0.5;0.17647058823529413;0.2608695652173913;3;3;14
786;sewing_machine;19;;0.15789473684210525;0.75;0.15789473684210525;0.2608695652173913;3;1;16
573;go-kart;11;;0.18181818181818182;0.4;0.18181818181818182;0.25000000000000006;2;3;9
283;Persian_cat;74;;0.13513513513513514;1.0;0.13513513513513514;0.2380952380952381;10;0;64
579;grand_piano;14;;0.14285714285714285;0.6666666666666666;0.14285714285714285;0.23529411764705882;2;1;12
470;candle;59;;0.15254237288135594;0.5;0.15254237288135594;0.23376623376623376;9;9;50
319;dragonfly;80;;0.1375;0.7333333333333333;0.1375;0.23157894736842105;11;4;69
768;rugby_ball;17;;0.17647058823529413;0.3333333333333333;0.17647058823529413;0.23076923076923078;3;6;14
986;yellow_lady's_slipper;8;;0.125;1.0;0.125;0.2222222222222222;1;0;7
70;harvestman;67;;0.13432835820895522;0.6428571428571429;0.13432835820895522;0.2222222222222222;9;5;58
37;box_turtle;64;;0.125;1.0;0.125;0.2222222222222222;8;0;56
815;spider_web;39;;0.1282051282051282;0.7142857142857143;0.1282051282051282;0.21739130434782608;5;2;34
