class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
606;iron;3;;1.0;1.0;1.0;1.0;3;0;0
71;scorpion;98;;0.9693877551020408;0.979381443298969;0.9693877551020408;0.9743589743589743;95;2;3
327;starfish;30;;0.9666666666666667;0.9666666666666667;0.9666666666666667;0.9666666666666667;29;1;1
70;harvestman;67;;0.9253731343283582;1.0;0.9253731343283582;0.9612403100775194;62;0;5
124;crayfish;92;;0.9239130434782609;1.0;0.9239130434782609;0.96045197740113;85;0;7
39;common_iguana;100;;0.91;1.0;0.91;0.9528795811518325;91;0;9
335;fox_squirrel;100;;0.97;0.9326923076923077;0.97;0.9509803921568627;97;7;3
17;jay;59;;0.8813559322033898;1.0;0.8813559322033898;0.936936936936937;52;0;7
107;jellyfish;89;;0.8876404494382022;0.9875;0.8876404494382022;0.9349112426035503;79;1;10
144;pelican;54;;0.9259259259259259;0.9433962264150944;0.9259259259259259;0.9345794392523364;50;3;4
150;sea_lion;38;;0.9210526315789473;0.9459459459459459;0.9210526315789473;0.9333333333333332;35;2;3
319;dragonfly;80;;0.875;0.9859154929577465;0.875;0.9271523178807948;70;1;10
314;cockroach;66;;0.9242424242424242;0.9242424242424242;0.9242424242424242;0.9242424242424242;61;5;5
130;flamingo;70;;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;60;0;10
573;go-kart;11;;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091;10;1;1
79;centipede;61;;0.8688524590163934;0.9464285714285714;0.8688524590163934;0.9059829059829059;53;3;8
347;bison;17;;0.8235294117647058;1.0;0.8235294117647058;0.9032258064516129;14;0;3
96;toucan;49;;0.8367346938775511;0.9761904761904762;0.8367346938775511;0.9010989010989012;41;1;8
456;bow;25;;0.84;0.9545454545454546;0.84;0.8936170212765958;21;1;4
15;robin;100;;0.87;0.90625;0.87;0.8877551020408163;87;9;13
94;hummingbird;98;;0.8877551020408163;0.8877551020408163;0.8877551020408163;0.8877551020408163;87;11;11
313;walking_stick;61;;0.9016393442622951;0.873015873015873;0.9016393442622951;0.8870967741935485;55;8;6
397;puffer;43;;0.813953488372093;0.9722222222222222;0.813953488372093;0.8860759493670887;35;1;8
47;African_chameleon;88;;0.7954545454545454;0.9859154929577465;0.7954545454545454;0.8805031446540881;70;1;18
125;hermit_crab;26;;0.8461538461538461;0.9166666666666666;0.8461538461538461;0.8799999999999999;22;2;4
97;drake;68;;0.7941176470588235;0.9818181818181818;0.7941176470588235;0.8780487804878049;54;1;14
326;lycaenid;81;;0.7901234567901234;0.9846153846153847;0.7901234567901234;0.8767123287671232;64;1;17
90;lorikeet;96;;0.8020833333333334;0.9625;0.8020833333333334;0.8750000000000001;77;3;19
23;vulture;76;;0.8157894736842105;0.9253731343283582;0.8157894736842105;0.8671328671328671;62;5;14
315;mantis;99;;0.7676767676767676;0.987012987012987;0.7676767676767676;0.8636363636363635;76;1;23
105;koala;26;;0.8461538461538461;0.88;0.8461538461538461;0.8627450980392156;22;3;4
308;fly;98;;0.7551020408163265;0.961038961038961;0.7551020408163265;0.8457142857142858;74;3;24
786;sewing_machine;19;;0.8421052631578947;0.8421052631578947;0.8421052631578947;0.8421052631578947;16;3;3
42;agama;70;;0.7714285714285715;0.9152542372881356;0.7714285714285715;0.8372093023255813;54;5;16
400;academic_gown;12;;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;10;2;2
323;monarch;83;;0.7228915662650602;0.9836065573770492;0.7228915662650602;0.8333333333333334;60;1;23
607;jack-o'-lantern;21;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;15;0;6
22;bald_eagle;85;;0.7176470588235294;0.9838709677419355;0.7176470588235294;0.8299319727891156;61;1;24
847;tank;26;;0.7307692307692307;0.95;0.7307692307692307;0.8260869565217392;19;1;7
113;snail;77;;0.7012987012987013;1.0;0.7012987012987013;0.8244274809160306;54;0;23
