class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
71;scorpion;98;;0.7857142857142857;0.9506172839506173;0.7857142857142857;0.8603351955307262;77;4;21
124;crayfish;92;;0.6956521739130435;0.9411764705882353;0.6956521739130435;0.7999999999999999;64;4;28
39;common_iguana;100;;0.69;0.9324324324324325;0.69;0.793103448275862;69;5;31
96;toucan;49;;0.6530612244897959;0.9696969696969697;0.6530612244897959;0.7804878048780488;32;1;17
17;jay;59;;0.6440677966101694;0.9743589743589743;0.6440677966101694;0.7755102040816326;38;1;21
315;mantis;99;;0.6363636363636364;0.984375;0.6363636363636364;0.7730061349693252;63;1;36
291;lion;46;;0.5869565217391305;1.0;0.5869565217391305;0.7397260273972603;27;0;19
79;centipede;61;;0.639344262295082;0.8666666666666667;0.639344262295082;0.7358490566037736;39;6;22
319;dragonfly;80;;0.6;0.9230769230769231;0.6;0.7272727272727274;48;4;32
105;koala;26;;0.5769230769230769;0.9375;0.5769230769230769;0.7142857142857143;15;1;11
684;ocarina;7;;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;5;2;2
37;box_turtle;64;;0.5625;0.972972972972973;0.5625;0.712871287128713;36;1;28
569;garbage_truck;9;;0.6666666666666666;0.75;0.6666666666666666;0.7058823529411765;6;2;3
42;agama;70;;0.5571428571428572;0.9285714285714286;0.5571428571428572;0.6964285714285714;39;3;31
779;school_bus;30;;0.5333333333333333;1.0;0.5333333333333333;0.6956521739130436;16;0;14
317;leafhopper;40;;0.625;0.78125;0.625;0.6944444444444444;25;7;15
313;walking_stick;61;;0.8360655737704918;0.5930232558139535;0.8360655737704918;0.6938775510204083;51;35;10
50;American_alligator;69;;0.5507246376811594;0.926829268292683;0.5507246376811594;0.6909090909090908;38;3;31
575;golfcart;18;;0.5555555555555556;0.9090909090909091;0.5555555555555556;0.6896551724137931;10;1;8
430;basketball;46;;0.5652173913043478;0.8387096774193549;0.5652173913043478;0.6753246753246753;26;5;20
70;harvestman;67;;0.5074626865671642;1.0;0.5074626865671642;0.6732673267326732;34;0;33
47;African_chameleon;88;;0.5227272727272727;0.9387755102040817;0.5227272727272727;0.6715328467153285;46;3;42
94;hummingbird;98;;0.5816326530612245;0.7916666666666666;0.5816326530612245;0.6705882352941176;57;15;41
361;skunk;64;;0.578125;0.7872340425531915;0.578125;0.6666666666666667;37;10;27
606;iron;3;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;2;1;1
150;sea_lion;38;;0.7105263157894737;0.627906976744186;0.7105263157894737;0.6666666666666666;27;16;11
330;wood_rabbit;60;;0.5666666666666667;0.7906976744186046;0.5666666666666667;0.6601941747572816;34;9;26
428;barrow;41;;0.5609756097560976;0.7931034482758621;0.5609756097560976;0.6571428571428573;23;6;18
23;vulture;76;;0.5131578947368421;0.8863636363636364;0.5131578947368421;0.65;39;5;37
327;starfish;30;;0.5333333333333333;0.7619047619047619;0.5333333333333333;0.6274509803921569;16;5;14
614;kimono;26;;0.46153846153846156;0.9230769230769231;0.46153846153846156;0.6153846153846155;12;1;14
334;porcupine;56;;0.5;0.8;0.5;0.6153846153846154;28;7;28
254;pug;25;;0.48;0.8571428571428571;0.48;0.6153846153846153;12;2;13
363;armadillo;24;;0.5833333333333334;0.6363636363636364;0.5833333333333334;0.6086956521739131;14;8;10
959;carbonara;15;;0.4666666666666667;0.875;0.4666666666666667;0.608695652173913;7;1;8
15;robin;100;;0.47;0.8545454545454545;0.47;0.6064516129032257;47;8;53
420;banjo;10;;0.6;0.6;0.6;0.6;6;4;4
642;marimba;19;;0.47368421052631576;0.8181818181818182;0.47368421052631576;0.6;9;2;10
372;baboon;7;;0.8571428571428571;0.46153846153846156;0.8571428571428571;0.6;6;7;1
607;jack-o'-lantern;21;;0.5238095238095238;0.6875;0.5238095238095238;0.5945945945945946;11;5;10
335;fox_squirrel;100;;0.44;0.9166666666666666;0.44;0.5945945945945945;44;4;56
130;flamingo;70;;0.42857142857142855;0.967741935483871;0.42857142857142855;0.594059405940594;30;1;40
89;sulphur-crested_cockatoo;73;;0.4657534246575342;0.8095238095238095;0.4657534246575342;0.591304347826087;34;8;39
90;lorikeet;96;;0.4166666666666667;0.975609756097561;0.4166666666666667;0.583941605839416;40;1;56
859;toaster;16;;0.4375;0.875;0.4375;0.5833333333333334;7;1;9
786;sewing_machine;19;;0.47368421052631576;0.75;0.47368421052631576;0.5806451612903226;9;3;10
402;acoustic_guitar;22;;0.4090909090909091;1.0;0.4090909090909091;0.5806451612903226;9;0;13
847;tank;26;;0.4230769230769231;0.9166666666666666;0.4230769230769231;0.5789473684210527;11;1;15
687;organ;12;;0.5;0.6666666666666666;0.5;0.5714285714285715;6;3;6
981;ballplayer;12;;0.5;0.6666666666666666;0.5;0.5714285714285715;6;3;6
113;snail;77;;0.44155844155844154;0.7906976744186046;0.44155844155844154;0.5666666666666667;34;9;43
