class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
430;basketball;46;;0.782608695652174;0.8571428571428571;0.782608695652174;0.8181818181818182;36;6;10
105;koala;26;;0.7692307692307693;0.8333333333333334;0.7692307692307693;0.8;20;4;6
959;carbonara;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
17;jay;59;;0.5932203389830508;0.9459459459459459;0.5932203389830508;0.7291666666666666;35;2;24
984;rapeseed;17;;0.5882352941176471;0.9090909090909091;0.5882352941176471;0.7142857142857143;10;1;7
317;leafhopper;40;;0.6;0.8275862068965517;0.6;0.6956521739130435;24;5;16
79;centipede;61;;0.5901639344262295;0.8372093023255814;0.5901639344262295;0.6923076923076923;36;7;25
71;scorpion;98;;0.5816326530612245;0.8507462686567164;0.5816326530612245;0.6909090909090908;57;10;41
326;lycaenid;81;;0.5308641975308642;0.9555555555555556;0.5308641975308642;0.6825396825396826;43;2;38
90;lorikeet;96;;0.5208333333333334;0.9803921568627451;0.5208333333333334;0.6802721088435374;50;1;46
94;hummingbird;98;;0.5408163265306123;0.8983050847457628;0.5408163265306123;0.6751592356687899;53;6;45
986;yellow_lady's_slipper;8;;0.5;1.0;0.5;0.6666666666666666;4;0;4
39;common_iguana;100;;0.51;0.9272727272727272;0.51;0.6580645161290323;51;4;49
50;American_alligator;69;;0.4927536231884058;0.918918918918919;0.4927536231884058;0.6415094339622641;34;3;35
315;mantis;99;;0.494949494949495;0.9074074074074074;0.494949494949495;0.6405228758169934;49;5;50
347;bison;17;;0.47058823529411764;1.0;0.47058823529411764;0.6399999999999999;8;0;9
420;banjo;10;;0.5;0.8333333333333334;0.5;0.625;5;1;5
981;ballplayer;12;;0.75;0.5294117647058824;0.75;0.6206896551724139;9;8;3
614;kimono;26;;0.5;0.8125;0.5;0.6190476190476191;13;3;13
124;crayfish;92;;0.4891304347826087;0.8333333333333334;0.4891304347826087;0.6164383561643836;45;9;47
400;academic_gown;12;;0.5833333333333334;0.6363636363636364;0.5833333333333334;0.6086956521739131;7;4;5
89;sulphur-crested_cockatoo;73;;0.4657534246575342;0.85;0.4657534246575342;0.6017699115044248;34;6;39
607;jack-o'-lantern;21;;0.5238095238095238;0.6875;0.5238095238095238;0.5945945945945946;11;5;10
402;acoustic_guitar;22;;0.45454545454545453;0.8333333333333334;0.45454545454545453;0.5882352941176471;10;2;12
96;toucan;49;;0.42857142857142855;0.9130434782608695;0.42857142857142855;0.5833333333333334;21;2;28
15;robin;100;;0.44;0.8461538461538461;0.44;0.5789473684210525;44;8;56
319;dragonfly;80;;0.4375;0.8536585365853658;0.4375;0.578512396694215;35;6;45
