class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
986;yellow_lady's_slipper;8;;0.75;1.0;0.75;0.8571428571428571;6;0;2
430;basketball;46;;0.7391304347826086;0.8717948717948718;0.7391304347826086;0.7999999999999999;34;5;12
71;scorpion;98;;0.6836734693877551;0.9305555555555556;0.6836734693877551;0.788235294117647;67;5;31
105;koala;26;;0.7307692307692307;0.8260869565217391;0.7307692307692307;0.7755102040816326;19;4;7
79;centipede;61;;0.7377049180327869;0.8035714285714286;0.7377049180327869;0.7692307692307693;45;11;16
90;lorikeet;96;;0.6145833333333334;0.9833333333333333;0.6145833333333334;0.7564102564102564;59;1;37
39;common_iguana;100;;0.63;0.9264705882352942;0.63;0.75;63;5;37
94;hummingbird;98;;0.6632653061224489;0.8552631578947368;0.6632653061224489;0.7471264367816092;65;11;33
17;jay;59;;0.5932203389830508;1.0;0.5932203389830508;0.7446808510638298;35;0;24
347;bison;17;;0.5882352941176471;1.0;0.5882352941176471;0.7407407407407407;10;0;7
315;mantis;99;;0.6161616161616161;0.9242424242424242;0.6161616161616161;0.7393939393939395;61;5;38
326;lycaenid;81;;0.6172839506172839;0.9090909090909091;0.6172839506172839;0.7352941176470589;50;5;31
323;monarch;83;;0.6024096385542169;0.9433962264150944;0.6024096385542169;0.7352941176470588;50;3;33
319;dragonfly;80;;0.6;0.9411764705882353;0.6;0.7328244274809161;48;3;32
150;sea_lion;38;;0.7105263157894737;0.75;0.7105263157894737;0.7297297297297298;27;9;11
15;robin;100;;0.63;0.863013698630137;0.63;0.7283236994219653;63;10;37
984;rapeseed;17;;0.5882352941176471;0.9090909090909091;0.5882352941176471;0.7142857142857143;10;1;7
124;crayfish;92;;0.6195652173913043;0.8382352941176471;0.6195652173913043;0.7124999999999999;57;11;35
143;oystercatcher;9;;0.6666666666666666;0.75;0.6666666666666666;0.7058823529411765;6;2;3
70;harvestman;67;;0.5522388059701493;0.9736842105263158;0.5522388059701493;0.7047619047619047;37;1;30
23;vulture;76;;0.618421052631579;0.8103448275862069;0.618421052631579;0.7014925373134329;47;11;29
97;drake;68;;0.5441176470588235;0.9736842105263158;0.5441176470588235;0.6981132075471699;37;1;31
317;leafhopper;40;;0.6;0.8275862068965517;0.6;0.6956521739130435;24;5;16
96;toucan;49;;0.5306122448979592;0.9629629629629629;0.5306122448979592;0.6842105263157895;26;1;23
614;kimono;26;;0.5769230769230769;0.8333333333333334;0.5769230769230769;0.6818181818181818;15;3;11
89;sulphur-crested_cockatoo;73;;0.5205479452054794;0.95;0.5205479452054794;0.6725663716814159;38;2;35
981;ballplayer;12;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;8;4;4
642;marimba;19;;0.5263157894736842;0.9090909090909091;0.5263157894736842;0.6666666666666666;10;1;9
130;flamingo;70;;0.5;1.0;0.5;0.6666666666666666;35;0;35
420;banjo;10;;0.5;1.0;0.5;0.6666666666666666;5;0;5
291;lion;46;;0.5;1.0;0.5;0.6666666666666666;23;0;23
50;American_alligator;69;;0.5362318840579711;0.8604651162790697;0.5362318840579711;0.6607142857142858;37;6;32
324;cabbage_butterfly;62;;0.46774193548387094;1.0;0.46774193548387094;0.6373626373626373;29;0;33
334;porcupine;56;;0.5;0.8484848484848485;0.5;0.6292134831460674;28;5;28
607;jack-o'-lantern;21;;0.5238095238095238;0.7857142857142857;0.5238095238095238;0.6285714285714286;11;3;10
335;fox_squirrel;100;;0.56;0.7;0.56;0.6222222222222222;56;24;44
11;goldfinch;100;;0.45;1.0;0.45;0.6206896551724138;45;0;55
314;cockroach;66;;0.5151515151515151;0.7555555555555555;0.5151515151515151;0.6126126126126126;34;11;32
57;garter_snake;81;;0.4567901234567901;0.925;0.4567901234567901;0.6115702479338843;37;3;44
361;skunk;64;;0.46875;0.8333333333333334;0.46875;0.6;30;6;34
386;African_elephant;28;;0.42857142857142855;1.0;0.42857142857142855;0.6;12;0;16
400;academic_gown;12;;0.5;0.75;0.5;0.6;6;2;6
719;piggy_bank;12;;0.5;0.75;0.5;0.6;6;2;6
301;ladybug;99;;0.42424242424242425;1.0;0.42424242424242425;0.5957446808510638;42;0;57
6;stingray;76;;0.4342105263157895;0.9428571428571428;0.4342105263157895;0.5945945945945946;33;2;43
30;bullfrog;100;;0.45;0.8653846153846154;0.45;0.5921052631578948;45;7;55
76;tarantula;42;;0.42857142857142855;0.9473684210526315;0.42857142857142855;0.5901639344262295;18;1;24
47;African_chameleon;88;;0.4318181818181818;0.926829268292683;0.4318181818181818;0.5891472868217055;38;3;50
573;go-kart;11;;0.45454545454545453;0.8333333333333334;0.45454545454545453;0.5882352941176471;5;1;6
113;snail;77;;0.42857142857142855;0.9166666666666666;0.42857142857142855;0.5840707964601769;33;3;44
959;carbonara;15;;0.4666666666666667;0.7777777777777778;0.4666666666666667;0.5833333333333334;7;2;8
768;rugby_ball;17;;0.4117647058823529;1.0;0.4117647058823529;0.5833333333333334;7;0;10
308;fly;98;;0.41836734693877553;0.9534883720930233;0.41836734693877553;0.5815602836879432;41;2;57
327;starfish;30;;0.5;0.6818181818181818;0.5;0.576923076923077;15;7;15
22;bald_eagle;85;;0.4117647058823529;0.9459459459459459;0.4117647058823529;0.5737704918032787;35;2;50
779;school_bus;30;;0.4;1.0;0.4;0.5714285714285715;12;0;18
313;walking_stick;61;;0.7213114754098361;0.4631578947368421;0.7213114754098361;0.5641025641025641;44;51;17
13;junco;100;;0.4;0.9523809523809523;0.4;0.5633802816901408;40;2;60
736;pool_table;23;;0.391304347826087;1.0;0.391304347826087;0.5625;9;0;14
786;sewing_machine;19;;0.47368421052631576;0.6923076923076923;0.47368421052631576;0.5625;9;4;10
37;box_turtle;64;;0.390625;1.0;0.390625;0.5617977528089888;25;0;39
144;pelican;54;;0.42592592592592593;0.7931034482758621;0.42592592592592593;0.5542168674698795;23;6;31
402;acoustic_guitar;22;;0.5;0.6111111111111112;0.5;0.55;11;7;11
107;jellyfish;89;;0.47191011235955055;0.6461538461538462;0.47191011235955055;0.5454545454545455;42;23;47
897;washer;15;;0.4666666666666667;0.6363636363636364;0.4666666666666667;0.5384615384615385;7;4;8
684;ocarina;7;;0.5714285714285714;0.5;0.5714285714285714;0.5333333333333333;4;4;3
575;golfcart;18;;0.4444444444444444;0.6666666666666666;0.4444444444444444;0.5333333333333333;8;4;10
132;American_egret;89;;0.39325842696629215;0.813953488372093;0.39325842696629215;0.5303030303030303;35;8;54
