class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
430;basketball;46;;0.6521739130434783;0.8108108108108109;0.6521739130434783;0.7228915662650603;30;7;16
90;lorikeet;96;;0.5416666666666666;1.0;0.5416666666666666;0.7027027027027027;52;0;44
984;rapeseed;17;;0.5294117647058824;0.8181818181818182;0.5294117647058824;0.6428571428571428;9;2;8
326;lycaenid;81;;0.4567901234567901;1.0;0.4567901234567901;0.6271186440677966;37;0;44
317;leafhopper;40;;0.525;0.75;0.525;0.6176470588235295;21;7;19
17;jay;59;;0.4406779661016949;0.9285714285714286;0.4406779661016949;0.5977011494252874;26;2;33
607;jack-o'-lantern;21;;0.47619047619047616;0.7692307692307693;0.47619047619047616;0.588235294117647;10;3;11
79;centipede;61;;0.5245901639344263;0.6666666666666666;0.5245901639344263;0.5871559633027523;32;16;29
959;carbonara;15;;0.4;1.0;0.4;0.5714285714285715;6;0;9
71;scorpion;98;;0.45918367346938777;0.75;0.45918367346938777;0.569620253164557;45;15;53
986;yellow_lady's_slipper;8;;0.375;1.0;0.375;0.5454545454545454;3;0;5
15;robin;100;;0.4;0.8333333333333334;0.4;0.5405405405405406;40;8;60
575;golfcart;18;;0.3888888888888889;0.875;0.3888888888888889;0.5384615384615385;7;1;11
94;hummingbird;98;;0.42857142857142855;0.7;0.42857142857142855;0.5316455696202531;42;18;56
130;flamingo;70;;0.35714285714285715;1.0;0.35714285714285715;0.5263157894736842;25;0;45
335;fox_squirrel;100;;0.43;0.671875;0.43;0.524390243902439;43;21;57
70;harvestman;67;;0.3582089552238806;0.96;0.3582089552238806;0.5217391304347826;24;1;43
981;ballplayer;12;;0.5;0.5454545454545454;0.5;0.5217391304347826;6;5;6
319;dragonfly;80;;0.375;0.8571428571428571;0.375;0.5217391304347825;30;5;50
105;koala;26;;0.46153846153846156;0.5714285714285714;0.46153846153846156;0.5106382978723405;12;9;14
150;sea_lion;38;;0.39473684210526316;0.7142857142857143;0.39473684210526316;0.5084745762711864;15;6;23
315;mantis;99;;0.36363636363636365;0.8181818181818182;0.36363636363636365;0.5034965034965034;36;8;63
327;starfish;30;;0.36666666666666664;0.7857142857142857;0.36666666666666664;0.5;11;3;19
347;bison;17;;0.35294117647058826;0.75;0.35294117647058826;0.48;6;2;11
96;toucan;49;;0.32653061224489793;0.8888888888888888;0.32653061224489793;0.47761194029850745;16;2;33
614;kimono;26;;0.34615384615384615;0.75;0.34615384615384615;0.4736842105263157;9;3;17
57;garter_snake;81;;0.32098765432098764;0.896551724137931;0.32098765432098764;0.4727272727272727;26;3;55
97;drake;68;;0.3088235294117647;1.0;0.3088235294117647;0.4719101123595506;21;0;47
23;vulture;76;;0.3684210526315789;0.6511627906976745;0.3684210526315789;0.4705882352941176;28;15;48
47;African_chameleon;88;;0.3181818181818182;0.875;0.3181818181818182;0.4666666666666667;28;4;60
386;African_elephant;28;;0.32142857142857145;0.8181818181818182;0.32142857142857145;0.46153846153846156;9;2;19
736;pool_table;23;;0.30434782608695654;0.875;0.30434782608695654;0.4516129032258065;7;1;16
768;rugby_ball;17;;0.35294117647058826;0.6;0.35294117647058826;0.4444444444444445;6;4;11
313;walking_stick;61;;0.6229508196721312;0.336283185840708;0.6229508196721312;0.43678160919540227;38;75;23
301;ladybug;99;;0.29292929292929293;0.8529411764705882;0.29292929292929293;0.43609022556390975;29;5;70
37;box_turtle;64;;0.28125;0.9473684210526315;0.28125;0.43373493975903615;18;1;46
124;crayfish;92;;0.2826086956521739;0.9285714285714286;0.2826086956521739;0.4333333333333333;26;2;66
324;cabbage_butterfly;62;;0.27419354838709675;1.0;0.27419354838709675;0.430379746835443;17;0;45
6;stingray;76;;0.2894736842105263;0.8148148148148148;0.2894736842105263;0.4271844660194175;22;5;54
50;American_alligator;69;;0.2898550724637681;0.7692307692307693;0.2898550724637681;0.4210526315789474;20;6;49
400;academic_gown;12;;0.4166666666666667;0.4166666666666667;0.4166666666666667;0.4166666666666667;5;7;7
820;steam_locomotive;33;;0.30303030303030304;0.625;0.30303030303030304;0.40816326530612246;10;6;23
