class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
984;rapeseed;17;;0.7647058823529411;0.9285714285714286;0.7647058823529411;0.8387096774193549;13;1;4
430;basketball;46;;0.5652173913043478;0.8387096774193549;0.5652173913043478;0.6753246753246753;26;5;20
719;piggy_bank;12;;0.5;1.0;0.5;0.6666666666666666;6;0;6
779;school_bus;30;;0.4666666666666667;0.8235294117647058;0.4666666666666667;0.5957446808510638;14;3;16
687;organ;12;;0.4166666666666667;0.8333333333333334;0.4166666666666667;0.5555555555555556;5;1;7
959;carbonara;15;;0.4;0.8571428571428571;0.4;0.5454545454545455;6;1;9
736;pool_table;23;;0.43478260869565216;0.7142857142857143;0.43478260869565216;0.5405405405405405;10;4;13
420;banjo;10;;0.5;0.5;0.5;0.5;5;5;5
569;garbage_truck;9;;0.5555555555555556;0.4166666666666667;0.5555555555555556;0.4761904761904762;5;7;4
627;limousine;6;;0.8333333333333334;0.3333333333333333;0.8333333333333334;0.47619047619047616;5;10;1
981;ballplayer;12;;0.5;0.42857142857142855;0.5;0.4615384615384615;6;8;6
400;academic_gown;12;;0.5;0.4;0.5;0.4444444444444445;6;9;6
786;sewing_machine;19;;0.3157894736842105;0.75;0.3157894736842105;0.44444444444444436;6;2;13
956;custard_apple;6;;0.5;0.375;0.5;0.42857142857142855;3;5;3
543;dumbbell;19;;0.3157894736842105;0.6666666666666666;0.3157894736842105;0.42857142857142855;6;3;13
932;pretzel;10;;0.3;0.75;0.3;0.4285714285714285;3;1;7
470;candle;59;;0.288135593220339;0.8095238095238095;0.288135593220339;0.42500000000000004;17;4;42
768;rugby_ball;17;;0.35294117647058826;0.5;0.35294117647058826;0.41379310344827586;6;6;11
897;washer;15;;0.4;0.4;0.4;0.4000000000000001;6;9;9
642;marimba;19;;0.2631578947368421;0.8333333333333334;0.2631578947368421;0.39999999999999997;5;1;14
552;feather_boa;8;;0.375;0.42857142857142855;0.375;0.39999999999999997;3;4;5
614;kimono;26;;0.2692307692307692;0.7777777777777778;0.2692307692307692;0.39999999999999997;7;2;19
752;racket;25;;0.32;0.5;0.32;0.39024390243902435;8;8;17
815;spider_web;39;;0.28205128205128205;0.6111111111111112;0.28205128205128205;0.38596491228070173;11;7;28
640;manhole_cover;32;;0.28125;0.6;0.28125;0.3829787234042553;9;6;23
888;viaduct;18;;0.3888888888888889;0.3684210526315789;0.3888888888888889;0.37837837837837834;7;12;11
575;golfcart;18;;0.2777777777777778;0.5555555555555556;0.2777777777777778;0.3703703703703704;5;4;13
913;wreck;11;;0.45454545454545453;0.3125;0.45454545454545453;0.3703703703703703;5;11;6
96;toucan;49;;0.2653061224489796;0.5909090909090909;0.2653061224489796;0.36619718309859156;13;9;36
847;tank;26;;0.23076923076923078;0.8571428571428571;0.23076923076923078;0.36363636363636365;6;1;20
496;Christmas_stocking;23;;0.2608695652173913;0.6;0.2608695652173913;0.36363636363636365;6;4;17
701;parachute;14;;0.35714285714285715;0.35714285714285715;0.35714285714285715;0.35714285714285715;5;9;9
862;torch;24;;0.4166666666666667;0.29411764705882354;0.4166666666666667;0.3448275862068966;10;24;14
572;goblet;27;;0.2222222222222222;0.75;0.2222222222222222;0.34285714285714286;6;2;21
890;volleyball;27;;0.25925925925925924;0.4666666666666667;0.25925925925925924;0.33333333333333337;7;8;20
150;sea_lion;38;;0.2894736842105263;0.39285714285714285;0.2894736842105263;0.33333333333333337;11;17;27
486;cello;7;;0.2857142857142857;0.4;0.2857142857142857;0.3333333333333333;2;3;5
682;obelisk;20;;0.25;0.5;0.25;0.3333333333333333;5;5;15
516;cradle;7;;0.2857142857142857;0.4;0.2857142857142857;0.3333333333333333;2;3;5
50;American_alligator;69;;0.21739130434782608;0.6818181818181818;0.21739130434782608;0.32967032967032966;15;7;54
17;jay;59;;0.2033898305084746;0.7058823529411765;0.2033898305084746;0.3157894736842105;12;5;47
607;jack-o'-lantern;21;;0.19047619047619047;0.8;0.19047619047619047;0.3076923076923077;4;1;17
402;acoustic_guitar;22;;0.18181818181818182;1.0;0.18181818181818182;0.3076923076923077;4;0;18
530;digital_clock;7;;0.2857142857142857;0.3333333333333333;0.2857142857142857;0.30769230769230765;2;4;5
924;guacamole;20;;0.2;0.6666666666666666;0.2;0.30769230769230765;4;2;16
90;lorikeet;96;;0.1875;0.8181818181818182;0.1875;0.30508474576271183;18;4;78
428;barrow;41;;0.24390243902439024;0.4;0.24390243902439024;0.30303030303030304;10;15;31
462;broom;35;;0.22857142857142856;0.4444444444444444;0.22857142857142856;0.3018867924528302;8;10;27
562;fountain;26;;0.23076923076923078;0.4;0.23076923076923078;0.29268292682926833;6;9;20
71;scorpion;98;;0.21428571428571427;0.44680851063829785;0.21428571428571427;0.28965517241379307;21;26;77
820;steam_locomotive;33;;0.18181818181818182;0.6666666666666666;0.18181818181818182;0.28571428571428575;6;3;27
557;flagpole;27;;0.25925925925925924;0.3181818181818182;0.25925925925925924;0.2857142857142857;7;15;20
317;leafhopper;40;;0.175;0.7777777777777778;0.175;0.2857142857142857;7;2;33
124;crayfish;92;;0.18478260869565216;0.6296296296296297;0.18478260869565216;0.28571428571428564;17;10;75
880;unicycle;20;;0.35;0.23333333333333334;0.35;0.28;7;23;13
416;balance_beam;31;;0.16129032258064516;1.0;0.16129032258064516;0.27777777777777773;5;0;26
335;fox_squirrel;100;;0.18;0.6;0.18;0.2769230769230769;18;12;82
831;studio_couch;44;;0.18181818181818182;0.5714285714285714;0.18181818181818182;0.27586206896551724;8;6;36
79;centipede;61;;0.18032786885245902;0.55;0.18032786885245902;0.271604938271605;11;9;50
971;bubble;41;;0.17073170731707318;0.6363636363636364;0.17073170731707318;0.2692307692307692;7;4;34
47;African_chameleon;88;;0.18181818181818182;0.5161290322580645;0.18181818181818182;0.2689075630252101;16;15;72
763;revolver;12;;0.16666666666666666;0.6666666666666666;0.16666666666666666;0.26666666666666666;2;1;10
407;ambulance;7;;0.2857142857142857;0.25;0.2857142857142857;0.26666666666666666;2;6;5
813;spatula;20;;0.2;0.4;0.2;0.26666666666666666;4;6;16
417;balloon;30;;0.23333333333333334;0.30434782608695654;0.23333333333333334;0.26415094339622636;7;16;23
758;reel;13;;0.23076923076923078;0.3;0.23076923076923078;0.2608695652173913;3;7;10
780;schooner;16;;0.1875;0.42857142857142855;0.1875;0.26086956521739124;3;4;13
437;beacon;26;;0.19230769230769232;0.38461538461538464;0.19230769230769232;0.2564102564102564;5;8;21
456;bow;25;;0.24;0.2727272727272727;0.24;0.2553191489361702;6;16;19
23;vulture;76;;0.17105263157894737;0.5;0.17105263157894737;0.25490196078431376;13;13;63
107;jellyfish;89;;0.16853932584269662;0.5172413793103449;0.16853932584269662;0.2542372881355932;15;14;74
39;common_iguana;100;;0.15;0.7894736842105263;0.15;0.25210084033613445;15;4;85
528;dial_telephone;13;;0.15384615384615385;0.6666666666666666;0.15384615384615385;0.25;2;1;11
404;airliner;25;;0.16;0.5714285714285714;0.16;0.25;4;3;21
606;iron;3;;0.3333333333333333;0.2;0.3333333333333333;0.25;1;4;2
347;bison;17;;0.17647058823529413;0.375;0.17647058823529413;0.24;3;5;14
579;grand_piano;14;;0.14285714285714285;0.6666666666666666;0.14285714285714285;0.23529411764705882;2;1;12
839;suspension_bridge;26;;0.15384615384615385;0.5;0.15384615384615385;0.23529411764705882;4;4;22
684;ocarina;7;;0.2857142857142857;0.2;0.2857142857142857;0.23529411764705882;2;8;5
943;cucumber;29;;0.1724137931034483;0.35714285714285715;0.1724137931034483;0.23255813953488377;5;9;24
313;walking_stick;61;;0.22950819672131148;0.23333333333333334;0.22950819672131148;0.23140495867768598;14;46;47
823;stethoscope;17;;0.17647058823529413;0.3333333333333333;0.17647058823529413;0.23076923076923078;3;6;14
94;hummingbird;98;;0.15306122448979592;0.46875;0.15306122448979592;0.23076923076923078;15;17;83
314;cockroach;66;;0.18181818181818182;0.3;0.18181818181818182;0.22641509433962265;12;28;54
301;ladybug;99;;0.13131313131313133;0.7647058823529411;0.13131313131313133;0.2241379310344828;13;4;86
746;puck;14;;0.14285714285714285;0.5;0.14285714285714285;0.22222222222222224;2;2;12
492;chest;14;;0.14285714285714285;0.5;0.14285714285714285;0.22222222222222224;2;2;12
483;castle;14;;0.14285714285714285;0.5;0.14285714285714285;0.22222222222222224;2;2;12
986;yellow_lady's_slipper;8;;0.125;1.0;0.125;0.2222222222222222;1;0;7
