class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
986;yellow_lady's_slipper;4750;;0.9745263157894737;0.9256148770245951;0.9745263157894737;0.9494410829658497;4629;372;121
90;lorikeet;4750;;0.9682105263157895;0.9292786421499293;0.9682105263157895;0.9483451902257964;4599;350;151
88;macaw;4750;;0.9381052631578948;0.9582795698924731;0.9381052631578948;0.9480851063829787;4456;194;294
685;odometer;4750;;0.9585263157894737;0.9250304754164974;0.9585263157894737;0.9414805624483045;4553;369;197
100;black_swan;4750;;0.9225263157894736;0.9588621444201313;0.9225263157894736;0.940343347639485;4382;188;368
984;rapeseed;4750;;0.9517894736842105;0.927004305925774;0.9517894736842105;0.9392334060454971;4521;356;229
339;sorrel;4750;;0.9461052631578948;0.9312059676750932;0.9461052631578948;0.9385964912280702;4494;332;256
130;flamingo;4750;;0.8907368421052632;0.9913308341143393;0.8907368421052632;0.9383455311599025;4231;37;519
323;monarch;4750;;0.9094736842105263;0.9610678531701891;0.9094736842105263;0.9345592212006489;4320;175;430
430;basketball;4750;;0.9326315789473684;0.9361792054099747;0.9326315789473684;0.9344020248892639;4430;302;320
576;gondola;4750;;0.9307368421052632;0.9364541410718068;0.9307368421052632;0.9335867384647872;4421;300;329
129;spoonbill;4750;;0.9324210526315789;0.9320286195286195;0.9324210526315789;0.9322247947800464;4429;323;321
340;zebra;4750;;0.9029473684210526;0.9627384960718294;0.9029473684210526;0.9318848451928299;4289;166;461
985;daisy;4750;;0.9618947368421052;0.8972898664571878;0.9618947368421052;0.9284698232066653;4569;523;181
388;giant_panda;4750;;0.9109473684210526;0.9406521739130435;0.9109473684210526;0.9255614973262032;4327;273;423
321;admiral;4750;;0.8812631578947369;0.9743947858472998;0.8812631578947369;0.9254919301348662;4186;110;564
376;proboscis_monkey;4750;;0.9347368421052632;0.9158415841584159;0.9347368421052632;0.9251927484892687;4440;408;310
145;king_penguin;4750;;0.8913684210526316;0.9596554850407978;0.8913684210526316;0.9242523466492032;4234;178;516
915;yurt;4750;;0.9058947368421053;0.9401354599082369;0.9058947368421053;0.9226975447625175;4303;274;447
136;European_gallinule;4750;;0.9082105263157895;0.9376222560312976;0.9082105263157895;0.9226820660891883;4314;287;436
139;ruddy_turnstone;4750;;0.8943157894736842;0.9522528581035642;0.8943157894736842;0.9223754206926501;4248;213;502
768;rugby_ball;4750;;0.895578947368421;0.9506145251396648;0.895578947368421;0.9222764227642276;4254;221;496
24;great_grey_owl;4750;;0.8989473684210526;0.9451084550686144;0.8989473684210526;0.9214501510574017;4270;248;480
900;water_tower;4750;;0.8850526315789473;0.9522083805209512;0.8850526315789473;0.9174031642116748;4204;211;546
11;goldfinch;4750;;0.8738947368421053;0.9649000464900046;0.8738947368421053;0.9171453822359699;4151;151;599
9;ostrich;4750;;0.9098947368421053;0.9219283276450512;0.9098947368421053;0.9158720067810977;4322;366;428
560;football_helmet;4750;;0.887578947368421;0.9444444444444444;0.887578947368421;0.9151291512915128;4216;248;534
92;bee_eater;4750;;0.8848421052631579;0.9451315493591185;0.8848421052631579;0.9139936935957378;4203;244;547
255;Leonberg;4750;;0.9073684210526316;0.9166312207571247;0.9073684210526316;0.9119763013118918;4310;392;440
22;bald_eagle;4750;;0.8812631578947369;0.9427927927927928;0.8812631578947369;0.9109902067464636;4186;254;564
96;toucan;4750;;0.880421052631579;0.9387205387205387;0.880421052631579;0.9086366105377512;4182;273;568
0;tench;4750;;0.9181052631578948;0.8984342810053564;0.9181052631578948;0.9081632653061225;4361;493;389
84;peacock;4750;;0.875578947368421;0.941802536231884;0.875578947368421;0.9074841806676849;4159;257;591
387;lesser_panda;4750;;0.9061052631578947;0.9055333473595624;0.9061052631578947;0.9058192149847416;4304;449;446
890;volleyball;4750;;0.9288421052631579;0.8834601521826192;0.9288421052631579;0.9055829228243022;4412;582;338
143;oystercatcher;4750;;0.8581052631578947;0.956582961746069;0.8581052631578947;0.9046720674730885;4076;185;674
135;limpkin;4750;;0.9037894736842105;0.9043606488308406;0.9037894736842105;0.9040749710434874;4293;454;457
87;African_grey;4750;;0.832421052631579;0.9738916256157636;0.832421052631579;0.897616345062429;3954;106;796
625;lifeboat;4750;;0.9;0.8930436599122624;0.9;0.8965083359547027;4275;512;475
25;European_fire_salamander;4750;;0.880421052631579;0.9099216710182768;0.880421052631579;0.8949283115771453;4182;414;568
779;school_bus;4750;;0.9018947368421053;0.8867729248602774;0.9018947368421053;0.8942699091952824;4284;547;466
15;robin;4750;;0.8421052631578947;0.9528346831824679;0.8421052631578947;0.8940545373267769;4000;198;750
661;Model_T;4750;;0.9094736842105263;0.8750253190196475;0.9094736842105263;0.8919170021678539;4320;617;430
14;indigo_bunting;4750;;0.9098947368421053;0.872778675282714;0.9098947368421053;0.8909503195217482;4322;630;428
13;junco;4750;;0.8547368421052631;0.9254615910645088;0.8547368421052631;0.8886943197986209;4060;327;690
746;puck;4750;;0.9029473684210526;0.8699797160243408;0.9029473684210526;0.8861570247933884;4289;641;461
91;coucal;4750;;0.8574736842105263;0.91672293495386;0.8574736842105263;0.8861089959751985;4073;370;677
873;triumphal_arch;4750;;0.8911578947368421;0.8809573361082206;0.8911578947368421;0.8860282574568289;4233;572;517
17;jay;4750;;0.8113684210526316;0.9752024291497976;0.8113684210526316;0.8857733854286371;3854;98;896
19;chickadee;4750;;0.8042105263157895;0.9850438370293966;0.8042105263157895;0.8854891052387576;3820;58;930
291;lion;4750;;0.9303157894736842;0.8446100917431193;0.9303157894736842;0.8853937086756161;4419;813;331
326;lycaenid;4750;;0.8303157894736842;0.94716618635927;0.8303157894736842;0.884900157056316;3944;220;806
325;sulphur_butterfly;4750;;0.908;0.8622550979608157;0.908;0.8845365053322396;4313;689;437
863;totem_pole;4750;;0.8376842105263158;0.9368966329173535;0.8376842105263158;0.8845170612426365;3979;268;771
275;African_hunting_dog;4750;;0.9338947368421052;0.8385633270321361;0.9338947368421052;0.8836653386454184;4436;854;314
89;sulphur-crested_cockatoo;4750;;0.8122105263157895;0.9671596891451492;0.8122105263157895;0.8829385513216617;3858;131;892
466;bullet_train;4750;;0.8785263157894737;0.8867403314917127;0.8785263157894737;0.8826142131979696;4173;533;577
351;hartebeest;4750;;0.9273684210526316;0.8416125334352312;0.9273684210526316;0.8824118589743589;4405;829;345
144;pelican;4750;;0.8172631578947368;0.9507714915503307;0.8172631578947368;0.878976565153402;3882;201;868
805;soccer_ball;4750;;0.879578947368421;0.8777310924369748;0.879578947368421;0.8786540483701366;4178;582;572
800;slot;4750;;0.9151578947368421;0.8427685149282668;0.9151578947368421;0.8774727492935003;4347;811;403
594;harp;4750;;0.8743157894736842;0.8796865070959542;0.8743157894736842;0.8769929257734135;4153;568;597
874;trolleybus;4750;;0.907578947368421;0.8482880755608029;0.907578947368421;0.8769324654190399;4311;771;439
571;gas_pump;4750;;0.8233684210526315;0.9367664670658683;0.8233684210526315;0.8764145658263305;3911;264;839
993;gyromitra;4750;;0.9290526315789474;0.8291995490417137;0.9290526315789474;0.8762907069102461;4413;909;337
565;freight_car;4750;;0.9061052631578947;0.8477447311404372;0.9061052631578947;0.8759540042739392;4304;773;446
668;mosque;4750;;0.9126315789473685;0.8391405342624855;0.9126315789473685;0.8743444937474789;4335;831;415
528;dial_telephone;4750;;0.8008421052631579;0.9584278155706727;0.8008421052631579;0.8725771304048628;3804;165;946
820;steam_locomotive;4750;;0.8555789473684211;0.8896672504378283;0.8555789473684211;0.8722901910281177;4064;504;686
425;barn;4750;;0.8829473684210526;0.8617217998767208;0.8829473684210526;0.8722054694811271;4194;673;556
535;disk_brake;4750;;0.8126315789473684;0.9396299902629016;0.8126315789473684;0.8715285617520886;3860;248;890
420;banjo;4750;;0.8774736842105263;0.8624043037450859;0.8774736842105263;0.8698737347385996;4168;665;582
832;stupa;4750;;0.8549473684210527;0.8851351351351351;0.8549473684210527;0.8697793960162775;4061;527;689
146;albatross;4750;;0.8572631578947368;0.8821490467937608;0.8572631578947368;0.8695280802904121;4072;544;678
614;kimono;4750;;0.8658947368421053;0.8719525121899513;0.8658947368421053;0.8689130664413224;4113;604;637
802;snowmobile;4750;;0.9229473684210526;0.8177578809923521;0.9229473684210526;0.8671743645534566;4384;977;366
575;golfcart;4750;;0.8136842105263158;0.9268585131894485;0.8136842105263158;0.8665919282511211;3865;305;885
955;jackfruit;4750;;0.8385263157894737;0.8936504375140228;0.8385263157894737;0.8652112523080265;3983;474;767
333;hamster;4750;;0.9052631578947369;0.8281972265023112;0.9052631578947369;0.8650170991752163;4300;892;450
606;iron;4750;;0.8456842105263158;0.8840228873239436;0.8456842105263158;0.8644286636539704;4017;527;733
688;oscilloscope;4750;;0.8909473684210526;0.8386841062227507;0.8909473684210526;0.8640261331155574;4232;814;518
324;cabbage_butterfly;4750;;0.8246315789473684;0.9071329319129227;0.8246315789473684;0.8639170710189678;3917;401;833
989;hip;4750;;0.9275789473684211;0.8082920565033939;0.9275789473684211;0.8638368787373788;4406;1045;344
355;llama;4750;;0.8094736842105263;0.9253910950661853;0.8094736842105263;0.8635597978663674;3845;310;905
102;echidna;4750;;0.8431578947368421;0.8841059602649006;0.8431578947368421;0.8631465517241379;4005;525;745
396;lionfish;4750;;0.808;0.9250421788382743;0.808;0.8625688279581977;3838;311;912
990;buckeye;4750;;0.8816842105263157;0.8431648882625327;0.8816842105263157;0.8619944427292373;4188;779;562
916;web_site;4750;;0.8778947368421053;0.8463568094174955;0.8778947368421053;0.8618373462850056;4170;757;580
569;garbage_truck;4750;;0.8734736842105263;0.8502049180327869;0.8734736842105263;0.8616822429906542;4149;731;601
284;Siamese_cat;4750;;0.8972631578947369;0.828538102643857;0.8972631578947369;0.8615322417626845;4262;882;488
12;house_finch;4750;;0.8;0.9306882194464854;0.8;0.8604098267859165;3800;283;950
354;Arabian_camel;4750;;0.9012631578947369;0.8229527104959631;0.9012631578947369;0.8603295819935691;4281;921;469
886;vending_machine;4750;;0.880421052631579;0.8370696557245797;0.880421052631579;0.8581982351734044;4182;814;568
555;fire_engine;4750;;0.8370526315789474;0.8798406727152025;0.8370526315789474;0.8579134750242745;3976;543;774
945;bell_pepper;4750;;0.8002105263157895;0.9239183276616432;0.8002105263157895;0.8576263537906138;3801;313;949
637;mailbox;4750;;0.8096842105263158;0.9113744075829384;0.8096842105263158;0.85752508361204;3846;374;904
736;pool_table;4750;;0.8225263157894737;0.8954847581939033;0.8225263157894737;0.8574563809941841;3907;456;843
829;streetcar;4750;;0.8345263157894737;0.8793256433007985;0.8345263157894737;0.8563404623028732;3964;544;786
247;Saint_Bernard;4750;;0.8237894736842105;0.8915470494417863;0.8237894736842105;0.8563300142247511;3913;476;837
727;planetarium;4750;;0.8821052631578947;0.8320095313741064;0.8821052631578947;0.8563253627631311;4190;846;560
672;mountain_tent;4750;;0.8629473684210527;0.8490057995028998;0.8629473684210527;0.8559198162455629;4099;729;651
755;radio_telescope;4750;;0.8223157894736842;0.8907639680729761;0.8223157894736842;0.8551724137931034;3906;479;844
496;Christmas_stocking;4750;;0.9336842105263158;0.7880241648898365;0.9336842105263158;0.8546926190017344;4435;1193;315
694;paddlewheel;4750;;0.8450526315789474;0.8645272453155287;0.8450526315789474;0.8546790162887257;4014;629;736
458;brass;4750;;0.7829473684210526;0.939378630967416;0.7829473684210526;0.8540590194052131;3719;240;1031
573;go-kart;4750;;0.9050526315789473;0.8079308400676565;0.9050526315789473;0.8537384569556151;4299;1022;451
148;killer_whale;4750;;0.8957894736842106;0.8143540669856459;0.8957894736842106;0.8531328320802006;4255;970;495
137;American_coot;4750;;0.7848421052631579;0.9322330582645662;0.7848421052631579;0.8522116813350097;3728;271;1022
953;pineapple;4750;;0.7949473684210526;0.9167273610099539;0.7949473684210526;0.8515052429811704;3776;343;974
407;ambulance;4750;;0.9311578947368421;0.7836640680368533;0.9311578947368421;0.8510679238021935;4423;1221;327
719;piggy_bank;4750;;0.8221052631578948;0.8808933002481389;0.8221052631578948;0.8504845910922356;3905;528;845
426;barometer;4750;;0.8551578947368421;0.8457214241099313;0.8551578947368421;0.8504134826755994;4062;741;688
347;bison;4750;;0.8370526315789474;0.8624728850325379;0.8370526315789474;0.8495726495726496;3976;634;774
981;ballplayer;4750;;0.8812631578947369;0.818377321603128;0.8812631578947369;0.8486568677141408;4186;929;564
365;orangutan;4750;;0.8616842105263158;0.8337746995314728;0.8616842105263158;0.8474997411740346;4093;816;657
734;police_van;4750;;0.8667368421052631;0.8290374546919049;0.8667368421052631;0.8474680938657884;4117;849;633
244;Tibetan_mastiff;4750;;0.875578947368421;0.8204774117182876;0.875578947368421;0.8471331092779305;4159;910;591
561;forklift;4750;;0.8433684210526315;0.8505307855626327;0.8433684210526315;0.8469344608879492;4006;704;744
141;redshank;4750;;0.8298947368421052;0.8622047244094488;0.8298947368421052;0.8457412572409354;3942;630;808
937;broccoli;4750;;0.7922105263157895;0.9065285473379908;0.7922105263157895;0.8455229749466352;3763;388;987
306;rhinoceros_beetle;4750;;0.7888421052631579;0.9107924161400097;0.7888421052631579;0.8454422382671479;3747;367;1003
131;little_blue_heron;4750;;0.7985263157894736;0.8981766516694293;0.7985263157894736;0.845425164382035;3793;430;957
918;crossword_puzzle;4750;;0.7974736842105263;0.8974176735370766;0.7974736842105263;0.844498941032215;3788;433;962
94;hummingbird;4750;;0.7884210526315789;0.907218992248062;0.7884210526315789;0.843658481640009;3745;383;1005
216;clumber;4750;;0.8427368421052631;0.8436248682824026;0.8427368421052631;0.8431806213796734;4003;742;747
138;bustard;4750;;0.8166315789473684;0.8714895529094585;0.8166315789473684;0.8431692207368764;3879;572;871
783;screw;4750;;0.8515789473684211;0.8345368269032392;0.8515789473684211;0.8429717620089612;4045;802;705
93;hornbill;4750;;0.7808421052631579;0.9151245990624229;0.7808421052631579;0.8426672725207316;3709;344;1041
547;electric_locomotive;4750;;0.8090526315789474;0.8751992712366203;0.8090526315789474;0.8408270429931078;3843;548;907
781;scoreboard;4750;;0.8692631578947368;0.8129553061626305;0.8692631578947368;0.8401668531895411;4129;950;621
486;cello;4750;;0.844;0.835904920767306;0.844;0.8399329562120259;4009;787;741
957;pomegranate;4750;;0.7637894736842106;0.9324081213055769;0.7637894736842106;0.8397176252748525;3628;263;1122
991;coral_fungus;4750;;0.8056842105263158;0.8767468499427262;0.8056842105263158;0.8397147558968733;3827;538;923
988;acorn;4750;;0.8336842105263158;0.8450704225352113;0.8336842105263158;0.8393387028401865;3960;726;790
18;magpie;4750;;0.748;0.9558783965563626;0.748;0.8392582969174441;3553;164;1197
714;pick;4750;;0.8572631578947368;0.8219620508679855;0.8572631578947368;0.8392415498763396;4072;882;678
621;lawn_mower;4750;;0.8610526315789474;0.8171828171828172;0.8610526315789474;0.8385443362378268;4090;915;660
448;birdhouse;4750;;0.8084210526315789;0.8689748811948405;0.8084210526315789;0.8376049732795289;3840;579;910
133;bittern;4750;;0.7753684210526316;0.9084854464726196;0.7753684210526316;0.8366651522035439;3683;371;1067
429;baseball;4750;;0.7667368421052632;0.9203942380591357;0.7667368421052632;0.8365682783966922;3642;315;1108
105;koala;4750;;0.7553684210526316;0.9363256784968684;0.7553684210526316;0.836168725238872;3588;244;1162
