Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
DINOv3-L-KNN;0.9623972631578948;0;0.9560176812883611;0.04743246619888667
DINOv3-B-KNN;0.9255126315789474;0;0.9614038014483854;0.08050456280165594
DINOv2-L-KNN;0.9195684210526316;0;0.9394979683104999;0.04287879569384928
DINOv3-S-KNN;0.8886096842105263;0;0.9650831288823271;0.12068980053216921
DINOv2-L-IN1K-KNN;0.8846656842105263;0;0.9100947270649373;0.10902729591569302
DINOv2-B-KNN;0.8772797894736842;0;0.9445754595294419;0.053648541723219985
Swin-L-KNN;0.8453724210526316;0;0.8803330528038023;0.0183331036637496
Swin-L-IN1K-KNN;0.8453724210526316;0;0.8803330528038023;0.0183331036637496
DINOv2-B-IN1K-KNN;0.8426086315789474;0;0.926341298421058;0.11069988585084832
DINOv1-B-KNN;0.8397587368421052;0;0.9251944784326721;0.12053808760148521
DINOv2-S-KNN;0.8284585263157894;0;0.9429597831371446;0.07687976826798523
DINOv2-S-IN1K-KNN;0.8249570526315789;0;0.9397534136576843;0.07627078469103261
Swin-B-IN1K-KNN;0.8209155789473684;0;0.87241033784557;0.016067022261704277
Swin-S-IN1K-KNN;0.805412;0;0.8708247484528197;0.03554522369180539
Hiera_L-IN1K-KNN;0.7990749473684211;0;0.8570686443224649;0.03543957407816778
DINOv1-S-KNN;0.7953896842105264;0;0.9342956567566146;0.12351042247203307
DINOv2-L-IN1K-LOGITS;0.7786231578947368;0;0.8754480858041219;0.017474661054109303
CLIP-L-IN1K-KNN;0.7760014736842106;0;0.86001471616573;0.052585308417933505
ViT-L-IN1K-KNN;0.7745585263157895;0;0.8638315858136285;0.014536006719242538
Hiera_B-KNN;0.766456;0;0.8562068848350437;0.03693282787857872
CLIP-B-IN1K-KNN;0.7617985263157895;0;0.8756730950484122;0.02015048128561832
Hiera_S-IN1K-KNN;0.7520313684210527;0;0.8532439491644834;0.032599703128333976
Swin-S-KNN;0.7191576842105263;0;0.8430737748141613;0.04314349716495372
Swin-L-IN1K-LOGITS;0.7106082105263158;0;0.8386548129996712;0.0552301476452476
Swin-B-KNN;0.709750947368421;0;0.8368657336780642;0.05714546888895412
DINOv2-B-IN1K-LOGITS;0.7094583157894737;0;0.8792419320711324;0.010064899240594144
Hiera_L-IN1K-LOGITS;0.7060926315789474;0;0.8249934737316353;0.10517292806886372
CLIP-L-IN1K-LOGITS;0.6962690526315789;0;0.865946344390831;0.024618439155980172
Swin-B-IN1K-LINEAR_PROBE;0.6893273684210526;0;0.8193177676494523;0.6452491376712653
DINOv2-B-IN1K-LINEAR_PROBE;0.6871153684210526;0;0.8046477249493112;0.6605563945976272
Swin-B-IN1K-LOGITS;0.6805016842105264;0;0.8380207126373942;0.07766571406555177
CLIP-B-IN1K-LINEAR_PROBE;0.6558711578947368;0;0.8407484090261735;0.6218288216286033
Hiera_B-LOGITS;0.6531858947368421;0;0.8241413144014882;0.09192264499383225
ViT-L-IN1K-LOGITS;0.6527863157894737;0;0.8692212366259974;0.07064747212460167
ViT-B-IN1K-KNN;0.6522252631578948;0;0.8771213431633331;0.041966662885633756
CLIP-B-IN1K-LOGITS;0.6507168421052631;0;0.8629410994206241;0.0191888865412662
Swin-S-IN1K-LOGITS;0.6456818947368421;0;0.840009239124203;0.06926432203674315
CLIP-L-KNN;0.6413574736842105;0;0.9096828016775388;0.17414321274245018
Hiera_S-IN1K-LOGITS;0.629154947368421;0;0.8244488058532264;0.07301016644969736
ViT-B-IN1K-LOGITS;0.6057911578947368;0;0.8679230846999517;0.07854616327868011
ResNet-50-IN1K-KNN;0.6052656842105263;0;0.9059222615906489;0.09173658443758206
DINOv2-S-IN1K-LOGITS;0.6046465263157895;0;0.8718244698318348;0.04089361444413031
CLIP-B-KNN;0.5128983157894736;0;0.8979526989651352;0.14278322495193072
ResNet-50-IN1K-LOGITS;0.5048553684210526;0;0.8708064225362021;0.12454661499103747
ResNet-50-KNN;0.44540315789473683;0;0.8769469201559946;0.052037101341497756
