class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
986;yellow_lady's_slipper;4750;;0.9762105263157895;0.9899658411614005;0.9762105263157895;0.9830400678397287;4637;47;113
340;zebra;4750;;0.9265263157894736;0.9843435473048535;0.9265263157894736;0.954560242923761;4401;70;349
995;earthstar;4750;;0.9431578947368421;0.9661419020918698;0.9431578947368421;0.9545115585384043;4480;157;270
136;European_gallinule;4750;;0.9141052631578948;0.9845804988662131;0.9141052631578948;0.9480349344978167;4342;68;408
100;black_swan;4750;;0.9461052631578948;0.9465037910699242;0.9461052631578948;0.9463044851547695;4494;254;256
19;chickadee;4750;;0.9046315789473685;0.9912341407151096;0.9046315789473685;0.9459548706659329;4297;38;453
88;macaw;4750;;0.9037894736842105;0.9868965517241379;0.9037894736842105;0.9435164835164835;4293;57;457
139;ruddy_turnstone;4750;;0.9522105263157895;0.9345041322314049;0.9522105263157895;0.943274244004171;4523;317;227
129;spoonbill;4750;;0.9151578947368421;0.9716137684398748;0.9151578947368421;0.9425411968777102;4347;127;403
685;odometer;4750;;0.9433684210526316;0.9323761964211402;0.9433684210526316;0.9378401004604437;4481;325;269
17;jay;4750;;0.9031578947368422;0.9743356802180332;0.9031578947368422;0.9373975745657163;4290;113;460
130;flamingo;4750;;0.8905263157894737;0.9871645274212368;0.8905263157894737;0.9363586054233537;4230;55;520
143;oystercatcher;4750;;0.9010526315789473;0.9742772592761211;0.9010526315789473;0.936235371322323;4280;113;470
13;junco;4750;;0.8909473684210526;0.9830429732868757;0.8909473684210526;0.9347321921590281;4232;73;518
24;great_grey_owl;4750;;0.9101052631578948;0.9593874833555259;0.9101052631578948;0.9340968020743302;4323;183;427
135;limpkin;4750;;0.8909473684210526;0.9787234042553191;0.8909473684210526;0.9327749614282566;4232;92;518
92;bee_eater;4750;;0.9362105263157895;0.9222314392368312;0.9362105263157895;0.9291684078562474;4447;375;303
145;king_penguin;4750;;0.8968421052631579;0.9627118644067797;0.8968421052631579;0.9286103542234333;4260;165;490
15;robin;4750;;0.9381052631578948;0.9174387481984764;0.9381052631578948;0.9276569168314771;4456;401;294
255;Leonberg;4750;;0.9248421052631579;0.9301291551979673;0.9248421052631579;0.9274780956402406;4393;330;357
339;sorrel;4750;;0.8968421052631579;0.9594594594594594;0.8968421052631579;0.9270946681175191;4260;180;490
900;water_tower;4750;;0.9164210526315789;0.9365318416523236;0.9164210526315789;0.9263673121940837;4353;295;397
84;peacock;4750;;0.8943157894736842;0.96;0.8943157894736842;0.9259945504087194;4248;177;502
820;steam_locomotive;4750;;0.8966315789473684;0.9560044893378227;0.8966315789473684;0.9253666485605648;4259;196;491
396;lionfish;4750;;0.8846315789473684;0.9684259045863102;0.8846315789473684;0.9246341731763671;4202;137;548
11;goldfinch;4750;;0.8926315789473684;0.954954954954955;0.8926315789473684;0.9227421109902068;4240;200;510
275;African_hunting_dog;4750;;0.9341052631578948;0.9090350338045482;0.9341052631578948;0.9213996469733152;4437;444;313
991;coral_fungus;4750;;0.8781052631578947;0.9675249362096962;0.8781052631578947;0.9206489349961373;4171;140;579
91;coucal;4750;;0.8557894736842105;0.9890510948905109;0.8557894736842105;0.9176072234762979;4065;45;685
