class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
986;yellow_lady's_slipper;4750;;0.9882105263157894;1.0;0.9882105263157894;0.9940703091910207;4694;0;56
995;earthstar;4750;;0.9856842105263158;0.9974435449510013;0.9856842105263158;0.9915290131300296;4682;12;68
88;macaw;4750;;0.9810526315789474;0.9972180612026535;0.9810526315789474;0.9890692985248859;4660;13;90
100;black_swan;4750;;0.9901052631578947;0.9861606206751939;0.9901052631578947;0.9881290051475995;4703;66;47
129;spoonbill;4750;;0.9865263157894737;0.9894425675675675;0.9865263157894737;0.9879822896900696;4686;50;64
339;sorrel;4750;;0.9852631578947368;0.9863013698630136;0.9852631578947368;0.985781990521327;4680;65;70
255;Leonberg;4750;;0.984421052631579;0.9864978902953586;0.984421052631579;0.9854583772391992;4676;64;74
900;water_tower;4750;;0.9728421052631578;0.9969795037756203;0.9728421052631578;0.9847629195524773;4621;14;129
11;goldfinch;4750;;0.9768421052631578;0.9916648856593289;0.9768421052631578;0.9841976879838794;4640;39;110
430;basketball;4750;;0.9848421052631579;0.9829796175667157;0.9848421052631579;0.9839099800189294;4678;81;72
17;jay;4750;;0.9686315789473684;0.9991313789359392;0.9686315789473684;0.9836451095670764;4601;4;149
13;junco;4750;;0.9713684210526315;0.995898985538528;0.9713684210526315;0.9834807630821698;4614;19;136
915;yurt;4750;;0.9709473684210527;0.9954672998057414;0.9709473684210527;0.9830544601939678;4612;21;138
873;triumphal_arch;4750;;0.9789473684210527;0.986423419601188;0.9789473684210527;0.9826711749788674;4650;64;100
985;daisy;4750;;0.9886315789473684;0.9754881595346905;0.9886315789473684;0.9820158929318278;4696;118;54
90;lorikeet;4750;;0.987578947368421;0.9762747138397503;0.987578947368421;0.9818942961800105;4691;114;59
130;flamingo;4750;;0.9741052631578947;0.9895209580838323;0.9741052631578947;0.9817525991937194;4627;49;123
576;gondola;4750;;0.9882105263157894;0.9740610085079892;0.9882105263157894;0.9810847528477374;4694;125;56
340;zebra;4750;;0.9682105263157895;0.993733794295592;0.9682105263157895;0.980806142034549;4599;29;151
